"modularity","algorithm","network"
0.322603878116344,"louvain","brunson_club-membership.graphml"
0.331246537396122,"leiden","brunson_club-membership.graphml"
0.285263157894737,"walktrap","brunson_club-membership.graphml"
0,"infomap","brunson_club-membership.graphml"
0.316842105263158,"fast_greedy","brunson_club-membership.graphml"
0.401183552698704,"louvain","brunson_corporate-leadership.graphml"
0.41924293439445,"leiden","brunson_corporate-leadership.graphml"
0.377614529129681,"walktrap","brunson_corporate-leadership.graphml"
0.383430262218141,"infomap","brunson_corporate-leadership.graphml"
0.415416794204673,"fast_greedy","brunson_corporate-leadership.graphml"
0.5980078125,"louvain","brunson_revolution.graphml"
0.5980078125,"leiden","brunson_revolution.graphml"
0.58873046875,"walktrap","brunson_revolution.graphml"
0.597890625,"infomap","brunson_revolution.graphml"
0.597968750000001,"fast_greedy","brunson_revolution.graphml"
0.328402366863905,"louvain","brunson_south-africa.graphml"
0.281065088757396,"leiden","brunson_south-africa.graphml"
0.29585798816568,"walktrap","brunson_south-africa.graphml"
0.227810650887574,"infomap","brunson_south-africa.graphml"
0.328402366863905,"fast_greedy","brunson_south-africa.graphml"
0.272959183673469,"louvain","brunson_southern-women.graphml"
0.272959183673469,"leiden","brunson_southern-women.graphml"
0.288265306122449,"walktrap","brunson_southern-women.graphml"
0,"infomap","brunson_southern-women.graphml"
0.262755102040816,"fast_greedy","brunson_southern-women.graphml"
0.592366145514892,"louvain","contiguous-usa.graphml"
0.59699537077474,"leiden","contiguous-usa.graphml"
0.571927679273299,"walktrap","contiguous-usa.graphml"
0.590793955804,"infomap","contiguous-usa.graphml"
0.582452615948991,"fast_greedy","contiguous-usa.graphml"
0.907140731459002,"louvain","dbpedia-similar.graphml"
0.910567781345447,"leiden","dbpedia-similar.graphml"
0.906379512882763,"walktrap","dbpedia-similar.graphml"
0.884802255462449,"infomap","dbpedia-similar.graphml"
0.910567781345446,"fast_greedy","dbpedia-similar.graphml"
0.265795847750865,"louvain","dimacs10-chesapeake.graphml"
0.262993079584775,"leiden","dimacs10-chesapeake.graphml"
0.225951557093426,"walktrap","dimacs10-chesapeake.graphml"
0,"infomap","dimacs10-chesapeake.graphml"
0.2519723183391,"fast_greedy","dimacs10-chesapeake.graphml"
0.526966644556538,"louvain","dimacs10-polbooks.graphml"
0.526938364158967,"leiden","dimacs10-polbooks.graphml"
0.506972403473861,"walktrap","dimacs10-polbooks.graphml"
0.522847990292111,"infomap","dimacs10-polbooks.graphml"
0.501974485939501,"fast_greedy","dimacs10-polbooks.graphml"
0.518828369130968,"louvain","dolphins.graphml"
0.524109014675052,"leiden","dolphins.graphml"
0.488845377951822,"walktrap","dolphins.graphml"
0.524741901032396,"infomap","dolphins.graphml"
0.509295518373482,"fast_greedy","dolphins.graphml"
0.72495,"louvain","edit-aawikibooks.graphml"
0.72855,"leiden","edit-aawikibooks.graphml"
0.69885,"walktrap","edit-aawikibooks.graphml"
0.71255,"infomap","edit-aawikibooks.graphml"
0.7225,"fast_greedy","edit-aawikibooks.graphml"
0.642960570282914,"louvain","edit-aawiktionary.graphml"
0.649587881488082,"leiden","edit-aawiktionary.graphml"
0.55822566273112,"walktrap","edit-aawiktionary.graphml"
0.609016484740477,"infomap","edit-aawiktionary.graphml"
0.641206282022722,"fast_greedy","edit-aawiktionary.graphml"
0.592256944444444,"louvain","edit-akwikibooks.graphml"
0.592881944444445,"leiden","edit-akwikibooks.graphml"
0.556770833333333,"walktrap","edit-akwikibooks.graphml"
0.579513888888889,"infomap","edit-akwikibooks.graphml"
0.592326388888889,"fast_greedy","edit-akwikibooks.graphml"
0.759941868146387,"louvain","edit-akwiktionary.graphml"
0.759941868146387,"leiden","edit-akwiktionary.graphml"
0.637600739859955,"walktrap","edit-akwiktionary.graphml"
0.738142423041353,"infomap","edit-akwiktionary.graphml"
0.758158277183247,"fast_greedy","edit-akwiktionary.graphml"
0.717036862003781,"louvain","edit-alswikiquote.graphml"
0.719281663516068,"leiden","edit-alswikiquote.graphml"
0.663929584120983,"walktrap","edit-alswikiquote.graphml"
0.701441398865784,"infomap","edit-alswikiquote.graphml"
0.717627599243856,"fast_greedy","edit-alswikiquote.graphml"
0.669085872576177,"louvain","edit-aswikibooks.graphml"
0.675346260387812,"leiden","edit-aswikibooks.graphml"
0.605927977839335,"walktrap","edit-aswikibooks.graphml"
0.658171745152355,"infomap","edit-aswikibooks.graphml"
0.672354570637119,"fast_greedy","edit-aswikibooks.graphml"
0.702833748665005,"louvain","edit-aswiktionary.graphml"
0.702833748665005,"leiden","edit-aswiktionary.graphml"
0.692324670701317,"walktrap","edit-aswiktionary.graphml"
0.683374866500534,"infomap","edit-aswiktionary.graphml"
0.700113919544322,"fast_greedy","edit-aswiktionary.graphml"
0.707544618712818,"louvain","edit-avwiktionary.graphml"
0.712817739318551,"leiden","edit-avwiktionary.graphml"
0.648999459167117,"walktrap","edit-avwiktionary.graphml"
0.69125202812331,"infomap","edit-avwiktionary.graphml"
0.71281773931855,"fast_greedy","edit-avwiktionary.graphml"
0.687300234391647,"louvain","edit-bhwiktionary.graphml"
0.687300234391647,"leiden","edit-bhwiktionary.graphml"
0.667704764870757,"walktrap","edit-bhwiktionary.graphml"
0.669040633349178,"infomap","edit-bhwiktionary.graphml"
0.687300234391646,"fast_greedy","edit-bhwiktionary.graphml"
0.641122744486523,"louvain","edit-biwikibooks.graphml"
0.643239028736913,"leiden","edit-biwikibooks.graphml"
0.578413900646023,"walktrap","edit-biwikibooks.graphml"
0.632768990866563,"infomap","edit-biwikibooks.graphml"
0.639340610380931,"fast_greedy","edit-biwikibooks.graphml"
0.67384731670446,"louvain","edit-bmwikibooks.graphml"
0.671957671957672,"leiden","edit-bmwikibooks.graphml"
0.63668430335097,"walktrap","edit-bmwikibooks.graphml"
0.682665658856135,"infomap","edit-bmwikibooks.graphml"
0.695389266817838,"fast_greedy","edit-bmwikibooks.graphml"
0.618495425674494,"louvain","edit-bmwiktionary.graphml"
0.62234135539887,"leiden","edit-bmwiktionary.graphml"
0.58504749140493,"walktrap","edit-bmwiktionary.graphml"
0.603665287570654,"infomap","edit-bmwiktionary.graphml"
0.620622341355399,"fast_greedy","edit-bmwiktionary.graphml"
0.61311854752581,"louvain","edit-bowikibooks.graphml"
0.61440904236383,"leiden","edit-bowikibooks.graphml"
0.552064791740833,"walktrap","edit-bowikibooks.graphml"
0.601192595229619,"infomap","edit-bowikibooks.graphml"
0.58001067995728,"fast_greedy","edit-bowikibooks.graphml"
0.647630245513843,"louvain","edit-bowiktionary.graphml"
0.649225945522242,"leiden","edit-bowiktionary.graphml"
0.632457098065564,"walktrap","edit-bowiktionary.graphml"
0.61822177430643,"infomap","edit-bowiktionary.graphml"
0.64623050866437,"fast_greedy","edit-bowiktionary.graphml"
0.658150674989113,"louvain","edit-chwikibooks.graphml"
0.658223254463638,"leiden","edit-chwikibooks.graphml"
0.650457250689505,"walktrap","edit-chwikibooks.graphml"
0.6560458702279,"infomap","edit-chwikibooks.graphml"
0.658150674989113,"fast_greedy","edit-chwikibooks.graphml"
0.667731165626361,"louvain","edit-chwiktionary.graphml"
0.682900275802003,"leiden","edit-chwiktionary.graphml"
0.638263898969371,"walktrap","edit-chwiktionary.graphml"
0.675424589925969,"infomap","edit-chwiktionary.graphml"
0.663086079256786,"fast_greedy","edit-chwiktionary.graphml"
0.6212,"louvain","edit-crwiktionary.graphml"
0.62675,"leiden","edit-crwiktionary.graphml"
0.54375,"walktrap","edit-crwiktionary.graphml"
0.6082,"infomap","edit-crwiktionary.graphml"
0.6031,"fast_greedy","edit-crwiktionary.graphml"
0.698733647467295,"louvain","edit-dzwiktionary.graphml"
0.698733647467295,"leiden","edit-dzwiktionary.graphml"
0.688464876929754,"walktrap","edit-dzwiktionary.graphml"
0.680304110608221,"infomap","edit-dzwiktionary.graphml"
0.695137640275281,"fast_greedy","edit-dzwiktionary.graphml"
0.663751714677641,"louvain","edit-gnwikibooks.graphml"
0.664094650205761,"leiden","edit-gnwikibooks.graphml"
0.606652949245542,"walktrap","edit-gnwikibooks.graphml"
0.641289437585734,"infomap","edit-gnwikibooks.graphml"
0.656893004115226,"fast_greedy","edit-gnwikibooks.graphml"
0.599058171745152,"louvain","edit-gotwikibooks.graphml"
0.599058171745152,"leiden","edit-gotwikibooks.graphml"
0.524542936288089,"walktrap","edit-gotwikibooks.graphml"
0.584321329639889,"infomap","edit-gotwikibooks.graphml"
0.581329639889197,"fast_greedy","edit-gotwikibooks.graphml"
0.572263374485597,"louvain","edit-guwikibooks.graphml"
0.571659807956104,"leiden","edit-guwikibooks.graphml"
0.491440329218107,"walktrap","edit-guwikibooks.graphml"
0.542825788751715,"infomap","edit-guwikibooks.graphml"
0.555308641975309,"fast_greedy","edit-guwikibooks.graphml"
0.647682445759369,"louvain","edit-htwikisource.graphml"
0.649326101249178,"leiden","edit-htwikisource.graphml"
0.606303418803419,"walktrap","edit-htwikisource.graphml"
