CCAA y provincia de destino;CCAA y provincia de origen;Periodo;Total
Andalucía;Andalucía;2024M12;5,562793
Andalucía;Andalucía;2024M11;5,01019
Andalucía;Andalucía;2024M10;5,703986
Andalucía;Andalucía;2024M09;8,55056
Andalucía;Andalucía;2024M08;13,686025
Andalucía;Andalucía;2024M07;10,58693
Andalucía;Andalucía;2024M06;5,958402
Andalucía;Andalucía;2024M05;5,253655
Andalucía;Andalucía;2024M04;4,947768
Andalucía;Andalucía;2024M03;5,026999
Andalucía;Andalucía;2024M02;4,38626
Andalucía;Andalucía;2024M01;5,110126
Andalucía;Aragón;2024M12;0,157715
Andalucía;Aragón;2024M11;0,158642
Andalucía;Aragón;2024M10;0,17114
Andalucía;Aragón;2024M09;0,224925
Andalucía;Aragón;2024M08;0,390139
Andalucía;Aragón;2024M07;0,264686
Andalucía;Aragón;2024M06;0,150802
Andalucía;Aragón;2024M05;0,133219
Andalucía;Aragón;2024M04;0,152316
Andalucía;Aragón;2024M03;0,147974
Andalucía;Aragón;2024M02;0,097946
Andalucía;Aragón;2024M01;0,147963
Andalucía;Asturias, Principado de;2024M12;0,058749
Andalucía;Asturias, Principado de;2024M11;0,051497
Andalucía;Asturias, Principado de;2024M10;0,090414
Andalucía;Asturias, Principado de;2024M09;0,185265
Andalucía;Asturias, Principado de;2024M08;0,227023
Andalucía;Asturias, Principado de;2024M07;0,234553
Andalucía;Asturias, Principado de;2024M06;0,12158
Andalucía;Asturias, Principado de;2024M05;0,088767
Andalucía;Asturias, Principado de;2024M04;0,066461
Andalucía;Asturias, Principado de;2024M03;0,06015
Andalucía;Asturias, Principado de;2024M02;0,068921
Andalucía;Asturias, Principado de;2024M01;0,056072
Andalucía;Balears, Illes;2024M12;0,221341
Andalucía;Balears, Illes;2024M11;0,21449
Andalucía;Balears, Illes;2024M10;0,180859
Andalucía;Balears, Illes;2024M09;0,201032
Andalucía;Balears, Illes;2024M08;0,235165
Andalucía;Balears, Illes;2024M07;0,172755
Andalucía;Balears, Illes;2024M06;0,144096
Andalucía;Balears, Illes;2024M05;0,148869
Andalucía;Balears, Illes;2024M04;0,169477
Andalucía;Balears, Illes;2024M03;0,171932
Andalucía;Balears, Illes;2024M02;0,143212
Andalucía;Balears, Illes;2024M01;0,289619
Andalucía;Canarias;2024M12;0,28387
Andalucía;Canarias;2024M11;0,230409
Andalucía;Canarias;2024M10;0,260932
Andalucía;Canarias;2024M09;0,267912
Andalucía;Canarias;2024M08;0,305684
Andalucía;Canarias;2024M07;0,271766
Andalucía;Canarias;2024M06;0,220117
Andalucía;Canarias;2024M05;0,217868
Andalucía;Canarias;2024M04;0,192164
Andalucía;Canarias;2024M03;0,219546
Andalucía;Canarias;2024M02;0,183646
Andalucía;Canarias;2024M01;0,228585
Andalucía;Cantabria;2024M12;0,056459
Andalucía;Cantabria;2024M11;0,066842
Andalucía;Cantabria;2024M10;0,087874
Andalucía;Cantabria;2024M09;0,124465
Andalucía;Cantabria;2024M08;0,134405
Andalucía;Cantabria;2024M07;0,123614
Andalucía;Cantabria;2024M06;0,085526
Andalucía;Cantabria;2024M05;0,071936
Andalucía;Cantabria;2024M04;0,065314
Andalucía;Cantabria;2024M03;0,060838
Andalucía;Cantabria;2024M02;0,05194
Andalucía;Cantabria;2024M01;0,058846
Andalucía;Castilla - La Mancha;2024M12;0,435125
