"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.62","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000387907028198242","louvain","graph_2024M06.graphml"
"0.99","0.01","0","0.62","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000397205352783203","louvain","graph_2024M06.graphml"
"0.98","0.02","0","0.501953125","1,2,3,4,5,6,1,7,8,9,10,11,1,12,13,14,15","0.000370979309082031","louvain","graph_2024M06.graphml"
"0.97","0.03","0","0.506920415224913","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000409841537475586","louvain","graph_2024M06.graphml"
"0.96","0.04","0","0.469529085872576","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000373125076293945","louvain","graph_2024M06.graphml"
"0.95","0.05","0","0.469529085872576","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000391006469726562","louvain","graph_2024M06.graphml"
"0.94","0.06","0","0.469529085872576","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.0003509521484375","louvain","graph_2024M06.graphml"
"0.93","0.07","0","0.44671201814059","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000399112701416016","louvain","graph_2024M06.graphml"
"0.92","0.08","0","0.450413223140496","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000365018844604492","louvain","graph_2024M06.graphml"
"0.91","0.09","0","0.424385633270321","1,2,3,4,5,6,7,7,8,9,10,11,7,12,13,14,15","0.000371932983398438","louvain","graph_2024M06.graphml"
"0.9","0.1","0","0.4296875","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000362873077392578","louvain","graph_2024M06.graphml"
"0.89","0.11","0","0.408","1,2,3,4,5,6,7,7,8,9,10,11,7,12,13,14,15","0.000550031661987305","louvain","graph_2024M06.graphml"
"0.88","0.12","0","0.411242603550296","1,2,3,4,5,6,7,7,8,9,10,11,7,12,13,14,15","0.00038599967956543","louvain","graph_2024M06.graphml"
"0.87","0.13","0","0.401627218934911","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000373125076293945","louvain","graph_2024M06.graphml"
"0.86","0.14","0","0.347576530612245","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000464200973510742","louvain","graph_2024M06.graphml"
"0.85","0.15","0","0.33115338882283","1,2,3,4,5,6,7,7,8,9,10,11,7,12,13,14,15","0.000380992889404297","louvain","graph_2024M06.graphml"
"0.84","0.16","0","0.350156087408949","1,2,3,4,5,6,7,7,8,8,9,10,7,11,12,13,14","0.000378847122192383","louvain","graph_2024M06.graphml"
"0.83","0.17","0","0.350156087408949","1,2,3,4,5,6,7,7,8,8,9,10,7,11,12,13,14","0.000428915023803711","louvain","graph_2024M06.graphml"
"0.82","0.18","0","0.35546875","1,2,3,4,5,6,7,7,8,7,9,10,7,11,12,13,14","0.000374794006347656","louvain","graph_2024M06.graphml"
