"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.328402366863905","1,1,2,1,3,3,1,3,1,2,3","0.00218391418457031","louvain","brunson_south-africa.graphml"
"0.99","0.01","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00365996360778809","louvain","brunson_south-africa.graphml"
"0.98","0.02","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00508999824523926","louvain","brunson_south-africa.graphml"
"0.97","0.03","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00652313232421875","louvain","brunson_south-africa.graphml"
"0.96","0.04","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0078890323638916","louvain","brunson_south-africa.graphml"
"0.95","0.05","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00942492485046387","louvain","brunson_south-africa.graphml"
"0.94","0.06","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0116989612579346","louvain","brunson_south-africa.graphml"
"0.93","0.07","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.014178991317749","louvain","brunson_south-africa.graphml"
"0.92","0.08","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0177359580993652","louvain","brunson_south-africa.graphml"
"0.91","0.09","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0206730365753174","louvain","brunson_south-africa.graphml"
"0.9","0.1","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0230519771575928","louvain","brunson_south-africa.graphml"
"0.89","0.11","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0250699520111084","louvain","brunson_south-africa.graphml"
"0.88","0.12","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0274219512939453","louvain","brunson_south-africa.graphml"
"0.87","0.13","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0290701389312744","louvain","brunson_south-africa.graphml"
"0.86","0.14","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0303299427032471","louvain","brunson_south-africa.graphml"
"0.85","0.15","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0315699577331543","louvain","brunson_south-africa.graphml"
"0.84","0.16","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0327761173248291","louvain","brunson_south-africa.graphml"
"0.83","0.17","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0341019630432129","louvain","brunson_south-africa.graphml"
"0.82","0.18","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.035344123840332","louvain","brunson_south-africa.graphml"
"0.81","0.19","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0365519523620605","louvain","brunson_south-africa.graphml"
"0.8","0.2","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0377681255340576","louvain","brunson_south-africa.graphml"
"0.79","0.21","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.0389540195465088","louvain","brunson_south-africa.graphml"
"0.78","0.22","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.040457010269165","louvain","brunson_south-africa.graphml"
"0.77","0.23","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.142508029937744","louvain","brunson_south-africa.graphml"
"0.76","0.24","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.144115924835205","louvain","brunson_south-africa.graphml"
"0.75","0.25","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.145648956298828","louvain","brunson_south-africa.graphml"
