"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.155612244897959","1,2,3,4,5,1,2,5,4,3","0.00455117225646973","louvain","brunson_southern-women.graphml"
"0.99","0.01","0","NaN","1,2,3,4,5,6,7,8,9,10","0.00742316246032715","louvain","brunson_southern-women.graphml"
"0.98","0.02","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0102860927581787","louvain","brunson_southern-women.graphml"
"0.97","0.03","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0124151706695557","louvain","brunson_southern-women.graphml"
"0.96","0.04","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0150291919708252","louvain","brunson_southern-women.graphml"
"0.95","0.05","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0170130729675293","louvain","brunson_southern-women.graphml"
"0.94","0.06","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0205390453338623","louvain","brunson_southern-women.graphml"
"0.93","0.07","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0235660076141357","louvain","brunson_southern-women.graphml"
"0.92","0.08","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0265181064605713","louvain","brunson_southern-women.graphml"
"0.91","0.09","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0297770500183105","louvain","brunson_southern-women.graphml"
"0.9","0.1","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0617730617523193","louvain","brunson_southern-women.graphml"
"0.89","0.11","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0652050971984863","louvain","brunson_southern-women.graphml"
"0.88","0.12","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0707340240478516","louvain","brunson_southern-women.graphml"
"0.87","0.13","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0736861228942871","louvain","brunson_southern-women.graphml"
"0.86","0.14","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0765471458435059","louvain","brunson_southern-women.graphml"
"0.85","0.15","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0788280963897705","louvain","brunson_southern-women.graphml"
"0.84","0.16","0","NaN","1,2,3,4,5,6,7,8,9,10","0.081010103225708","louvain","brunson_southern-women.graphml"
"0.83","0.17","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0829591751098633","louvain","brunson_southern-women.graphml"
"0.82","0.18","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0846540927886963","louvain","brunson_southern-women.graphml"
"0.81","0.19","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0862600803375244","louvain","brunson_southern-women.graphml"
"0.8","0.2","0","NaN","1,2,3,4,5,6,7,8,9,10","0.087813138961792","louvain","brunson_southern-women.graphml"
"0.79","0.21","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0893051624298096","louvain","brunson_southern-women.graphml"
"0.78","0.22","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0908100605010986","louvain","brunson_southern-women.graphml"
"0.77","0.23","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0924720764160156","louvain","brunson_southern-women.graphml"
"0.76","0.24","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0939121246337891","louvain","brunson_southern-women.graphml"
"0.75","0.25","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0953290462493896","louvain","brunson_southern-women.graphml"
"0.74","0.26","0","NaN","1,2,3,4,5,6,7,8,9,10","0.0968291759490967","louvain","brunson_southern-women.graphml"
