"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.625","1,1,1,2,1,2,2,2,2,3,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5","0.00230312347412109","louvain","edit-krwikiquote.graphml"
"0.99","0.01","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.00375890731811523","louvain","edit-krwikiquote.graphml"
"0.98","0.02","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.00524592399597168","louvain","edit-krwikiquote.graphml"
"0.97","0.03","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.00688409805297852","louvain","edit-krwikiquote.graphml"
"0.96","0.04","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.00835204124450684","louvain","edit-krwikiquote.graphml"
"0.95","0.05","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.00973105430603027","louvain","edit-krwikiquote.graphml"
"0.94","0.06","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0111339092254639","louvain","edit-krwikiquote.graphml"
"0.93","0.07","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0126049518585205","louvain","edit-krwikiquote.graphml"
"0.92","0.08","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0140039920806885","louvain","edit-krwikiquote.graphml"
"0.91","0.09","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0156750679016113","louvain","edit-krwikiquote.graphml"
"0.9","0.1","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0171439647674561","louvain","edit-krwikiquote.graphml"
"0.89","0.11","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0185990333557129","louvain","edit-krwikiquote.graphml"
"0.88","0.12","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0200378894805908","louvain","edit-krwikiquote.graphml"
"0.87","0.13","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0215020179748535","louvain","edit-krwikiquote.graphml"
"0.86","0.14","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0230100154876709","louvain","edit-krwikiquote.graphml"
"0.85","0.15","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0244650840759277","louvain","edit-krwikiquote.graphml"
"0.84","0.16","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0258939266204834","louvain","edit-krwikiquote.graphml"
"0.83","0.17","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.027318000793457","louvain","edit-krwikiquote.graphml"
"0.82","0.18","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0488910675048828","louvain","edit-krwikiquote.graphml"
"0.81","0.19","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0518839359283447","louvain","edit-krwikiquote.graphml"
"0.8","0.2","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0544030666351318","louvain","edit-krwikiquote.graphml"
"0.79","0.21","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0569601058959961","louvain","edit-krwikiquote.graphml"
"0.78","0.22","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0595169067382812","louvain","edit-krwikiquote.graphml"
"0.77","0.23","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0619750022888184","louvain","edit-krwikiquote.graphml"
"0.76","0.24","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0643460750579834","louvain","edit-krwikiquote.graphml"
"0.75","0.25","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0661089420318604","louvain","edit-krwikiquote.graphml"
"0.74","0.26","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0676178932189941","louvain","edit-krwikiquote.graphml"
"0.73","0.27","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0691030025482178","louvain","edit-krwikiquote.graphml"
"0.72","0.28","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.070580005645752","louvain","edit-krwikiquote.graphml"
"0.71","0.29","0","0.695266272189349","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.072052001953125","louvain","edit-krwikiquote.graphml"
"0.7","0.3","0","0.706632653061224","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.0736351013183594","louvain","edit-krwikiquote.graphml"
