"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.082957957957958","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00276899337768555","louvain","moreno_bison.graphml"
"0.99","0.01","0","0.082957957957958","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.004302978515625","louvain","moreno_bison.graphml"
"0.98","0.02","0","0.082957957957958","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00585508346557617","louvain","moreno_bison.graphml"
"0.97","0.03","0","0.082957957957958","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00736403465270996","louvain","moreno_bison.graphml"
"0.96","0.04","0","0.082957957957958","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00895905494689941","louvain","moreno_bison.graphml"
"0.95","0.05","0","0.106426692965155","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.0106251239776611","louvain","moreno_bison.graphml"
"0.94","0.06","0","0.101088167022233","1,2,3,3,3,2,1,2,1,3,3,3,3,2,3,1,1,1,1,2,2,2,1,1,1,1","0.0135469436645508","louvain","moreno_bison.graphml"
"0.93","0.07","0","0.087870460088877","1,1,1,1,1,2,3,2,3,1,1,3,1,2,3,3,3,3,1,2,2,2,3,3,3,3","0.0154609680175781","louvain","moreno_bison.graphml"
"0.92","0.08","0","0.0758949517912253","1,1,2,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.0170390605926514","louvain","moreno_bison.graphml"
"0.91","0.09","0","0.0750019619798489","1,1,2,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.0186281204223633","louvain","moreno_bison.graphml"
"0.9","0.1","0","0.0776261962159398","1,1,2,1,1,2,3,1,2,2,1,1,1,2,3,3,3,1,1,2,2,2,3,3,3,3","0.0202929973602295","louvain","moreno_bison.graphml"
"0.89","0.11","0","0.082080418024177","1,1,2,1,1,2,3,2,3,4,1,1,4,2,1,3,3,3,1,4,2,2,3,3,3,3","0.0222070217132568","louvain","moreno_bison.graphml"
"0.88","0.12","0","0.0718434968824661","1,2,2,3,2,2,4,2,3,2,1,4,2,2,4,3,3,3,1,2,2,2,3,3,4,4","0.0240380764007568","louvain","moreno_bison.graphml"
"0.87","0.13","0","0.0779998443505226","1,1,1,1,1,2,3,2,3,1,1,3,1,2,3,3,3,1,1,2,2,2,3,3,3,3","0.0258080959320068","louvain","moreno_bison.graphml"
"0.86","0.14","0","0.0709594971223229","1,1,1,1,1,2,2,3,4,1,1,2,1,3,2,4,4,5,2,3,3,3,4,4,2,2","0.0274679660797119","louvain","moreno_bison.graphml"
"0.85","0.15","0","0.0704111797903789","1,2,2,1,1,2,3,2,4,1,1,3,1,2,1,3,3,4,1,4,2,2,3,3,3,3","0.0292270183563232","louvain","moreno_bison.graphml"
"0.84","0.16","0","0.0744334508336396","1,2,2,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.0311670303344727","louvain","moreno_bison.graphml"
"0.83","0.17","0","0.0703585674644468","1,2,3,2,2,2,1,2,4,3,3,5,1,3,4,4,4,1,3,2,2,2,4,4,4,4","0.033411979675293","louvain","moreno_bison.graphml"
"0.82","0.18","0","0.0685994960226326","1,2,3,2,2,2,1,2,1,3,4,4,3,3,1,5,1,3,3,2,2,2,1,1,1,1","0.0351841449737549","louvain","moreno_bison.graphml"
"0.81","0.19","0","0.0694259369422962","1,2,2,1,3,2,4,2,4,3,5,5,3,2,4,1,4,3,5,2,2,2,4,4,4,4","0.0369470119476318","louvain","moreno_bison.graphml"
"0.8","0.2","0","0.0668245027745466","1,1,2,1,1,2,3,2,4,1,1,2,1,2,3,3,3,3,1,1,2,2,3,3,3,3","0.0387849807739258","louvain","moreno_bison.graphml"
"0.79","0.21","0","0.0684055802846749","1,1,2,1,1,2,3,2,4,1,1,2,1,2,3,3,3,3,5,1,2,2,3,3,3,3","0.0406100749969482","louvain","moreno_bison.graphml"
"0.78","0.22","0","0.0656799484499682","1,2,3,1,2,3,4,3,5,2,1,4,2,3,4,4,4,5,1,2,3,3,4,4,4,4","0.042417049407959","louvain","moreno_bison.graphml"
"0.77","0.23","0","0.0672297561397085","1,1,2,1,1,2,3,2,4,2,1,3,1,2,3,5,5,4,3,2,2,2,3,3,3,3","0.0442321300506592","louvain","moreno_bison.graphml"
"0.76","0.24","0","0.0641219723183391","1,2,3,2,2,3,4,3,4,3,2,5,3,3,4,6,1,6,1,3,3,3,4,4,4,4","0.0462551116943359","louvain","moreno_bison.graphml"
"0.75","0.25","0","0.0667719324587554","1,2,2,1,2,3,4,3,4,2,2,5,2,3,4,4,4,6,5,3,3,3,4,4,4,4","0.0483441352844238","louvain","moreno_bison.graphml"
"0.74","0.26","0","0.0667719324587554","1,2,2,1,2,3,4,3,4,2,2,5,2,3,4,4,4,6,5,3,3,3,4,4,4,4","0.0503849983215332","louvain","moreno_bison.graphml"
"0.73","0.27","0","0.0665786897905916","1,1,2,1,1,3,4,2,5,1,1,3,1,2,3,5,5,4,4,2,2,2,5,5,5,5","0.0524759292602539","louvain","moreno_bison.graphml"
"0.72","0.28","0","0.0668151353454858","1,1,2,1,1,2,3,2,4,2,1,5,1,2,5,4,4,3,3,2,2,2,4,4,4,4","0.0545599460601807","louvain","moreno_bison.graphml"
"0.71","0.29","0","0.0629970169197805","1,2,2,1,1,2,3,2,4,5,1,3,1,6,7,4,4,8,6,8,2,2,4,4,4,4","0.0565400123596191","louvain","moreno_bison.graphml"
"0.7","0.3","0","0.0650314556633569","1,2,3,4,2,3,5,3,6,3,1,7,2,8,9,5,5,2,1,2,3,3,5,5,5,5","0.05855393409729","louvain","moreno_bison.graphml"
"0.69","0.31","0","0.0655890564157476","1,2,3,4,5,2,6,2,7,3,4,5,3,2,4,6,6,6,1,3,2,2,6,6,6,6","0.0604450702667236","louvain","moreno_bison.graphml"
"0.68","0.32","0","0.0674714938584638","1,2,2,1,3,2,4,2,5,3,1,6,3,2,4,4,4,7,1,2,2,2,4,4,4,4","0.0624139308929443","louvain","moreno_bison.graphml"
"0.67","0.33","0","0.0677632249626389","1,2,3,1,2,3,4,3,4,2,1,5,2,3,1,4,4,6,1,2,3,3,4,4,4,4","0.0645320415496826","louvain","moreno_bison.graphml"
"0.66","0.34","0","0.0624692387287236","1,2,3,4,2,5,1,4,6,4,2,5,2,5,1,7,7,8,5,4,4,4,1,1,1,1","0.0665600299835205","louvain","moreno_bison.graphml"
"0.65","0.35","0","0.0664077339685962","1,2,3,4,2,5,1,4,6,4,2,5,2,6,5,7,7,1,8,4,4,4,7,7,7,7","0.0684850215911865","louvain","moreno_bison.graphml"
"0.64","0.36","0","0.0632883633431873","1,2,3,4,5,2,6,2,7,5,5,6,5,8,6,9,9,6,1,2,2,2,9,9,9,9","0.0704100131988525","louvain","moreno_bison.graphml"
