"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.0598357686269774","1,1,2,1,2,1,1,3,3,3,3,3,1,1,1,2,3","0.00279402732849121","louvain","moreno_kangaroo.graphml"
"0.99","0.01","0","0.0529012345679012","1,2,3,2,3,2,2,1,1,1,1,1,2,2,2,3,4","0.0043330192565918","louvain","moreno_kangaroo.graphml"
"0.98","0.02","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.00585699081420898","louvain","moreno_kangaroo.graphml"
"0.97","0.03","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.00738906860351562","louvain","moreno_kangaroo.graphml"
"0.96","0.04","0","0.0529012345679012","1,2,3,1,3,1,1,2,2,2,2,2,1,1,1,3,4","0.00885009765625","louvain","moreno_kangaroo.graphml"
"0.95","0.05","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.0102880001068115","louvain","moreno_kangaroo.graphml"
"0.94","0.06","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.0117721557617188","louvain","moreno_kangaroo.graphml"
"0.93","0.07","0","0.0638207945900254","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.013261079788208","louvain","moreno_kangaroo.graphml"
"0.92","0.08","0","0.0880533854166667","1,2,3,1,3,4,1,2,2,2,2,2,1,1,1,3,5","0.0147700309753418","louvain","moreno_kangaroo.graphml"
"0.91","0.09","0","0.0991919872064641","1,1,2,1,1,1,3,4,4,4,4,4,1,1,1,2,5","0.0163071155548096","louvain","moreno_kangaroo.graphml"
"0.9","0.1","0","0.107961703199798","1,1,2,1,2,1,1,3,3,3,1,3,1,1,1,2,4","0.0179679393768311","louvain","moreno_kangaroo.graphml"
"0.89","0.11","0","0.107961703199798","1,1,2,1,2,1,1,3,3,3,1,3,1,1,1,2,4","0.0194699764251709","louvain","moreno_kangaroo.graphml"
"0.88","0.12","0","0.0686461218836565","1,2,3,1,3,1,1,2,2,2,2,2,1,1,1,3,4","0.0209980010986328","louvain","moreno_kangaroo.graphml"
