"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.447403024326101","1,1,2,1,1,3,3,3,2,2,4,3,1,4,4,5,2,5,1,5,5,1","0.00217390060424805","louvain","moreno_taro.graphml"
"0.99","0.01","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.00361084938049316","louvain","moreno_taro.graphml"
"0.98","0.02","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.00534701347351074","louvain","moreno_taro.graphml"
"0.97","0.03","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.00818085670471191","louvain","moreno_taro.graphml"
"0.96","0.04","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.010962963104248","louvain","moreno_taro.graphml"
"0.95","0.05","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0134010314941406","louvain","moreno_taro.graphml"
"0.94","0.06","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0156879425048828","louvain","moreno_taro.graphml"
"0.93","0.07","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0171298980712891","louvain","moreno_taro.graphml"
"0.92","0.08","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0185489654541016","louvain","moreno_taro.graphml"
"0.91","0.09","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0199289321899414","louvain","moreno_taro.graphml"
"0.9","0.1","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0213248729705811","louvain","moreno_taro.graphml"
"0.89","0.11","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0228650569915771","louvain","moreno_taro.graphml"
"0.88","0.12","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0242938995361328","louvain","moreno_taro.graphml"
"0.87","0.13","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0257010459899902","louvain","moreno_taro.graphml"
"0.86","0.14","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0277030467987061","louvain","moreno_taro.graphml"
"0.85","0.15","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0376620292663574","louvain","moreno_taro.graphml"
"0.84","0.16","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0468828678131104","louvain","moreno_taro.graphml"
"0.83","0.17","0","0.705075445816187","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0486500263214111","louvain","moreno_taro.graphml"
"0.82","0.18","0","0.705075445816187","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0514929294586182","louvain","moreno_taro.graphml"
"0.81","0.19","0","0.705075445816187","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.0540299415588379","louvain","moreno_taro.graphml"
