"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.276803830857885","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,3,3,3,2,2,4,4,4,4","0.00190591812133789","louvain","moreno_zebra.graphml"
"0.99","0.01","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00323295593261719","louvain","moreno_zebra.graphml"
"0.98","0.02","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00459194183349609","louvain","moreno_zebra.graphml"
"0.97","0.03","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00596189498901367","louvain","moreno_zebra.graphml"
"0.96","0.04","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00740194320678711","louvain","moreno_zebra.graphml"
"0.95","0.05","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00875306129455566","louvain","moreno_zebra.graphml"
"0.94","0.06","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.0103139877319336","louvain","moreno_zebra.graphml"
"0.93","0.07","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.0121779441833496","louvain","moreno_zebra.graphml"
"0.92","0.08","0","0.281159522632582","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.0143320560455322","louvain","moreno_zebra.graphml"
"0.91","0.09","0","0.273250520291363","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.0165169239044189","louvain","moreno_zebra.graphml"
"0.9","0.1","0","0.212422994669476","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.0181090831756592","louvain","moreno_zebra.graphml"
"0.89","0.11","0","0.212422994669476","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.019644021987915","louvain","moreno_zebra.graphml"
"0.88","0.12","0","0.1767875","1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,2,2,4,4,4,4","0.0211288928985596","louvain","moreno_zebra.graphml"
"0.87","0.13","0","0.164716553287982","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.0225939750671387","louvain","moreno_zebra.graphml"
