"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.00284099578857422","louvain","opsahl-southernwomen.graphml"
"0.99","0.01","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.0042269229888916","louvain","opsahl-southernwomen.graphml"
"0.98","0.02","0","0.300213675213675","1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,2,2","0.0059959888458252","louvain","opsahl-southernwomen.graphml"
"0.97","0.03","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.00741982460021973","louvain","opsahl-southernwomen.graphml"
"0.96","0.04","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.00879502296447754","louvain","opsahl-southernwomen.graphml"
"0.95","0.05","0","0.300213675213675","1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,2,2","0.0101540088653564","louvain","opsahl-southernwomen.graphml"
"0.94","0.06","0","0.300213675213675","1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,2,2","0.0114610195159912","louvain","opsahl-southernwomen.graphml"
"0.93","0.07","0","0.300213675213675","1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,2,2","0.0127718448638916","louvain","opsahl-southernwomen.graphml"
"0.92","0.08","0","0.313203125","1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,2,3,3","0.0141148567199707","louvain","opsahl-southernwomen.graphml"
"0.91","0.09","0","0.313203125","1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,2,3,3","0.0154500007629395","louvain","opsahl-southernwomen.graphml"
"0.9","0.1","0","0.324647989548556","1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,2,2,2","0.0167758464813232","louvain","opsahl-southernwomen.graphml"
"0.89","0.11","0","0.324647989548556","1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,2,2,2","0.0181529521942139","louvain","opsahl-southernwomen.graphml"
"0.88","0.12","0","0.320069204152249","1,1,1,1,1,1,2,3,2,4,4,4,4,3,4,2,3,3","0.0195348262786865","louvain","opsahl-southernwomen.graphml"
"0.87","0.13","0","0.319382716049383","1,1,1,1,1,1,2,3,4,5,5,5,5,3,5,2,3,3","0.020859956741333","louvain","opsahl-southernwomen.graphml"
"0.86","0.14","0","0.309197530864198","1,1,1,1,1,1,2,3,1,4,4,4,4,3,4,2,3,3","0.0225620269775391","louvain","opsahl-southernwomen.graphml"
"0.85","0.15","0","0.329054793367562","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.0244719982147217","louvain","opsahl-southernwomen.graphml"
"0.84","0.16","0","0.330123966942149","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.02622389793396","louvain","opsahl-southernwomen.graphml"
"0.83","0.17","0","0.326682295274122","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.0281808376312256","louvain","opsahl-southernwomen.graphml"
"0.82","0.18","0","0.326788853961319","1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2","0.0297188758850098","louvain","opsahl-southernwomen.graphml"
"0.81","0.19","0","0.326682295274122","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.0312130451202393","louvain","opsahl-southernwomen.graphml"
"0.8","0.2","0","0.295685787534049","1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,2,3,3","0.0327260494232178","louvain","opsahl-southernwomen.graphml"
"0.79","0.21","0","0.295685787534049","1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,2,3,3","0.0341799259185791","louvain","opsahl-southernwomen.graphml"
