"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.168995243757432","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00234699249267578","louvain","ucidata-gama.graphml"
"0.99","0.01","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00372314453125","louvain","ucidata-gama.graphml"
"0.98","0.02","0","0.160664819944598","1,1,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00507211685180664","louvain","ucidata-gama.graphml"
"0.97","0.03","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00646710395812988","louvain","ucidata-gama.graphml"
"0.96","0.04","0","0.160664819944598","1,1,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00787711143493652","louvain","ucidata-gama.graphml"
"0.95","0.05","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00926995277404785","louvain","ucidata-gama.graphml"
"0.94","0.06","0","0.171745152354571","1,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2","0.0106160640716553","louvain","ucidata-gama.graphml"
"0.93","0.07","0","0.166666666666667","1,2,1,1,2,3,3,3,2,2,3,3,3,3,2,3","0.0119740962982178","louvain","ucidata-gama.graphml"
"0.92","0.08","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.0133540630340576","louvain","ucidata-gama.graphml"
"0.91","0.09","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.0148780345916748","louvain","ucidata-gama.graphml"
"0.9","0.1","0","0.183115338882283","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.0162811279296875","louvain","ucidata-gama.graphml"
"0.89","0.11","0","0.183115338882283","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.0176970958709717","louvain","ucidata-gama.graphml"
"0.88","0.12","0","0.210427304488041","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.0197451114654541","louvain","ucidata-gama.graphml"
"0.87","0.13","0","0.226863905325444","1,1,1,1,2,3,3,3,4,4,4,3,4,2,4,2","0.0222129821777344","louvain","ucidata-gama.graphml"
"0.86","0.14","0","0.221656804733728","1,2,1,1,2,1,1,1,2,2,3,4,3,4,2,4","0.0246191024780273","louvain","ucidata-gama.graphml"
"0.85","0.15","0","0.244183673469388","1,2,1,1,2,3,3,3,2,2,3,3,4,4,2,4","0.0263359546661377","louvain","ucidata-gama.graphml"
"0.84","0.16","0","0.243571428571429","1,2,3,3,1,3,3,3,2,2,2,1,2,1,2,1","0.0277440547943115","louvain","ucidata-gama.graphml"
"0.83","0.17","0","0.240945768436855","1,1,1,1,2,3,3,3,4,4,4,3,4,2,4,2","0.0290560722351074","louvain","ucidata-gama.graphml"
"0.82","0.18","0","0.234284105835992","1,2,1,1,3,4,4,1,2,2,4,4,4,3,2,3","0.0303480625152588","louvain","ucidata-gama.graphml"
"0.81","0.19","0","0.2412272471383","1,2,1,1,2,3,3,3,2,2,3,3,4,4,2,4","0.0319821834564209","louvain","ucidata-gama.graphml"
