"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.23594295364984","1,2,2,3,4,4,5,6,2,3,3,1,1,3,3,1,2,3,4,4,2,4,2,1,1,2,2,4,3,4,2,2,4,3,1,5,1,7,5,3,4,2,1,5,5,2,2,4,4,5,5,7,3,5,6,2,5,2,5,4,4,7,3,3,2,4,4,5,2,5,5,3,1,1,7,6","0.0103781223297119","louvain","network_18.graphml"
"0.99","0.01","0","0.290070109676524","1,2,3,4,5,1,6,2,4,7,7,3,2,7,7,1,3,7,7,7,2,5,5,3,3,5,3,1,4,5,2,2,5,1,5,5,5,4,6,4,1,2,1,6,4,2,6,4,6,6,6,3,2,4,5,1,4,2,1,1,5,3,8,7,5,5,5,6,3,6,9,1,4,1,4,5","0.00629901885986328","louvain","network_18.graphml"
"0.98","0.02","0","0.303062381415151","1,2,1,2,3,1,4,2,5,1,2,1,2,2,2,1,4,4,2,2,2,3,3,1,1,3,4,2,5,3,2,2,3,1,3,6,1,5,6,5,1,2,1,6,6,2,4,1,4,2,6,1,2,4,3,2,6,2,1,1,3,1,7,2,3,3,3,6,5,4,8,1,5,1,5,3","0.00623106956481934","louvain","network_18.graphml"
"0.97","0.03","0","0.295756397797214","1,2,3,4,5,1,6,2,4,1,4,1,2,4,4,1,3,3,4,4,2,3,5,3,3,3,3,1,4,2,2,2,2,1,2,5,5,4,5,4,1,2,1,5,4,2,6,4,6,5,5,3,4,6,5,4,5,2,1,1,3,3,7,4,5,2,2,5,3,6,8,1,2,1,4,5","0.00673508644104004","louvain","network_18.graphml"
"0.96","0.04","0","0.308262195467583","1,2,1,3,4,1,5,2,6,3,3,1,2,3,3,1,4,3,3,6,2,4,4,1,1,4,2,1,6,4,2,2,4,1,1,5,1,3,5,6,1,2,1,5,5,3,2,6,6,5,5,3,3,5,4,3,5,6,1,1,4,1,7,3,4,4,4,5,1,5,8,1,6,1,6,4","0.00680994987487793","louvain","network_18.graphml"
"0.95","0.05","0","0.30699992273816","1,2,3,4,5,1,6,4,6,1,4,3,3,2,4,1,3,3,4,4,3,5,7,3,3,5,3,1,6,5,2,2,5,1,3,7,7,6,7,4,1,3,1,7,4,2,6,4,6,4,7,3,4,6,5,4,7,2,1,1,5,3,8,4,7,5,5,7,6,6,9,1,3,1,6,5","0.00998997688293457","louvain","network_18.graphml"
"0.94","0.06","0","0.316221721182019","1,2,3,4,5,1,3,2,4,1,4,1,2,4,4,1,3,3,4,4,2,5,5,1,1,5,3,1,4,5,2,2,5,1,1,6,1,4,6,4,1,2,1,6,6,2,3,4,3,2,6,3,4,3,5,4,6,2,1,1,5,3,7,4,5,5,5,6,3,3,8,1,4,1,4,5","0.00724911689758301","louvain","network_18.graphml"
"0.93","0.07","0","0.315216339693631","1,2,3,2,3,1,4,4,5,2,2,6,4,2,2,1,3,2,2,3,4,3,3,6,6,3,3,1,5,3,1,1,3,1,6,7,6,2,7,5,1,4,1,7,7,2,4,5,4,4,7,2,2,4,3,1,7,2,1,1,3,6,8,2,3,3,3,7,3,4,9,1,5,1,5,3","0.00656294822692871","louvain","network_18.graphml"
"0.92","0.08","0","0.318963141401872","1,2,3,4,3,5,6,2,7,4,4,1,2,4,4,1,3,4,8,7,2,5,3,1,1,3,6,5,7,2,2,2,2,1,1,8,8,7,8,7,1,2,1,8,7,4,6,7,7,8,8,4,4,6,3,4,8,3,5,5,3,8,9,4,8,2,6,8,3,6,10,1,7,1,7,3","0.00772595405578613","louvain","network_18.graphml"
"0.91","0.09","0","0.341859848075392","1,2,3,4,5,1,6,2,7,4,4,3,2,4,4,1,5,4,4,5,2,5,5,3,3,5,5,1,7,5,2,2,5,1,3,8,8,7,8,7,1,2,1,8,8,2,6,7,6,8,8,3,4,6,5,1,8,2,1,1,5,3,9,4,8,5,5,8,7,6,10,1,7,1,7,5","0.00530791282653809","louvain","network_18.graphml"
