"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.328402366863905","1,1,2,1,3,3,1,3,1,2,3","0.000226974487304688","louvain","brunson_south-africa.graphml"
"0.99","0.01","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000169038772583008","louvain","brunson_south-africa.graphml"
"0.98","0.02","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000154018402099609","louvain","brunson_south-africa.graphml"
"0.97","0.03","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00014805793762207","louvain","brunson_south-africa.graphml"
"0.96","0.04","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000137805938720703","louvain","brunson_south-africa.graphml"
"0.95","0.05","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000138044357299805","louvain","brunson_south-africa.graphml"
"0.94","0.06","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000140905380249023","louvain","brunson_south-africa.graphml"
"0.93","0.07","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000138044357299805","louvain","brunson_south-africa.graphml"
"0.92","0.08","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000136137008666992","louvain","brunson_south-africa.graphml"
"0.91","0.09","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000131845474243164","louvain","brunson_south-africa.graphml"
"0.9","0.1","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000230073928833008","louvain","brunson_south-africa.graphml"
"0.89","0.11","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000235080718994141","louvain","brunson_south-africa.graphml"
"0.88","0.12","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.00024104118347168","louvain","brunson_south-africa.graphml"
"0.87","0.13","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000283002853393555","louvain","brunson_south-africa.graphml"
"0.86","0.14","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000244140625","louvain","brunson_south-africa.graphml"
"0.85","0.15","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000236988067626953","louvain","brunson_south-africa.graphml"
"0.84","0.16","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000233888626098633","louvain","brunson_south-africa.graphml"
"0.83","0.17","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000257015228271484","louvain","brunson_south-africa.graphml"
"0.82","0.18","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000255823135375977","louvain","brunson_south-africa.graphml"
"0.81","0.19","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000258922576904297","louvain","brunson_south-africa.graphml"
"0.8","0.2","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000281095504760742","louvain","brunson_south-africa.graphml"
"0.79","0.21","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000272989273071289","louvain","brunson_south-africa.graphml"
"0.78","0.22","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000310897827148438","louvain","brunson_south-africa.graphml"
"0.77","0.23","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000417947769165039","louvain","brunson_south-africa.graphml"
"0.76","0.24","0","NaN","1,2,3,4,5,6,7,8,9,10,11","0.000538825988769531","louvain","brunson_south-africa.graphml"
"0.75","0.25","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000178098678588867","louvain","brunson_south-africa.graphml"
"0.74","0.26","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000164985656738281","louvain","brunson_south-africa.graphml"
"0.73","0.27","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000159025192260742","louvain","brunson_south-africa.graphml"
"0.72","0.28","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000149965286254883","louvain","brunson_south-africa.graphml"
"0.71","0.29","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000140905380249023","louvain","brunson_south-africa.graphml"
"0.7","0.3","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000140190124511719","louvain","brunson_south-africa.graphml"
"0.69","0.31","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000146150588989258","louvain","brunson_south-africa.graphml"
"0.68","0.32","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000143051147460938","louvain","brunson_south-africa.graphml"
"0.67","0.33","0","0.5","1,2,3,4,5,6,7,8,9,10,11","0.000138998031616211","louvain","brunson_south-africa.graphml"
"0.66","0.34","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000153779983520508","louvain","brunson_south-africa.graphml"
"0.65","0.35","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000169992446899414","louvain","brunson_south-africa.graphml"
"0.64","0.36","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000157833099365234","louvain","brunson_south-africa.graphml"
"0.63","0.37","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000150918960571289","louvain","brunson_south-africa.graphml"
"0.62","0.38","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000157833099365234","louvain","brunson_south-africa.graphml"
"0.61","0.39","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000154972076416016","louvain","brunson_south-africa.graphml"
"0.6","0.4","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000153064727783203","louvain","brunson_south-africa.graphml"
"0.59","0.41","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000151157379150391","louvain","brunson_south-africa.graphml"
"0.58","0.42","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000149965286254883","louvain","brunson_south-africa.graphml"
"0.57","0.43","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000154018402099609","louvain","brunson_south-africa.graphml"
"0.56","0.44","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000153064727783203","louvain","brunson_south-africa.graphml"
"0.55","0.45","0","0.56","1,2,3,4,5,6,7,8,7,9,10","0.000150203704833984","louvain","brunson_south-africa.graphml"
