"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.272959183673469","1,2,3,1,3,1,1,2,3,3","0.000284194946289062","louvain","brunson_southern-women.graphml"
"0.99","0.01","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000206947326660156","louvain","brunson_southern-women.graphml"
"0.98","0.02","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000217914581298828","louvain","brunson_southern-women.graphml"
"0.97","0.03","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000206947326660156","louvain","brunson_southern-women.graphml"
"0.96","0.04","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000192880630493164","louvain","brunson_southern-women.graphml"
"0.95","0.05","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000192880630493164","louvain","brunson_southern-women.graphml"
"0.94","0.06","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000196933746337891","louvain","brunson_southern-women.graphml"
"0.93","0.07","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000197887420654297","louvain","brunson_southern-women.graphml"
"0.92","0.08","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000186920166015625","louvain","brunson_southern-women.graphml"
"0.91","0.09","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000252962112426758","louvain","brunson_southern-women.graphml"
"0.9","0.1","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000145912170410156","louvain","brunson_southern-women.graphml"
"0.89","0.11","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000154018402099609","louvain","brunson_southern-women.graphml"
"0.88","0.12","0","NaN","1,2,3,4,5,6,7,8,9,10","0.00014805793762207","louvain","brunson_southern-women.graphml"
"0.87","0.13","0","NaN","1,2,3,4,5,6,7,8,9,10","0.00014495849609375","louvain","brunson_southern-women.graphml"
"0.86","0.14","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000144004821777344","louvain","brunson_southern-women.graphml"
"0.85","0.15","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000185966491699219","louvain","brunson_southern-women.graphml"
"0.84","0.16","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000160932540893555","louvain","brunson_southern-women.graphml"
"0.83","0.17","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000195026397705078","louvain","brunson_southern-women.graphml"
"0.82","0.18","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000246047973632812","louvain","brunson_southern-women.graphml"
"0.81","0.19","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000235795974731445","louvain","brunson_southern-women.graphml"
"0.8","0.2","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000230073928833008","louvain","brunson_southern-women.graphml"
"0.79","0.21","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000283002853393555","louvain","brunson_southern-women.graphml"
"0.78","0.22","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000179767608642578","louvain","brunson_southern-women.graphml"
"0.77","0.23","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000178098678588867","louvain","brunson_southern-women.graphml"
"0.76","0.24","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000154972076416016","louvain","brunson_southern-women.graphml"
"0.75","0.25","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000145912170410156","louvain","brunson_southern-women.graphml"
"0.74","0.26","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000146865844726562","louvain","brunson_southern-women.graphml"
"0.73","0.27","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000149011611938477","louvain","brunson_southern-women.graphml"
"0.72","0.28","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000149965286254883","louvain","brunson_southern-women.graphml"
"0.71","0.29","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000253915786743164","louvain","brunson_southern-women.graphml"
"0.7","0.3","0","NaN","1,2,3,4,5,6,7,8,9,10","0.00020909309387207","louvain","brunson_southern-women.graphml"
"0.69","0.31","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000276088714599609","louvain","brunson_southern-women.graphml"
"0.68","0.32","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000250101089477539","louvain","brunson_southern-women.graphml"
"0.67","0.33","0","NaN","1,2,3,4,5,6,7,8,9,10","0.000247955322265625","louvain","brunson_southern-women.graphml"
"0.66","0.34","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000334024429321289","louvain","brunson_southern-women.graphml"
"0.65","0.35","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000520944595336914","louvain","brunson_southern-women.graphml"
"0.64","0.36","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000404834747314453","louvain","brunson_southern-women.graphml"
"0.63","0.37","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000531911849975586","louvain","brunson_southern-women.graphml"
"0.62","0.38","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000207901000976562","louvain","brunson_southern-women.graphml"
"0.61","0.39","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000200986862182617","louvain","brunson_southern-women.graphml"
"0.6","0.4","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000197887420654297","louvain","brunson_southern-women.graphml"
"0.59","0.41","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000195980072021484","louvain","brunson_southern-women.graphml"
"0.58","0.42","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000195026397705078","louvain","brunson_southern-women.graphml"
"0.57","0.43","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000195026397705078","louvain","brunson_southern-women.graphml"
"0.56","0.44","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000219106674194336","louvain","brunson_southern-women.graphml"
"0.55","0.45","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000190019607543945","louvain","brunson_southern-women.graphml"
"0.54","0.46","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000185012817382812","louvain","brunson_southern-women.graphml"
"0.53","0.47","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000199079513549805","louvain","brunson_southern-women.graphml"
"0.52","0.48","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000204086303710938","louvain","brunson_southern-women.graphml"
"0.51","0.49","0","0.875","1,2,3,4,5,6,7,8,9,10","0.000226020812988281","louvain","brunson_southern-women.graphml"
"0.5","0.5","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000224828720092773","louvain","brunson_southern-women.graphml"
"0.49","0.51","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000220060348510742","louvain","brunson_southern-women.graphml"
"0.48","0.52","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000214099884033203","louvain","brunson_southern-women.graphml"
"0.47","0.53","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000377893447875977","louvain","brunson_southern-women.graphml"
"0.46","0.54","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000300168991088867","louvain","brunson_southern-women.graphml"
"0.45","0.55","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000359058380126953","louvain","brunson_southern-women.graphml"
"0.44","0.56","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000336885452270508","louvain","brunson_southern-women.graphml"
"0.43","0.57","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.00039982795715332","louvain","brunson_southern-women.graphml"
"0.42","0.58","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000284910202026367","louvain","brunson_southern-women.graphml"
"0.41","0.59","0","0.626543209876543","1,1,2,1,2,3,4,4,3,3","0.000190019607543945","louvain","brunson_southern-women.graphml"
"0.4","0.6","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.00018000602722168","louvain","brunson_southern-women.graphml"
"0.39","0.61","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000174999237060547","louvain","brunson_southern-women.graphml"
"0.38","0.62","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000181913375854492","louvain","brunson_southern-women.graphml"
"0.37","0.63","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000175952911376953","louvain","brunson_southern-women.graphml"
"0.36","0.64","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000169992446899414","louvain","brunson_southern-women.graphml"
"0.35","0.65","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000166177749633789","louvain","brunson_southern-women.graphml"
"0.34","0.66","0","0.626543209876543","1,1,2,1,2,3,3,3,4,4","0.000166893005371094","louvain","brunson_southern-women.graphml"
"0.33","0.67","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000187158584594727","louvain","brunson_southern-women.graphml"
"0.32","0.68","0","0.668639053254438","1,1,2,3,2,4,5,5,4,4","0.000172853469848633","louvain","brunson_southern-women.graphml"
"0.31","0.69","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000190019607543945","louvain","brunson_southern-women.graphml"
"0.3","0.7","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000372886657714844","louvain","brunson_southern-women.graphml"
"0.29","0.71","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000336170196533203","louvain","brunson_southern-women.graphml"
"0.28","0.72","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000329017639160156","louvain","brunson_southern-women.graphml"
"0.27","0.73","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000318050384521484","louvain","brunson_southern-women.graphml"
"0.26","0.74","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000321865081787109","louvain","brunson_southern-women.graphml"
"0.25","0.75","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000310182571411133","louvain","brunson_southern-women.graphml"
"0.24","0.76","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000329017639160156","louvain","brunson_southern-women.graphml"
"0.23","0.77","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000314950942993164","louvain","brunson_southern-women.graphml"
"0.22","0.78","0","0.668639053254438","1,1,2,1,2,3,4,4,5,5","0.000283002853393555","louvain","brunson_southern-women.graphml"
"0.21","0.79","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000325918197631836","louvain","brunson_southern-women.graphml"
"0.2","0.8","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000211954116821289","louvain","brunson_southern-women.graphml"
"0.19","0.81","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000195026397705078","louvain","brunson_southern-women.graphml"
"0.18","0.82","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000175952911376953","louvain","brunson_southern-women.graphml"
"0.17","0.83","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000199079513549805","louvain","brunson_southern-women.graphml"
"0.16","0.84","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000179052352905273","louvain","brunson_southern-women.graphml"
"0.15","0.85","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000191926956176758","louvain","brunson_southern-women.graphml"
"0.14","0.86","0","0.670118343195266","1,1,2,3,2,4,5,5,6,6","0.000180959701538086","louvain","brunson_southern-women.graphml"
