"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.262439446366782","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,1,2,3,2,2,2,2,2,2,2,3,3,3,3","0.000439882278442383","louvain","dimacs10-chesapeake.graphml"
"0.99","0.01","0","0.284862057284806","1,1,2,1,3,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,1,3,3,3,2,2,2,2,2,2,3,3,3,3","0.000365018844604492","louvain","dimacs10-chesapeake.graphml"
"0.98","0.02","0","0.284862057284806","1,1,2,1,3,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,1,3,3,3,2,2,2,2,2,2,3,3,3,3","0.000539064407348633","louvain","dimacs10-chesapeake.graphml"
"0.97","0.03","0","0.278124882381723","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000482082366943359","louvain","dimacs10-chesapeake.graphml"
"0.96","0.04","0","0.277888663086079","1,1,2,1,2,1,1,1,3,3,1,1,1,2,4,4,4,4,4,4,4,4,1,1,3,2,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000398874282836914","louvain","dimacs10-chesapeake.graphml"
"0.95","0.05","0","0.28783205109595","1,1,2,1,3,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,1,3,3,3,2,2,2,2,2,2,3,3,3,3","0.000494956970214844","louvain","dimacs10-chesapeake.graphml"
"0.94","0.06","0","0.276303350723014","1,1,2,1,3,1,1,1,3,3,1,1,1,1,4,4,4,4,4,4,4,4,2,2,3,1,3,3,3,4,4,4,4,4,4,3,3,3,3","0.00032496452331543","louvain","dimacs10-chesapeake.graphml"
"0.93","0.07","0","0.266427798810168","1,1,2,1,1,1,1,1,3,3,1,1,1,1,3,2,2,2,3,2,2,2,1,1,3,1,2,3,2,3,2,2,3,3,2,3,3,3,3","0.000308990478515625","louvain","dimacs10-chesapeake.graphml"
"0.92","0.08","0","0.285575929752066","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,4,4,4,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000303030014038086","louvain","dimacs10-chesapeake.graphml"
"0.91","0.09","0","0.283897210743802","1,1,2,1,2,1,1,1,3,3,1,1,1,2,4,4,4,4,4,4,4,4,1,1,3,2,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000319957733154297","louvain","dimacs10-chesapeake.graphml"
"0.9","0.1","0","0.302152517811858","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,1,1,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000320911407470703","louvain","dimacs10-chesapeake.graphml"
"0.89","0.11","0","0.307907017958412","1,1,2,1,3,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,1,1,3,1,3,3,3,2,2,2,2,2,2,3,3,3,3","0.00032496452331543","louvain","dimacs10-chesapeake.graphml"
"0.88","0.12","0","0.30353714661407","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000326156616210938","louvain","dimacs10-chesapeake.graphml"
"0.87","0.13","0","0.31116804039504","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,1,1,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000301837921142578","louvain","dimacs10-chesapeake.graphml"
"0.86","0.14","0","0.317806789778932","1,1,2,1,2,1,1,1,3,3,1,1,1,2,4,4,4,4,4,4,4,4,1,1,3,2,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000326156616210938","louvain","dimacs10-chesapeake.graphml"
"0.85","0.15","0","0.326745867768595","1,1,2,1,2,1,1,1,3,3,1,1,1,2,4,4,4,4,4,4,4,4,1,1,3,2,2,2,2,4,4,4,4,3,4,3,3,3,3","0.000339984893798828","louvain","dimacs10-chesapeake.graphml"
"0.84","0.16","0","0.332957987882653","1,1,2,1,2,1,1,1,3,3,1,1,1,2,3,4,4,4,4,2,4,2,1,1,3,2,2,3,2,4,4,4,4,3,4,3,3,3,3","0.000413894653320312","louvain","dimacs10-chesapeake.graphml"
"0.83","0.17","0","0.325539940828402","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000349998474121094","louvain","dimacs10-chesapeake.graphml"
"0.82","0.18","0","0.320439792392546","1,1,2,1,2,1,1,1,3,3,1,1,1,2,4,5,5,5,5,4,5,4,1,1,3,2,2,3,2,5,5,5,5,5,5,3,3,3,3","0.000320911407470703","louvain","dimacs10-chesapeake.graphml"
"0.81","0.19","0","0.327569393408333","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,5,5,5,5,4,5,4,1,1,3,1,2,3,2,5,5,5,5,5,5,3,3,3,3","0.000725984573364258","louvain","dimacs10-chesapeake.graphml"
"0.8","0.2","0","0.337410871655183","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,2,4,2,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000640869140625","louvain","dimacs10-chesapeake.graphml"
"0.79","0.21","0","0.336390052642578","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,4,4,4,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000680923461914062","louvain","dimacs10-chesapeake.graphml"
"0.78","0.22","0","0.336862845294366","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,4,4,4,4,4,4,4,2,2,3,1,2,3,2,4,4,4,4,4,4,3,3,3,3","0.000752925872802734","louvain","dimacs10-chesapeake.graphml"
"0.77","0.23","0","0.339654105191194","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,5,5,5,5,4,5,4,2,2,3,1,2,3,2,5,5,5,5,5,5,3,3,3,3","0.000946998596191406","louvain","dimacs10-chesapeake.graphml"
"0.76","0.24","0","0.339023708393078","1,1,2,1,1,1,1,1,3,3,1,1,1,1,4,5,5,5,5,4,5,4,2,2,3,1,2,3,2,5,5,5,5,5,5,3,3,3,3","0.000516891479492188","louvain","dimacs10-chesapeake.graphml"
"0.75","0.25","0","0.318079663072859","1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,4,4,4,4,2,4,2,5,5,3,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000465869903564453","louvain","dimacs10-chesapeake.graphml"
"0.74","0.26","0","0.318079663072859","1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,4,4,4,4,2,4,2,5,5,3,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000422000885009766","louvain","dimacs10-chesapeake.graphml"
"0.73","0.27","0","0.318773894716204","1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,4,4,4,4,2,4,2,5,5,3,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000436782836914062","louvain","dimacs10-chesapeake.graphml"
"0.72","0.28","0","0.323120166567519","1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,4,4,4,4,2,4,2,5,5,3,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000400066375732422","louvain","dimacs10-chesapeake.graphml"
"0.71","0.29","0","0.328392630903477","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,4,4,4,4,2,4,2,1,1,2,1,3,3,3,4,4,4,4,4,4,3,3,3,3","0.000391960144042969","louvain","dimacs10-chesapeake.graphml"
"0.7","0.3","0","0.326074902697552","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,4,4,4,4,2,4,2,5,5,2,1,3,3,3,4,4,4,4,4,4,4,4,4,4","0.000371932983398438","louvain","dimacs10-chesapeake.graphml"
"0.69","0.31","0","0.336078742238076","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,4,4,4,4,2,4,2,5,5,2,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.00035405158996582","louvain","dimacs10-chesapeake.graphml"
"0.68","0.32","0","0.337053383553573","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,4,4,4,4,2,4,2,5,5,2,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000375986099243164","louvain","dimacs10-chesapeake.graphml"
"0.67","0.33","0","0.337334855395378","1,1,2,1,1,1,1,1,3,3,1,1,1,1,2,4,4,4,4,2,4,2,1,1,2,1,3,3,3,4,4,4,4,4,4,4,3,3,3","0.000364065170288086","louvain","dimacs10-chesapeake.graphml"
