"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.604346021092746","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,9,7,4,7,7,9,6,6,3,8,9,9,9,9,10,9,9,3,9,9,1,1,8,4,8,8,4,8,8,10,8,8,8,5,10,10,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,10,5,10,4,4,3,5,10,4,5,5,5,10,10","0.00141406059265137","louvain","dimacs10-football.graphml"
"0.99","0.01","0","0.730888663581367","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,4,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000573158264160156","louvain","dimacs10-football.graphml"
"0.98","0.02","0","0.730888663581367","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,4,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000518083572387695","louvain","dimacs10-football.graphml"
"0.97","0.03","0","0.722975880039957","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,3,6,6,6,6,7,7,6,6,7,1,3,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,3,1,1,1,1,8,1,1,3,1,1,1,1,3,4,3,3,4,3,3,8,3,3,3,5,8,8,4,4,4,4,4,4,3,3,3,3,3,3,5,3,3,4,5,4,8,5,8,4,4,3,5,8,4,5,5,5,8,8","0.000513076782226562","louvain","dimacs10-football.graphml"
"0.96","0.04","0","0.730888663581367","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,4,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000533819198608398","louvain","dimacs10-football.graphml"
"0.95","0.05","0","0.732946361429015","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,8,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000597000122070312","louvain","dimacs10-football.graphml"
"0.94","0.06","0","0.730888663581367","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,4,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000721931457519531","louvain","dimacs10-football.graphml"
"0.93","0.07","0","0.732946361429015","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,8,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000507831573486328","louvain","dimacs10-football.graphml"
"0.92","0.08","0","0.732946361429015","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,1,7,4,7,7,1,6,6,3,8,1,1,1,1,9,1,1,3,1,1,1,1,8,4,8,8,8,8,8,9,8,8,8,5,9,9,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,9,5,9,4,4,3,5,9,4,5,5,5,9,9","0.000519037246704102","louvain","dimacs10-football.graphml"
"0.91","0.09","0","0.736402099763794","1,2,1,1,1,1,2,3,1,4,1,1,1,2,4,2,2,5,2,3,2,2,2,6,7,6,6,8,6,6,6,6,7,7,6,6,7,1,8,7,7,4,7,7,7,1,1,9,7,4,7,7,9,6,6,3,8,9,9,9,9,10,9,9,3,9,9,1,1,8,4,8,8,8,8,8,10,8,8,8,5,10,10,4,4,4,4,4,4,3,8,8,8,3,3,5,3,3,4,5,4,10,5,10,4,4,3,5,10,4,5,5,5,10,10","0.000490903854370117","louvain","dimacs10-football.graphml"
