"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.526789249335411","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,2,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.00111699104309082","louvain","dimacs10-polbooks.graphml"
"0.99","0.01","0","0.544403087258074","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,2,3,4,4,4,4,7,7,3,7,7,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.000809907913208008","louvain","dimacs10-polbooks.graphml"
"0.98","0.02","0","0.544403087258074","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,2,3,4,4,4,4,7,7,3,7,7,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.000592947006225586","louvain","dimacs10-polbooks.graphml"
"0.97","0.03","0","0.544403087258074","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,2,3,4,4,4,4,7,7,3,7,7,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.000610113143920898","louvain","dimacs10-polbooks.graphml"
"0.96","0.04","0","0.544119031141869","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,2,3,4,4,4,4,7,7,3,7,7,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.00066685676574707","louvain","dimacs10-polbooks.graphml"
"0.95","0.05","0","0.542990724640802","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.000610828399658203","louvain","dimacs10-polbooks.graphml"
"0.94","0.06","0","0.543866401919769","1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,4,4,2,2,2,6,2,2,5,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,2,3,4,4,4,4,7,7,3,7,7,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3","0.000535011291503906","louvain","dimacs10-polbooks.graphml"
"0.93","0.07","0","0.544455061983471","1,1,1,2,1,1,1,1,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,4,1,4,4,5,4,5,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3,3,6,3,2,2,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,3,4,5,5,5,5,7,7,4,7,7,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4","0.000536918640136719","louvain","dimacs10-polbooks.graphml"
"0.92","0.08","0","0.546005560427296","1,1,1,2,1,1,1,1,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,4,1,4,4,5,4,5,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3,3,6,3,2,2,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,3,4,5,5,5,5,7,7,4,7,7,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4","0.000540971755981445","louvain","dimacs10-polbooks.graphml"
"0.91","0.09","0","0.54753690140296","1,1,1,2,1,1,1,1,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,4,1,4,4,5,4,5,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3,3,6,3,2,2,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,3,4,5,5,5,5,7,7,4,7,7,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4","0.00055694580078125","louvain","dimacs10-polbooks.graphml"
