"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.524109014675052","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,2,5,2,2,2,1,5,3,2,2,4,4,4,5,1,5,4,4,1,4,2,3,4,4,5,4,3,4,4,5,5,5,4,4,2,5,2,2,2,4,1,2,4","0.000592947006225586","louvain","dolphins.graphml"
"0.99","0.01","0","0.585684037975548","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.00035405158996582","louvain","dolphins.graphml"
"0.98","0.02","0","0.596783006625231","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,3,3,4,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,4,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000357151031494141","louvain","dolphins.graphml"
"0.97","0.03","0","0.588860050542996","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,3,3,3,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,3,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000340938568115234","louvain","dolphins.graphml"
"0.96","0.04","0","0.585684037975548","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000334024429321289","louvain","dolphins.graphml"
"0.95","0.05","0","0.596680554606926","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,2,2,4,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,4,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000325918197631836","louvain","dolphins.graphml"
"0.94","0.06","0","0.585684037975548","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000341892242431641","louvain","dolphins.graphml"
"0.93","0.07","0","0.585684037975548","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000362873077392578","louvain","dolphins.graphml"
"0.92","0.08","0","0.585684037975548","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000343084335327148","louvain","dolphins.graphml"
"0.91","0.09","0","0.589727223864552","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,3,3,3,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,3,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000343084335327148","louvain","dolphins.graphml"
"0.9","0.1","0","0.596025447215923","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,2,2,3,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,3,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000370025634765625","louvain","dolphins.graphml"
"0.89","0.11","0","0.593820861678005","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,3,3,3,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,3,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000370979309082031","louvain","dolphins.graphml"
"0.88","0.12","0","0.597633136094674","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000355005264282227","louvain","dolphins.graphml"
"0.87","0.13","0","0.595928937402539","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,4,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,4,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000535964965820312","louvain","dolphins.graphml"
"0.86","0.14","0","0.599688126531521","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000589847564697266","louvain","dolphins.graphml"
"0.85","0.15","0","0.604899149942156","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.0005950927734375","louvain","dolphins.graphml"
"0.84","0.16","0","0.6090991398823","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,3,3,4,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,4,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000384807586669922","louvain","dolphins.graphml"
"0.83","0.17","0","0.620323670014473","1,1,2,2,2,3,3,3,2,4,1,4,2,2,1,2,2,4,1,5,1,2,2,2,3,1,3,6,2,4,7,4,8,4,1,4,4,9,4,2,3,4,4,1,10,3,11,4,1,12,13,4,14,2,15,16,2,17,18,1,19,20","0.000479936599731445","louvain","dolphins.graphml"
"0.82","0.18","0","0.619095653699399","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000560998916625977","louvain","dolphins.graphml"
"0.81","0.19","0","0.620487846554744","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000652074813842773","louvain","dolphins.graphml"
"0.8","0.2","0","0.635913801140235","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000641107559204102","louvain","dolphins.graphml"
"0.79","0.21","0","0.633099071318441","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,4,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,4,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000877857208251953","louvain","dolphins.graphml"
"0.78","0.22","0","0.635913801140235","1,1,2,2,2,3,3,3,2,4,5,4,2,2,5,3,3,1,5,6,5,2,2,2,1,5,3,7,2,4,8,4,9,4,5,4,4,10,4,2,3,4,1,5,11,3,12,4,5,13,14,4,15,2,16,17,2,18,19,1,20,21","0.000710010528564453","louvain","dolphins.graphml"
