"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.72495","1,1,2,1,1,3,3,3,3,3,3,3,4,5,6,3,3,4,5,5,6,6,3,3,4,5,5,5,6,6,2,6,2,7,7,4,3,3,5,5,5,6,5,5,6,6,1,2,6,6,5,5,5,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,2,2,2,4,4,4,4,4,4,4,4","0.000636100769042969","louvain","edit-aawikibooks.graphml"
"0.99","0.01","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000277042388916016","louvain","edit-aawikibooks.graphml"
"0.98","0.02","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000261068344116211","louvain","edit-aawikibooks.graphml"
"0.97","0.03","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000262022018432617","louvain","edit-aawikibooks.graphml"
"0.96","0.04","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000246047973632812","louvain","edit-aawikibooks.graphml"
"0.95","0.05","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000280141830444336","louvain","edit-aawikibooks.graphml"
"0.94","0.06","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000250101089477539","louvain","edit-aawikibooks.graphml"
"0.93","0.07","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.00038599967956543","louvain","edit-aawikibooks.graphml"
"0.92","0.08","0","0.345679012345679","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000385046005249023","louvain","edit-aawikibooks.graphml"
"0.91","0.09","0","0.46","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000383138656616211","louvain","edit-aawikibooks.graphml"
"0.9","0.1","0","0.569444444444444","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71","0.000374794006347656","louvain","edit-aawikibooks.graphml"
"0.89","0.11","0","0.569444444444444","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71","0.000404119491577148","louvain","edit-aawikibooks.graphml"
"0.88","0.12","0","0.630102040816326","1,1,2,3,3,4,5,6,7,8,9,10,1,1,1,11,12,13,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000369787216186523","louvain","edit-aawikibooks.graphml"
"0.87","0.13","0","0.602040816326531","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71","0.000360965728759766","louvain","edit-aawikibooks.graphml"
"0.86","0.14","0","0.630102040816326","1,1,2,3,3,4,5,6,7,8,9,10,1,1,1,11,12,13,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000359058380126953","louvain","edit-aawikibooks.graphml"
"0.85","0.15","0","0.648888888888889","1,1,1,2,2,3,4,5,6,7,8,9,1,1,1,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71","0.000509977340698242","louvain","edit-aawikibooks.graphml"
"0.84","0.16","0","0.668888888888889","1,1,2,3,3,4,5,6,7,8,9,10,1,1,1,11,12,13,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000299930572509766","louvain","edit-aawikibooks.graphml"
"0.83","0.17","0","0.662629757785467","1,1,2,3,3,4,5,6,7,8,9,10,1,1,1,11,12,13,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72","0.000273942947387695","louvain","edit-aawikibooks.graphml"
