"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.642960570282914","1,2,2,1,1,3,4,3,5,1,1,1,6,2,4,4,7,7,8,2,2,2,1,1,4,2,9,1,5,5,1,1,6,6,2,4,4,7,8,8,2,8,2,7,2,2,1,1,4,7,7,2,9,9,2,1,1,5,5,5,1,1,6,6,2,4,4,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,8,8,8,8,8,8,8,8","0.00103497505187988","louvain","edit-aawiktionary.graphml"
"0.99","0.01","0","0.316568047337278","1,1,2,1,1,3,1,1,1,1,1,4,5,6,7,8,9,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,3,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90","0.000602006912231445","louvain","edit-aawiktionary.graphml"
"0.98","0.02","0","0.316568047337278","1,1,2,1,1,3,1,1,1,1,1,4,5,6,7,8,9,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,3,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90","0.000553131103515625","louvain","edit-aawiktionary.graphml"
"0.97","0.03","0","0.316568047337278","1,1,2,1,1,3,1,1,1,1,1,4,5,6,7,8,9,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,3,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90","0.000524997711181641","louvain","edit-aawiktionary.graphml"
"0.96","0.04","0","0.316568047337278","1,1,2,1,1,3,1,1,1,1,1,4,5,6,7,8,9,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,3,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90","0.00055694580078125","louvain","edit-aawiktionary.graphml"
"0.95","0.05","0","0.406666666666667","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000522136688232422","louvain","edit-aawiktionary.graphml"
"0.94","0.06","0","0.3828125","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000561952590942383","louvain","edit-aawiktionary.graphml"
"0.93","0.07","0","0.3828125","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000494003295898438","louvain","edit-aawiktionary.graphml"
"0.92","0.08","0","0.3828125","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000507831573486328","louvain","edit-aawiktionary.graphml"
"0.91","0.09","0","0.45679012345679","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000494003295898438","louvain","edit-aawiktionary.graphml"
"0.9","0.1","0","0.564625850340136","1,1,2,1,1,3,1,4,1,1,1,5,6,7,8,9,10,11,12,13,14,15,16,3,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,3,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91","0.000531911849975586","louvain","edit-aawiktionary.graphml"
