"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.592881944444445","1,2,2,2,2,3,4,1,3,3,3,1,4,3,5,5,5,4,6,1,3,1,7,1,2,8,2,2,9,1,1,1,1,1,1,3,1,5,5,1,5,1,1,1,1,1,1,4,1,1,1,1,6,6,1,3,3,1,7,7,1,2,3,8,8,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,9,9,9,9,9,9,9,9","0.000778913497924805","louvain","edit-akwikibooks.graphml"
"0.99","0.01","0","0.331004756242568","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000427961349487305","louvain","edit-akwikibooks.graphml"
"0.98","0.02","0","0.331004756242568","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000403881072998047","louvain","edit-akwikibooks.graphml"
"0.97","0.03","0","0.328210284401034","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.00040888786315918","louvain","edit-akwikibooks.graphml"
"0.96","0.04","0","0.317150244182706","1,1,1,2,2,3,3,3,1,1,3,3,3,3,4,4,4,3,1,1,5,1,1,1,1,1,6,3,1,1,1,1,1,1,1,7,1,8,9,1,4,1,1,1,1,1,1,10,1,1,1,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000629186630249023","louvain","edit-akwikibooks.graphml"
"0.95","0.05","0","0.315","1,1,1,2,2,3,3,3,1,1,3,3,3,3,4,4,4,3,1,1,5,1,1,1,1,1,6,3,1,1,1,1,1,1,1,7,1,8,9,1,4,1,1,1,1,1,1,10,1,1,1,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000441074371337891","louvain","edit-akwikibooks.graphml"
"0.94","0.06","0","0.325416666666667","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000391960144042969","louvain","edit-akwikibooks.graphml"
"0.93","0.07","0","0.325416666666667","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000375032424926758","louvain","edit-akwikibooks.graphml"
"0.92","0.08","0","0.350844041320232","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000368118286132812","louvain","edit-akwikibooks.graphml"
"0.91","0.09","0","0.350844041320232","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000361919403076172","louvain","edit-akwikibooks.graphml"
"0.9","0.1","0","0.345562130177515","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.00036311149597168","louvain","edit-akwikibooks.graphml"
"0.89","0.11","0","0.345562130177515","1,1,1,2,2,3,3,4,1,1,3,4,4,3,5,5,5,3,1,1,6,1,1,1,1,1,7,4,1,1,1,1,1,1,1,8,1,9,10,1,5,1,1,1,1,1,1,11,1,1,1,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.00034785270690918","louvain","edit-akwikibooks.graphml"
"0.88","0.12","0","0.360834775086505","1,1,2,3,3,4,4,4,1,1,4,4,4,4,5,5,5,4,1,1,6,1,1,1,1,1,7,4,8,1,1,1,1,1,1,9,1,10,11,1,5,1,1,1,1,1,1,12,1,1,1,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52","0.000410079956054688","louvain","edit-akwikibooks.graphml"
"0.87","0.13","0","0.373976055450536","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000313043594360352","louvain","edit-akwikibooks.graphml"
"0.86","0.14","0","0.373976055450536","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000272989273071289","louvain","edit-akwikibooks.graphml"
"0.85","0.15","0","0.392457561728395","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000291824340820312","louvain","edit-akwikibooks.graphml"
"0.84","0.16","0","0.392457561728395","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000295877456665039","louvain","edit-akwikibooks.graphml"
"0.83","0.17","0","0.39003565396885","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000303030014038086","louvain","edit-akwikibooks.graphml"
"0.82","0.18","0","0.39003565396885","1,1,2,3,3,4,4,5,1,1,4,5,5,4,6,6,6,4,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000298976898193359","louvain","edit-akwikibooks.graphml"
"0.81","0.19","0","0.386504747991234","1,1,2,3,3,4,4,4,1,1,4,4,4,4,5,5,5,4,1,1,6,1,1,1,1,1,7,4,8,1,1,1,1,1,1,9,1,10,11,1,5,1,1,1,1,1,1,12,1,1,1,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52","0.00044703483581543","louvain","edit-akwikibooks.graphml"
"0.8","0.2","0","0.405211671445438","1,1,2,3,3,4,5,5,1,1,4,5,5,4,6,6,6,5,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000532865524291992","louvain","edit-akwikibooks.graphml"
"0.79","0.21","0","0.405211671445438","1,1,2,3,3,4,5,5,1,1,4,5,5,4,6,6,6,5,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.00049901008605957","louvain","edit-akwikibooks.graphml"
"0.78","0.22","0","0.416328125","1,1,2,3,3,4,5,5,1,1,4,5,5,4,6,6,6,5,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000368118286132812","louvain","edit-akwikibooks.graphml"
"0.77","0.23","0","0.438503866745984","1,1,2,3,3,4,5,5,1,1,4,5,5,4,6,6,6,5,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000311136245727539","louvain","edit-akwikibooks.graphml"
"0.76","0.24","0","0.436420380316447","1,1,2,3,3,4,5,5,1,1,4,5,5,4,6,6,6,5,1,1,7,1,1,1,1,1,8,5,9,1,1,1,1,1,1,10,1,11,12,1,6,1,1,1,1,1,1,13,1,1,1,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","0.000300168991088867","louvain","edit-akwikibooks.graphml"
