"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.672354570637119","1,1,2,3,2,2,4,4,4,4,4,4,4,4,5,4,1,6,5,6,6,1,2,1,6,6,1,2,2,3,7,4,4,6,6,1,6,1,2,2,6,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,7,7,7,7,7,7,7,7","0.00150799751281738","louvain","edit-aswikibooks.graphml"
"0.99","0.01","0","0.472789115646258","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000289201736450195","louvain","edit-aswikibooks.graphml"
"0.98","0.02","0","0.472789115646258","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000341892242431641","louvain","edit-aswikibooks.graphml"
"0.97","0.03","0","0.472789115646258","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000258922576904297","louvain","edit-aswikibooks.graphml"
"0.96","0.04","0","0.472789115646258","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000249147415161133","louvain","edit-aswikibooks.graphml"
"0.95","0.05","0","0.472789115646258","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000236988067626953","louvain","edit-aswikibooks.graphml"
"0.94","0.06","0","0.465116279069767","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000290155410766602","louvain","edit-aswikibooks.graphml"
"0.93","0.07","0","0.457644628099174","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000432014465332031","louvain","edit-aswikibooks.graphml"
"0.92","0.08","0","0.45037037037037","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000369071960449219","louvain","edit-aswikibooks.graphml"
"0.91","0.09","0","0.45037037037037","1,1,1,1,2,2,3,3,1,1,4,5,6,7,8,9,8,10,8,11,12,8,13,14,15,16,17,18,19,20,21,1,1,22,23,24,25,26,27,28,29,30,31,32,33,34,8,35,8,8,8,36,8,8,8,8,8,8,8,8,37,38,39,40,41,42,43,44,45,46,47","0.000355005264282227","louvain","edit-aswikibooks.graphml"
