"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.642459345065716","1,2,3,1,4,2,3,5,6,2,6,3,6,1,3,2,1,3,2,2,1,4,5,7,3,2,6,1,1,1,2,2,1,4,4,4,4,5,5,5,5,5,5,4,4,4,7,7,7,7,7,7,7,7","0.000656843185424805","louvain","edit-biwikibooks.graphml"
"0.99","0.01","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000365972518920898","louvain","edit-biwikibooks.graphml"
"0.98","0.02","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000335931777954102","louvain","edit-biwikibooks.graphml"
"0.97","0.03","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000339984893798828","louvain","edit-biwikibooks.graphml"
"0.96","0.04","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000283956527709961","louvain","edit-biwikibooks.graphml"
"0.95","0.05","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000218868255615234","louvain","edit-biwikibooks.graphml"
"0.94","0.06","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000210046768188477","louvain","edit-biwikibooks.graphml"
"0.93","0.07","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000207901000976562","louvain","edit-biwikibooks.graphml"
"0.92","0.08","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000251054763793945","louvain","edit-biwikibooks.graphml"
"0.91","0.09","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.00020289421081543","louvain","edit-biwikibooks.graphml"
"0.9","0.1","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000198125839233398","louvain","edit-biwikibooks.graphml"
"0.89","0.11","0","0.576923076923077","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000197887420654297","louvain","edit-biwikibooks.graphml"
"0.88","0.12","0","0.615555555555555","1,1,2,1,3,4,5,2,5,5,5,2,6,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000203132629394531","louvain","edit-biwikibooks.graphml"
"0.87","0.13","0","0.615555555555556","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000211954116821289","louvain","edit-biwikibooks.graphml"
"0.86","0.14","0","0.615555555555555","1,1,2,1,3,4,5,2,5,5,5,2,6,1,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000218868255615234","louvain","edit-biwikibooks.graphml"
"0.85","0.15","0","0.654296875","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000316858291625977","louvain","edit-biwikibooks.graphml"
"0.84","0.16","0","0.654296875","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000301837921142578","louvain","edit-biwikibooks.graphml"
"0.83","0.17","0","0.662629757785467","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000251054763793945","louvain","edit-biwikibooks.graphml"
"0.82","0.18","0","0.662629757785467","1,1,2,1,1,3,4,2,4,4,4,2,5,1,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","0.000240802764892578","louvain","edit-biwikibooks.graphml"
