"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.686318972033258","1,1,1,1,2,2,2,2,2,3,4,5,6,3,4,5,5,3,6,6,4,5,5,6,7,5,3,6,6,6,4,4,5,3,3,5,4,5,5,6,1,2,2,2,2,1,7,7,7,7,7,7,7,7","0.000703811645507812","louvain","edit-bmwikibooks.graphml"
"0.99","0.01","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000538825988769531","louvain","edit-bmwikibooks.graphml"
"0.98","0.02","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000386953353881836","louvain","edit-bmwikibooks.graphml"
"0.97","0.03","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000244855880737305","louvain","edit-bmwikibooks.graphml"
"0.96","0.04","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000236034393310547","louvain","edit-bmwikibooks.graphml"
"0.95","0.05","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000221014022827148","louvain","edit-bmwikibooks.graphml"
"0.94","0.06","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000213146209716797","louvain","edit-bmwikibooks.graphml"
"0.93","0.07","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000211954116821289","louvain","edit-bmwikibooks.graphml"
"0.92","0.08","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000211000442504883","louvain","edit-bmwikibooks.graphml"
"0.91","0.09","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000216960906982422","louvain","edit-bmwikibooks.graphml"
"0.9","0.1","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000212907791137695","louvain","edit-bmwikibooks.graphml"
"0.89","0.11","0","0.0714285714285714","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000213861465454102","louvain","edit-bmwikibooks.graphml"
"0.88","0.12","0","0.2265625","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000202178955078125","louvain","edit-bmwikibooks.graphml"
"0.87","0.13","0","0.2265625","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000313997268676758","louvain","edit-bmwikibooks.graphml"
"0.86","0.14","0","0.2265625","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000269174575805664","louvain","edit-bmwikibooks.graphml"
"0.85","0.15","0","0.2265625","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000236034393310547","louvain","edit-bmwikibooks.graphml"
"0.84","0.16","0","0.2265625","1,2,1,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000230073928833008","louvain","edit-bmwikibooks.graphml"
"0.83","0.17","0","0.38","1,1,1,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000216007232666016","louvain","edit-bmwikibooks.graphml"
"0.82","0.18","0","0.38","1,1,1,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000231027603149414","louvain","edit-bmwikibooks.graphml"
"0.81","0.19","0","0.38","1,1,1,2,3,4,5,6,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000245094299316406","louvain","edit-bmwikibooks.graphml"
"0.8","0.2","0","0.464497041420118","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52","0.000205039978027344","louvain","edit-bmwikibooks.graphml"
"0.79","0.21","0","0.452662721893491","1,2,2,1,3,4,5,6,7,8,9,10,2,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000207901000976562","louvain","edit-bmwikibooks.graphml"
"0.78","0.22","0","0.464497041420118","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52","0.000211000442504883","louvain","edit-bmwikibooks.graphml"
"0.77","0.23","0","0.517857142857143","1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000216960906982422","louvain","edit-bmwikibooks.graphml"
"0.76","0.24","0","0.517857142857143","1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000211000442504883","louvain","edit-bmwikibooks.graphml"
