"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.618495425674494","1,1,1,1,1,1,1,1,2,3,3,1,4,1,1,5,2,3,3,2,3,5,2,2,4,2,2,1,1,1,1,4,6,3,4,2,2,2,2,1,1,1,2,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,6,6,6,6,6,6,6,6","0.00101590156555176","louvain","edit-bmwiktionary.graphml"
"0.99","0.01","0","0.360236686390532","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000546932220458984","louvain","edit-bmwiktionary.graphml"
"0.98","0.02","0","0.360236686390532","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.0004119873046875","louvain","edit-bmwiktionary.graphml"
"0.97","0.03","0","0.360236686390532","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000346899032592773","louvain","edit-bmwiktionary.graphml"
"0.96","0.04","0","0.353308086433504","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000337123870849609","louvain","edit-bmwiktionary.graphml"
"0.95","0.05","0","0.349913494809689","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.00032496452331543","louvain","edit-bmwiktionary.graphml"
"0.94","0.06","0","0.349913494809689","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000345945358276367","louvain","edit-bmwiktionary.graphml"
"0.93","0.07","0","0.349913494809689","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000326871871948242","louvain","edit-bmwiktionary.graphml"
"0.92","0.08","0","0.354691529458441","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000313997268676758","louvain","edit-bmwiktionary.graphml"
"0.91","0.09","0","0.351466049382716","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000314950942993164","louvain","edit-bmwiktionary.graphml"
"0.9","0.1","0","0.351466049382716","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000329971313476562","louvain","edit-bmwiktionary.graphml"
"0.89","0.11","0","0.338933528122717","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,5,8,9,10,11,12,5,13,5,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,5,5,5,40,5,5,5,5,41,42,5,5,43,5,5,5,5,5,5,5,5,5,5,44,45,46,47,48,49,50,51,52,53","0.000330924987792969","louvain","edit-bmwiktionary.graphml"
"0.88","0.12","0","0.3616","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000348806381225586","louvain","edit-bmwiktionary.graphml"
"0.87","0.13","0","0.371883656509695","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000344991683959961","louvain","edit-bmwiktionary.graphml"
"0.86","0.14","0","0.368696238826109","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000326156616210938","louvain","edit-bmwiktionary.graphml"
"0.85","0.15","0","0.3721875","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000574827194213867","louvain","edit-bmwiktionary.graphml"
"0.84","0.16","0","0.381344307270233","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000445127487182617","louvain","edit-bmwiktionary.graphml"
"0.83","0.17","0","0.410714285714286","1,1,1,1,1,2,3,4,5,6,7,1,1,1,1,8,9,10,11,12,13,8,14,5,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,8,8,8,8,8,8,41,8,8,8,8,42,43,8,8,44,8,8,8,8,8,8,8,8,8,8,45,46,47,48,49,50,51,52,53,54","0.000395059585571289","louvain","edit-bmwiktionary.graphml"
