"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.613519045923816","1,1,1,2,1,3,2,2,2,3,4,2,5,6,2,2,7,5,6,2,2,7,5,5,6,6,4,8,2,1,1,2,7,6,6,5,7,6,6,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,8,8,8,8,8,8,8,8","0.000847101211547852","louvain","edit-bowikibooks.graphml"
"0.99","0.01","0","0.137803819444445","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000484943389892578","louvain","edit-bowikibooks.graphml"
"0.98","0.02","0","0.137803819444445","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000335931777954102","louvain","edit-bowikibooks.graphml"
"0.97","0.03","0","0.137803819444445","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000319957733154297","louvain","edit-bowikibooks.graphml"
"0.96","0.04","0","0.1334","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000321865081787109","louvain","edit-bowikibooks.graphml"
"0.95","0.05","0","0.131295655517109","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000303983688354492","louvain","edit-bowikibooks.graphml"
"0.94","0.06","0","0.131295655517109","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000456809997558594","louvain","edit-bowikibooks.graphml"
"0.93","0.07","0","0.131295655517109","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000477075576782227","louvain","edit-bowikibooks.graphml"
"0.92","0.08","0","0.127269490922036","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000422954559326172","louvain","edit-bowikibooks.graphml"
"0.91","0.09","0","0.127269490922036","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.00031590461730957","louvain","edit-bowikibooks.graphml"
"0.9","0.1","0","0.125342935528121","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000305891036987305","louvain","edit-bowikibooks.graphml"
"0.89","0.11","0","0.125342935528121","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000313997268676758","louvain","edit-bowikibooks.graphml"
"0.88","0.12","0","0.150353955063096","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000311851501464844","louvain","edit-bowikibooks.graphml"
"0.87","0.13","0","0.150353955063096","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000306129455566406","louvain","edit-bowikibooks.graphml"
"0.86","0.14","0","0.150353955063096","1,1,2,3,4,5,6,3,7,5,8,3,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,5,5,5,40,5,5,5,5,5,41,42,5,5,5,5,5,5,5,5,5,5,5,43,44,45,46,47,48,49,50,51,52,53","0.000299930572509766","louvain","edit-bowikibooks.graphml"
