"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.6212","1,1,1,1,2,2,3,3,3,3,3,3,4,3,4,5,1,6,4,5,5,6,4,4,5,5,5,6,4,4,5,6,7,5,5,5,6,5,4,5,6,6,6,6,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,7,7,7,7,7,7","0.000585079193115234","louvain","edit-crwiktionary.graphml"
"0.99","0.01","0","0.483379501385042","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000301837921142578","louvain","edit-crwiktionary.graphml"
"0.98","0.02","0","0.483379501385042","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000566959381103516","louvain","edit-crwiktionary.graphml"
"0.97","0.03","0","0.483379501385042","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000551939010620117","louvain","edit-crwiktionary.graphml"
"0.96","0.04","0","0.483379501385042","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000486135482788086","louvain","edit-crwiktionary.graphml"
"0.95","0.05","0","0.47125","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000925064086914062","louvain","edit-crwiktionary.graphml"
"0.94","0.06","0","0.511337868480726","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000416994094848633","louvain","edit-crwiktionary.graphml"
"0.93","0.07","0","0.466942148760331","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,1,11,12,2,2,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000498056411743164","louvain","edit-crwiktionary.graphml"
"0.92","0.08","0","0.476239669421488","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000432968139648438","louvain","edit-crwiktionary.graphml"
"0.91","0.09","0","0.465973534971645","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000443935394287109","louvain","edit-crwiktionary.graphml"
"0.9","0.1","0","0.465973534971645","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000452995300292969","louvain","edit-crwiktionary.graphml"
"0.89","0.11","0","0.495659722222222","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000446796417236328","louvain","edit-crwiktionary.graphml"
"0.88","0.12","0","0.5272","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000458955764770508","louvain","edit-crwiktionary.graphml"
"0.87","0.13","0","0.486282578875171","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000438928604125977","louvain","edit-crwiktionary.graphml"
"0.86","0.14","0","0.486282578875171","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000439167022705078","louvain","edit-crwiktionary.graphml"
"0.85","0.15","0","0.514668367346939","1,2,3,3,4,4,5,5,6,7,8,9,2,10,2,2,11,12,13,2,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65","0.000545978546142578","louvain","edit-crwiktionary.graphml"
