"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.664094650205761","1,1,1,1,2,1,2,3,2,4,5,5,2,4,4,5,5,3,6,6,7,4,2,4,4,5,4,3,3,3,3,3,6,6,6,6,6,3,3,7,7,7,7,7,7,7,7","0.000378847122192383","louvain","edit-gnwikibooks.graphml"
"0.99","0.01","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000215053558349609","louvain","edit-gnwikibooks.graphml"
"0.98","0.02","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000198841094970703","louvain","edit-gnwikibooks.graphml"
"0.97","0.03","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000190973281860352","louvain","edit-gnwikibooks.graphml"
"0.96","0.04","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000190973281860352","louvain","edit-gnwikibooks.graphml"
"0.95","0.05","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000181913375854492","louvain","edit-gnwikibooks.graphml"
"0.94","0.06","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000179052352905273","louvain","edit-gnwikibooks.graphml"
"0.93","0.07","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000180959701538086","louvain","edit-gnwikibooks.graphml"
"0.92","0.08","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000178098678588867","louvain","edit-gnwikibooks.graphml"
"0.91","0.09","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000245094299316406","louvain","edit-gnwikibooks.graphml"
"0.9","0.1","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000276803970336914","louvain","edit-gnwikibooks.graphml"
"0.89","0.11","0","0","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000190019607543945","louvain","edit-gnwikibooks.graphml"
"0.88","0.12","0","0.444444444444444","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000192165374755859","louvain","edit-gnwikibooks.graphml"
"0.87","0.13","0","0.625","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000192880630493164","louvain","edit-gnwikibooks.graphml"
"0.86","0.14","0","0.625","1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46","0.000307083129882812","louvain","edit-gnwikibooks.graphml"
