"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.599058171745152","1,1,2,1,1,2,3,4,3,1,5,6,4,3,1,5,5,4,6,4,3,1,5,5,6,3,5,4,6,4,4,3,5,3,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,6,6,6,6,6","0.000665187835693359","louvain","edit-gotwikibooks.graphml"
"0.99","0.01","0","0.491676575505351","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000367164611816406","louvain","edit-gotwikibooks.graphml"
"0.98","0.02","0","0.491676575505351","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000351905822753906","louvain","edit-gotwikibooks.graphml"
"0.97","0.03","0","0.491676575505351","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000248193740844727","louvain","edit-gotwikibooks.graphml"
"0.96","0.04","0","0.491676575505351","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000247001647949219","louvain","edit-gotwikibooks.graphml"
"0.95","0.05","0","0.498333333333333","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.00024104118347168","louvain","edit-gotwikibooks.graphml"
"0.94","0.06","0","0.504162330905307","1,2,2,3,3,1,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000241994857788086","louvain","edit-gotwikibooks.graphml"
"0.93","0.07","0","0.47900390625","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000257968902587891","louvain","edit-gotwikibooks.graphml"
"0.92","0.08","0","0.47802734375","1,1,2,3,3,2,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000251054763793945","louvain","edit-gotwikibooks.graphml"
"0.91","0.09","0","0.47900390625","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000238895416259766","louvain","edit-gotwikibooks.graphml"
"0.9","0.1","0","0.511428571428571","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000236034393310547","louvain","edit-gotwikibooks.graphml"
"0.89","0.11","0","0.527391975308642","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000254154205322266","louvain","edit-gotwikibooks.graphml"
"0.88","0.12","0","0.532870708546384","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000235080718994141","louvain","edit-gotwikibooks.graphml"
"0.87","0.13","0","0.523199445983379","1,1,2,3,3,2,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000250101089477539","louvain","edit-gotwikibooks.graphml"
"0.86","0.14","0","0.519736842105263","1,2,2,3,3,2,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000398874282836914","louvain","edit-gotwikibooks.graphml"
"0.85","0.15","0","0.524983563445102","1,1,2,3,3,2,2,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000337123870849609","louvain","edit-gotwikibooks.graphml"
"0.84","0.16","0","0.5321875","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000276088714599609","louvain","edit-gotwikibooks.graphml"
"0.83","0.17","0","0.5321875","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000277042388916016","louvain","edit-gotwikibooks.graphml"
"0.82","0.18","0","0.5321875","1,2,2,3,3,4,1,2,5,1,1,1,1,6,7,8,9,2,10,11,12,13,8,8,14,15,16,17,18,19,20,21,8,22,23,8,8,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51","0.000259160995483398","louvain","edit-gotwikibooks.graphml"
"0.81","0.19","0","0.546201814058957","1,1,2,3,3,2,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000281095504760742","louvain","edit-gotwikibooks.graphml"
"0.8","0.2","0","0.555802469135803","1,1,2,3,3,2,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000262022018432617","louvain","edit-gotwikibooks.graphml"
"0.79","0.21","0","0.555802469135803","1,1,2,3,3,2,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000261068344116211","louvain","edit-gotwikibooks.graphml"
"0.78","0.22","0","0.553166351606805","1,2,2,1,1,3,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000264883041381836","louvain","edit-gotwikibooks.graphml"
"0.77","0.23","0","0.561113626075147","1,1,2,3,3,2,1,2,4,1,1,1,1,5,6,7,8,2,9,10,11,12,7,7,13,14,15,16,17,18,19,20,7,21,22,7,7,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50","0.000264883041381836","louvain","edit-gotwikibooks.graphml"
