"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.571028806584362","1,1,1,1,1,2,2,3,3,4,4,4,5,2,1,4,4,2,5,5,1,5,4,2,2,5,5,5,6,4,1,5,4,4,1,1,2,2,5,2,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,6,6,6,6,6,6,6,6","0.000579833984375","louvain","edit-guwikibooks.graphml"
"0.99","0.01","0","0.446942148760331","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000264883041381836","louvain","edit-guwikibooks.graphml"
"0.98","0.02","0","0.446942148760331","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000256061553955078","louvain","edit-guwikibooks.graphml"
"0.97","0.03","0","0.455524776854417","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000250101089477539","louvain","edit-guwikibooks.graphml"
"0.96","0.04","0","0.44218192627824","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000237941741943359","louvain","edit-guwikibooks.graphml"
"0.95","0.05","0","0.44218192627824","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000232219696044922","louvain","edit-guwikibooks.graphml"
"0.94","0.06","0","0.449861111111111","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000417947769165039","louvain","edit-guwikibooks.graphml"
"0.93","0.07","0","0.436979306638001","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000403165817260742","louvain","edit-guwikibooks.graphml"
"0.92","0.08","0","0.436979306638001","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000343084335327148","louvain","edit-guwikibooks.graphml"
"0.91","0.09","0","0.443940539178634","1,1,1,1,1,2,2,3,4,3,3,3,5,2,6,7,8,9,10,11,12,4,4,13,14,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,4,4,4,4,4,4,4,4,34,4,4,4,4,4,35,36,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,37,38,39,40,41,42,43,44,45,46","0.000306129455566406","louvain","edit-guwikibooks.graphml"
