"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.648833004602235","1,1,1,1,1,2,1,3,1,4,5,3,3,6,6,1,4,5,3,4,6,1,1,4,5,5,3,3,7,2,4,4,3,4,8,2,2,2,2,2,2,1,2,1,4,4,2,2,2,2,6,5,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,6,3,3,3,7,2,2,6,2,2,2,5,2,5,4,7,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,4,4,8,8,8,8,8,8,8,8","0.000827789306640625","louvain","edit-htwikisource.graphml"
"0.99","0.01","0","0.607709750566893","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.000394105911254883","louvain","edit-htwikisource.graphml"
"0.98","0.02","0","0.607709750566893","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.000444173812866211","louvain","edit-htwikisource.graphml"
"0.97","0.03","0","0.599173553719008","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.000579833984375","louvain","edit-htwikisource.graphml"
"0.96","0.04","0","0.599173553719008","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.00052189826965332","louvain","edit-htwikisource.graphml"
"0.95","0.05","0","0.589792060491493","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.000523090362548828","louvain","edit-htwikisource.graphml"
"0.94","0.06","0","0.59375","1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,9,9,14,15,11,16,17,18,19,20,21,22,23,24,9,9,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,11,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103","0.000370979309082031","louvain","edit-htwikisource.graphml"
"0.93","0.07","0","0.5976","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.000329971313476562","louvain","edit-htwikisource.graphml"
"0.92","0.08","0","0.600137174211248","1,1,2,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,11,16,17,13,18,19,20,21,22,23,24,25,26,10,11,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,13,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000337123870849609","louvain","edit-htwikisource.graphml"
"0.91","0.09","0","0.600137174211248","1,1,2,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,11,16,17,13,18,19,20,21,22,23,24,25,26,10,11,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,13,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000437021255493164","louvain","edit-htwikisource.graphml"
"0.9","0.1","0","0.597502972651605","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.00101804733276367","louvain","edit-htwikisource.graphml"
"0.89","0.11","0","0.597502972651605","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.000602006912231445","louvain","edit-htwikisource.graphml"
"0.88","0.12","0","0.600936524453694","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.000406980514526367","louvain","edit-htwikisource.graphml"
"0.87","0.13","0","0.621212121212121","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.00036311149597168","louvain","edit-htwikisource.graphml"
"0.86","0.14","0","0.625","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.000430822372436523","louvain","edit-htwikisource.graphml"
"0.85","0.15","0","0.640927977839335","1,1,2,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,10,10,15,16,12,17,18,19,20,21,22,23,24,25,10,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,12,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104","0.000343084335327148","louvain","edit-htwikisource.graphml"
"0.84","0.16","0","0.643655489809336","1,1,2,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,11,16,17,13,18,19,20,21,22,23,24,25,26,10,11,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,13,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000312089920043945","louvain","edit-htwikisource.graphml"
"0.83","0.17","0","0.645","1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,11,16,17,13,18,19,20,21,22,23,24,25,26,10,11,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,13,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000309228897094727","louvain","edit-htwikisource.graphml"
"0.82","0.18","0","0.649018441403926","1,1,2,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,10,11,16,17,13,18,19,20,21,22,23,24,25,26,10,11,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,13,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000319957733154297","louvain","edit-htwikisource.graphml"
"0.81","0.19","0","0.63953488372093","1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,10,16,17,12,18,19,20,21,22,23,24,25,26,15,10,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,12,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000324010848999023","louvain","edit-htwikisource.graphml"
"0.8","0.2","0","0.664327750113173","1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,10,16,17,12,18,19,20,21,22,23,24,25,26,15,10,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,12,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000313997268676758","louvain","edit-htwikisource.graphml"
"0.79","0.21","0","0.667317708333333","1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,10,16,17,12,18,19,20,21,22,23,24,25,26,15,10,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,12,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000313997268676758","louvain","edit-htwikisource.graphml"
"0.78","0.22","0","0.664931278633903","1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,10,16,17,12,18,19,20,21,22,23,24,25,26,15,10,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,12,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000306129455566406","louvain","edit-htwikisource.graphml"
"0.77","0.23","0","0.664931278633903","1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,10,16,17,12,18,19,20,21,22,23,24,25,26,15,10,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,12,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105","0.000308036804199219","louvain","edit-htwikisource.graphml"
