"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.612215576865248","1,1,1,2,3,1,1,3,1,1,1,2,2,1,1,4,4,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,5,3,3,5,5,6,3,3,3,5,5,2,6,6,6,6,6,4,6,6,3,6,6,6,3,3,3,5,3,1,5,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6","0.000890016555786133","louvain","edit-kjwiki.graphml"
"0.99","0.01","0","0.306067816775729","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000506877899169922","louvain","edit-kjwiki.graphml"
"0.98","0.02","0","0.306067816775729","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000454187393188477","louvain","edit-kjwiki.graphml"
"0.97","0.03","0","0.300170068027211","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000461101531982422","louvain","edit-kjwiki.graphml"
"0.96","0.04","0","0.297301038062284","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000864982604980469","louvain","edit-kjwiki.graphml"
"0.95","0.05","0","0.294483504597079","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.00056004524230957","louvain","edit-kjwiki.graphml"
"0.94","0.06","0","0.291716210860087","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000643014907836914","louvain","edit-kjwiki.graphml"
"0.93","0.07","0","0.288997933884298","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000564098358154297","louvain","edit-kjwiki.graphml"
"0.92","0.08","0","0.286327483903547","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000474214553833008","louvain","edit-kjwiki.graphml"
"0.91","0.09","0","0.283703703703704","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000579833984375","louvain","edit-kjwiki.graphml"
"0.9","0.1","0","0.293675569429992","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000980854034423828","louvain","edit-kjwiki.graphml"
"0.89","0.11","0","0.293675569429992","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000496864318847656","louvain","edit-kjwiki.graphml"
"0.88","0.12","0","0.305595567867036","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000468015670776367","louvain","edit-kjwiki.graphml"
"0.87","0.13","0","0.311953352769679","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.00046992301940918","louvain","edit-kjwiki.graphml"
"0.86","0.14","0","0.309356188144067","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000507831573486328","louvain","edit-kjwiki.graphml"
"0.85","0.15","0","0.349852071005917","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000478029251098633","louvain","edit-kjwiki.graphml"
"0.84","0.16","0","0.349852071005917","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.00044703483581543","louvain","edit-kjwiki.graphml"
"0.83","0.17","0","0.368141289437586","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000462055206298828","louvain","edit-kjwiki.graphml"
"0.82","0.18","0","0.36545745307634","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000443935394287109","louvain","edit-kjwiki.graphml"
"0.81","0.19","0","0.376528925619835","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000480890274047852","louvain","edit-kjwiki.graphml"
"0.8","0.2","0","0.388960302457467","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.00046992301940918","louvain","edit-kjwiki.graphml"
"0.79","0.21","0","0.388960302457467","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000471830368041992","louvain","edit-kjwiki.graphml"
"0.78","0.22","0","0.388960302457467","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000481128692626953","louvain","edit-kjwiki.graphml"
"0.77","0.23","0","0.391074076689499","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000463008880615234","louvain","edit-kjwiki.graphml"
"0.76","0.24","0","0.391074076689499","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,5,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,58,59,5,5,5,5,5,5,5,5,5,5,5,5,60,61,62,63,64,65,66,67","0.000541925430297852","louvain","edit-kjwiki.graphml"
"0.75","0.25","0","0.452189349112426","1,1,1,1,1,1,1,1,2,3,4,1,5,6,7,8,9,10,11,12,13,1,14,15,16,17,9,9,9,9,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,5,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,56,57,5,5,5,5,5,5,5,5,5,5,5,5,58,59,60,61,62,63,64,65","0.0005950927734375","louvain","edit-kjwiki.graphml"
"0.74","0.26","0","0.45064390187052","1,1,1,2,1,1,1,1,3,4,5,2,6,7,8,9,10,11,12,13,14,1,15,16,17,18,10,10,10,10,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,6,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,57,58,6,6,6,6,6,6,6,6,6,6,6,6,59,60,61,62,63,64,65,66","0.000814914703369141","louvain","edit-kjwiki.graphml"
