"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.625","1,1,1,2,1,2,2,2,2,3,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5","0.000238895416259766","louvain","edit-krwikiquote.graphml"
"0.99","0.01","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000194072723388672","louvain","edit-krwikiquote.graphml"
"0.98","0.02","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000206947326660156","louvain","edit-krwikiquote.graphml"
"0.97","0.03","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000191926956176758","louvain","edit-krwikiquote.graphml"
"0.96","0.04","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000177145004272461","louvain","edit-krwikiquote.graphml"
"0.95","0.05","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000171899795532227","louvain","edit-krwikiquote.graphml"
"0.94","0.06","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000164985656738281","louvain","edit-krwikiquote.graphml"
"0.93","0.07","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000163078308105469","louvain","edit-krwikiquote.graphml"
"0.92","0.08","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000194072723388672","louvain","edit-krwikiquote.graphml"
"0.91","0.09","0","0.598765432098765","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000174999237060547","louvain","edit-krwikiquote.graphml"
"0.9","0.1","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000174999237060547","louvain","edit-krwikiquote.graphml"
"0.89","0.11","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000174999237060547","louvain","edit-krwikiquote.graphml"
"0.88","0.12","0","0.655","1,1,1,2,3,4,5,6,2,7,8,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0.000244140625","louvain","edit-krwikiquote.graphml"
