"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.664465089272754","1,1,1,2,1,3,4,2,1,5,5,5,5,4,4,2,2,2,1,2,5,5,4,3,6,2,2,2,5,5,1,2,5,5,1,5,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,6,6,6,6,6,6","0.000528097152709961","louvain","edit-kswikibooks.graphml"
"0.99","0.01","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000262022018432617","louvain","edit-kswikibooks.graphml"
"0.98","0.02","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.00023198127746582","louvain","edit-kswikibooks.graphml"
"0.97","0.03","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000243186950683594","louvain","edit-kswikibooks.graphml"
"0.96","0.04","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000227212905883789","louvain","edit-kswikibooks.graphml"
"0.95","0.05","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000262975692749023","louvain","edit-kswikibooks.graphml"
"0.94","0.06","0","0.48","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.00030207633972168","louvain","edit-kswikibooks.graphml"
"0.93","0.07","0","0.611111111111111","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000241994857788086","louvain","edit-kswikibooks.graphml"
"0.92","0.08","0","0.693877551020408","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000257015228271484","louvain","edit-kswikibooks.graphml"
"0.91","0.09","0","0.693877551020408","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000262022018432617","louvain","edit-kswikibooks.graphml"
"0.9","0.1","0","0.65625","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000422954559326172","louvain","edit-kswikibooks.graphml"
"0.89","0.11","0","0.65625","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000313997268676758","louvain","edit-kswikibooks.graphml"
"0.88","0.12","0","0.7","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000410079956054688","louvain","edit-kswikibooks.graphml"
"0.87","0.13","0","0.7","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000323057174682617","louvain","edit-kswikibooks.graphml"
"0.86","0.14","0","0.694214876033058","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000344991683959961","louvain","edit-kswikibooks.graphml"
"0.85","0.15","0","0.684027777777778","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000492095947265625","louvain","edit-kswikibooks.graphml"
"0.84","0.16","0","0.684027777777778","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,9,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61","0.000480890274047852","louvain","edit-kswikibooks.graphml"
"0.83","0.17","0","0.72189349112426","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000407934188842773","louvain","edit-kswikibooks.graphml"
"0.82","0.18","0","0.72189349112426","1,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,16,17,18,19,20,21,5,22,23,24,25,26,27,28,29,30,9,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60","0.000246047973632812","louvain","edit-kswikibooks.graphml"
