"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.678446654125235","1,2,2,3,3,3,3,4,5,5,1,6,4,5,5,1,6,5,4,1,6,6,5,4,4,7,1,2,2,6,6,5,5,4,4,4,1,1,1,3,3,3,3,7,7,7,7,7,7,7,7","0.000427961349487305","louvain","edit-kswikiquote.graphml"
"0.99","0.01","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000248908996582031","louvain","edit-kswikiquote.graphml"
"0.98","0.02","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000221967697143555","louvain","edit-kswikiquote.graphml"
"0.97","0.03","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000231027603149414","louvain","edit-kswikiquote.graphml"
"0.96","0.04","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000232934951782227","louvain","edit-kswikiquote.graphml"
"0.95","0.05","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000255823135375977","louvain","edit-kswikiquote.graphml"
"0.94","0.06","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000217914581298828","louvain","edit-kswikiquote.graphml"
"0.93","0.07","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000223875045776367","louvain","edit-kswikiquote.graphml"
"0.92","0.08","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000229120254516602","louvain","edit-kswikiquote.graphml"
"0.91","0.09","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000239133834838867","louvain","edit-kswikiquote.graphml"
"0.9","0.1","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000235080718994141","louvain","edit-kswikiquote.graphml"
"0.89","0.11","0","0.49896694214876","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000230073928833008","louvain","edit-kswikiquote.graphml"
"0.88","0.12","0","0.532136105860113","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000241994857788086","louvain","edit-kswikiquote.graphml"
"0.87","0.13","0","0.532136105860113","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000323057174682617","louvain","edit-kswikiquote.graphml"
"0.86","0.14","0","0.532136105860113","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000236034393310547","louvain","edit-kswikiquote.graphml"
"0.85","0.15","0","0.5368","1,2,2,3,3,3,3,1,4,5,1,1,6,4,7,8,9,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,3,31,32,3,33,34,35,36,37,38,39,40","0.000227928161621094","louvain","edit-kswikiquote.graphml"
