"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.632308264616529","1,1,1,1,1,2,3,4,5,1,1,2,4,1,3,3,3,5,3,3,3,3,1,1,4,2,2,2,1,1,3,3,2,4,3,3,3,3,3,3,4,4,3,1,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,2,2,2,2,2,2","0.00115299224853516","louvain","edit-lnwikibooks.graphml"
"0.99","0.01","0","0.313148788927336","1,2,3,2,1,1,2,3,2,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000963211059570312","louvain","edit-lnwikibooks.graphml"
"0.98","0.02","0","0.313148788927336","1,2,3,2,1,1,2,3,2,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000544071197509766","louvain","edit-lnwikibooks.graphml"
"0.97","0.03","0","0.313148788927336","1,2,3,2,1,1,2,3,2,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000313043594360352","louvain","edit-lnwikibooks.graphml"
"0.96","0.04","0","0.367036011080332","1,2,3,2,1,1,2,3,2,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000278949737548828","louvain","edit-lnwikibooks.graphml"
"0.95","0.05","0","0.4075","1,2,3,2,1,1,2,3,4,2,2,5,6,7,8,9,10,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000276803970336914","louvain","edit-lnwikibooks.graphml"
"0.94","0.06","0","0.4075","1,2,3,2,1,1,2,3,4,2,2,5,6,7,8,9,10,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000272989273071289","louvain","edit-lnwikibooks.graphml"
"0.93","0.07","0","0.4075","1,2,3,2,1,1,2,3,4,2,2,5,6,7,8,9,10,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000585079193115234","louvain","edit-lnwikibooks.graphml"
"0.92","0.08","0","0.448347107438017","1,2,3,2,1,1,2,3,4,2,2,5,6,7,8,9,10,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000304937362670898","louvain","edit-lnwikibooks.graphml"
"0.91","0.09","0","0.46124763705104","1,2,3,2,1,1,2,3,4,2,2,5,6,7,8,9,10,4,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000278949737548828","louvain","edit-lnwikibooks.graphml"
