"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.578942684229263","1,1,2,3,1,1,1,1,3,3,4,2,5,3,3,3,3,5,6,6,1,1,3,3,3,4,4,5,3,3,3,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,6,6,6,6,6,6,6","0.000612974166870117","louvain","edit-miwikibooks.graphml"
"0.99","0.01","0","0.155","1,2,2,3,4,2,1,1,5,6,1,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000454187393188477","louvain","edit-miwikibooks.graphml"
"0.98","0.02","0","0.155","1,2,2,3,4,2,1,1,5,6,1,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000422954559326172","louvain","edit-miwikibooks.graphml"
"0.97","0.03","0","0.155","1,2,2,3,4,2,1,1,5,6,1,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.00039982795715332","louvain","edit-miwikibooks.graphml"
"0.96","0.04","0","0.309027777777778","1,2,2,3,4,2,1,1,5,6,1,7,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000275135040283203","louvain","edit-miwikibooks.graphml"
"0.95","0.05","0","0.310650887573965","1,2,3,4,5,2,1,1,6,7,1,3,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000255107879638672","louvain","edit-miwikibooks.graphml"
"0.94","0.06","0","0.310650887573965","1,2,3,4,5,2,1,1,6,7,1,3,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000262022018432617","louvain","edit-miwikibooks.graphml"
"0.93","0.07","0","0.310650887573965","1,2,3,4,5,2,1,1,6,7,1,3,8,9,10,1,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67","0.000251054763793945","louvain","edit-miwikibooks.graphml"
"0.92","0.08","0","0.368888888888889","1,2,3,4,5,2,1,1,6,7,1,8,9,10,11,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68","0.000256061553955078","louvain","edit-miwikibooks.graphml"
"0.91","0.09","0","0.368888888888889","1,2,3,4,5,2,1,1,6,7,1,8,9,10,11,1,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68","0.000241994857788086","louvain","edit-miwikibooks.graphml"
"0.9","0.1","0","0.481481481481481","1,1,2,3,4,1,1,1,5,6,1,2,7,8,9,1,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66","0.000369071960449219","louvain","edit-miwikibooks.graphml"
