"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.662501601947969","1,1,1,1,2,1,3,1,1,2,4,1,1,2,3,2,5,2,2,4,5,2,5,1,5,5,6,5,7,7,3,3,5,2,8,1,9,9,9,10,10,7,3,3,5,2,8,11,8,8,8,1,1,9,9,9,9,10,8,8,8,8,8,7,7,3,12,12,3,3,2,5,5,2,8,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11","0.000993013381958008","louvain","edit-muswiki.graphml"
"0.99","0.01","0","0.525519848771266","1,2,1,1,1,2,1,1,3,2,2,4,5,6,2,2,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,2,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000624179840087891","louvain","edit-muswiki.graphml"
"0.98","0.02","0","0.525519848771266","1,2,1,1,1,2,1,1,3,2,2,4,5,6,2,2,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,2,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000684022903442383","louvain","edit-muswiki.graphml"
"0.97","0.03","0","0.524305555555555","1,2,1,1,1,2,1,1,3,4,4,5,6,7,4,4,8,9,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,24,25,1,1,26,27,28,29,30,4,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","0.000698089599609375","louvain","edit-muswiki.graphml"
"0.96","0.04","0","0.529585798816568","1,2,1,1,1,2,1,1,3,4,4,5,6,7,4,4,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000669002532958984","louvain","edit-muswiki.graphml"
"0.95","0.05","0","0.529585798816568","1,2,1,1,1,2,1,1,3,4,4,5,6,7,4,4,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000669956207275391","louvain","edit-muswiki.graphml"
"0.94","0.06","0","0.529492455418381","1,2,1,1,1,2,1,1,3,4,4,5,6,7,4,4,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000683069229125977","louvain","edit-muswiki.graphml"
"0.93","0.07","0","0.552933673469388","1,2,1,1,1,2,1,1,3,4,4,5,6,7,4,4,8,9,10,11,12,13,14,15,16,16,17,18,19,20,21,22,23,24,25,1,1,26,27,28,29,30,4,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100","0.000644922256469727","louvain","edit-muswiki.graphml"
"0.92","0.08","0","0.535671819262782","1,2,1,1,1,2,1,1,3,2,4,5,6,7,4,2,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000634908676147461","louvain","edit-muswiki.graphml"
"0.91","0.09","0","0.536111111111111","1,2,1,1,1,2,1,1,3,2,4,5,6,7,4,2,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000646829605102539","louvain","edit-muswiki.graphml"
"0.9","0.1","0","0.559313215400624","1,2,1,1,1,2,1,1,3,2,4,5,6,7,4,2,8,9,10,4,11,12,13,14,15,15,16,17,18,19,20,21,22,23,24,1,1,25,26,27,28,29,4,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99","0.000637054443359375","louvain","edit-muswiki.graphml"
