"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.703758788534343","1,2,3,1,3,1,1,4,3,3,3,3,5,6,6,2,2,2,3,7,3,6,8,8,9,2,2,3,2,3,3,1,1,7,7,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,6,6,4,4,8,8,8,8,8,8,6,6,9,9,9,9,9,9,9,9","0.000526905059814453","louvain","edit-mywikibooks.graphml"
"0.99","0.01","0","0.487654320987654","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000299930572509766","louvain","edit-mywikibooks.graphml"
"0.98","0.02","0","0.487654320987654","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000283002853393555","louvain","edit-mywikibooks.graphml"
"0.97","0.03","0","0.487654320987654","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000277042388916016","louvain","edit-mywikibooks.graphml"
"0.96","0.04","0","0.487654320987654","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000269889831542969","louvain","edit-mywikibooks.graphml"
"0.95","0.05","0","0.50415512465374","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000478982925415039","louvain","edit-mywikibooks.graphml"
"0.94","0.06","0","0.50415512465374","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000457048416137695","louvain","edit-mywikibooks.graphml"
"0.93","0.07","0","0.50415512465374","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000436067581176758","louvain","edit-mywikibooks.graphml"
"0.92","0.08","0","0.50415512465374","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000436067581176758","louvain","edit-mywikibooks.graphml"
"0.91","0.09","0","0.50415512465374","1,1,1,1,2,1,1,2,2,3,2,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000431060791015625","louvain","edit-mywikibooks.graphml"
"0.9","0.1","0","0.525","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000430107116699219","louvain","edit-mywikibooks.graphml"
"0.89","0.11","0","0.525","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000430107116699219","louvain","edit-mywikibooks.graphml"
"0.88","0.12","0","0.560090702947846","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000422954559326172","louvain","edit-mywikibooks.graphml"
"0.87","0.13","0","0.549586776859504","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000447988510131836","louvain","edit-mywikibooks.graphml"
"0.86","0.14","0","0.568998109640832","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000458955764770508","louvain","edit-mywikibooks.graphml"
"0.85","0.15","0","0.597222222222222","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.000444889068603516","louvain","edit-mywikibooks.graphml"
"0.84","0.16","0","0.597222222222222","1,1,1,1,2,1,1,3,2,4,2,5,6,7,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64","0.00044703483581543","louvain","edit-mywikibooks.graphml"
