"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.66605109264389","1,1,1,1,2,3,1,3,2,4,1,1,3,5,2,4,2,4,6,6,5,5,3,3,2,4,2,5,2,4,4,4,4,4,6,6,6,6,6,4,4,5,5,5,5,5,5,5,5","0.000458002090454102","louvain","edit-rmwikibooks.graphml"
"0.99","0.01","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000217914581298828","louvain","edit-rmwikibooks.graphml"
"0.98","0.02","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000216960906982422","louvain","edit-rmwikibooks.graphml"
"0.97","0.03","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000200986862182617","louvain","edit-rmwikibooks.graphml"
"0.96","0.04","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000223875045776367","louvain","edit-rmwikibooks.graphml"
"0.95","0.05","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000184059143066406","louvain","edit-rmwikibooks.graphml"
"0.94","0.06","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.00018000602722168","louvain","edit-rmwikibooks.graphml"
"0.93","0.07","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000177860260009766","louvain","edit-rmwikibooks.graphml"
"0.92","0.08","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000173807144165039","louvain","edit-rmwikibooks.graphml"
"0.91","0.09","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000214099884033203","louvain","edit-rmwikibooks.graphml"
"0.9","0.1","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000225067138671875","louvain","edit-rmwikibooks.graphml"
"0.89","0.11","0","0","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000185012817382812","louvain","edit-rmwikibooks.graphml"
"0.88","0.12","0","0.375","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.00018000602722168","louvain","edit-rmwikibooks.graphml"
"0.87","0.13","0","0.56","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000176191329956055","louvain","edit-rmwikibooks.graphml"
"0.86","0.14","0","0.56","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000178098678588867","louvain","edit-rmwikibooks.graphml"
"0.85","0.15","0","0.56","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000196933746337891","louvain","edit-rmwikibooks.graphml"
"0.84","0.16","0","0.56","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000174999237060547","louvain","edit-rmwikibooks.graphml"
"0.83","0.17","0","0.666666666666667","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000174999237060547","louvain","edit-rmwikibooks.graphml"
"0.82","0.18","0","0.666666666666667","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000182867050170898","louvain","edit-rmwikibooks.graphml"
"0.81","0.19","0","0.666666666666667","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000176906585693359","louvain","edit-rmwikibooks.graphml"
"0.8","0.2","0","0.78125","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000179052352905273","louvain","edit-rmwikibooks.graphml"
"0.79","0.21","0","0.78125","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000177860260009766","louvain","edit-rmwikibooks.graphml"
"0.78","0.22","0","0.78125","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.00018310546875","louvain","edit-rmwikibooks.graphml"
"0.77","0.23","0","0.790123456790123","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.00020909309387207","louvain","edit-rmwikibooks.graphml"
"0.76","0.24","0","0.790123456790123","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000194072723388672","louvain","edit-rmwikibooks.graphml"
"0.75","0.25","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000216960906982422","louvain","edit-rmwikibooks.graphml"
"0.74","0.26","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000185966491699219","louvain","edit-rmwikibooks.graphml"
"0.73","0.27","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000195026397705078","louvain","edit-rmwikibooks.graphml"
"0.72","0.28","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000197172164916992","louvain","edit-rmwikibooks.graphml"
"0.71","0.29","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000230073928833008","louvain","edit-rmwikibooks.graphml"
"0.7","0.3","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000269174575805664","louvain","edit-rmwikibooks.graphml"
"0.69","0.31","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000223159790039062","louvain","edit-rmwikibooks.graphml"
"0.68","0.32","0","0.846938775510204","1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47","0.000195026397705078","louvain","edit-rmwikibooks.graphml"
