"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.637206948895261","1,1,1,2,2,2,3,4,4,4,5,4,4,4,5,4,5,6,3,2,6,5,3,2,6,1,7,3,3,3,3,2,2,2,6,2,2,2,2,2,2,2,2,2,6,5,2,2,1,1,1,1,1,1,7,7,7,7,7,7,7,7","0.000463008880615234","louvain","edit-rnwiktionary.graphml"
"0.99","0.01","0","0.31689453125","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000254154205322266","louvain","edit-rnwiktionary.graphml"
"0.98","0.02","0","0.31689453125","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000258922576904297","louvain","edit-rnwiktionary.graphml"
"0.97","0.03","0","0.31689453125","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000247001647949219","louvain","edit-rnwiktionary.graphml"
"0.96","0.04","0","0.31689453125","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000233888626098633","louvain","edit-rnwiktionary.graphml"
"0.95","0.05","0","0.310835629017447","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000325202941894531","louvain","edit-rnwiktionary.graphml"
"0.94","0.06","0","0.310835629017447","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000262022018432617","louvain","edit-rnwiktionary.graphml"
"0.93","0.07","0","0.310835629017447","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000247001647949219","louvain","edit-rnwiktionary.graphml"
"0.92","0.08","0","0.310835629017447","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000224828720092773","louvain","edit-rnwiktionary.graphml"
"0.91","0.09","0","0.304930795847751","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000229835510253906","louvain","edit-rnwiktionary.graphml"
"0.9","0.1","0","0.304930795847751","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000221014022827148","louvain","edit-rnwiktionary.graphml"
"0.89","0.11","0","0.304930795847751","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000227928161621094","louvain","edit-rnwiktionary.graphml"
"0.88","0.12","0","0.339183673469388","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000280857086181641","louvain","edit-rnwiktionary.graphml"
"0.87","0.13","0","0.332947530864198","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000221014022827148","louvain","edit-rnwiktionary.graphml"
"0.86","0.14","0","0.332947530864198","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000211000442504883","louvain","edit-rnwiktionary.graphml"
"0.85","0.15","0","0.364134404674945","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000219106674194336","louvain","edit-rnwiktionary.graphml"
"0.84","0.16","0","0.364134404674945","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000227928161621094","louvain","edit-rnwiktionary.graphml"
"0.83","0.17","0","0.38034188034188","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000222921371459961","louvain","edit-rnwiktionary.graphml"
"0.82","0.18","0","0.38034188034188","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.00021815299987793","louvain","edit-rnwiktionary.graphml"
"0.81","0.19","0","0.38034188034188","1,1,1,2,2,3,3,4,4,3,3,5,6,7,8,9,10,11,12,3,13,14,15,16,17,18,19,20,21,22,23,3,3,3,3,3,3,3,3,3,3,3,3,3,24,25,3,3,26,27,28,29,30,31,32,33,34,35,36,37,38,39","0.000211000442504883","louvain","edit-rnwiktionary.graphml"
"0.8","0.2","0","0.42266508030934","1,1,1,2,2,3,4,5,5,3,3,6,7,8,9,10,11,12,13,3,14,15,16,17,18,19,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000227928161621094","louvain","edit-rnwiktionary.graphml"
"0.79","0.21","0","0.416383219954649","1,1,1,2,2,3,4,5,5,3,3,6,7,8,9,10,11,12,13,3,14,15,16,17,18,19,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000217914581298828","louvain","edit-rnwiktionary.graphml"
"0.78","0.22","0","0.416383219954649","1,1,1,2,2,3,4,5,5,3,3,6,7,8,9,10,11,12,13,3,14,15,16,17,18,19,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000215053558349609","louvain","edit-rnwiktionary.graphml"
"0.77","0.23","0","0.438345051379124","1,1,1,2,2,3,4,5,5,3,3,6,7,8,9,10,11,12,13,3,14,15,16,17,18,19,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000211000442504883","louvain","edit-rnwiktionary.graphml"
"0.76","0.24","0","0.438345051379124","1,1,1,2,2,3,4,5,5,3,3,6,7,8,9,10,11,12,13,3,14,15,16,17,18,19,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000226020812988281","louvain","edit-rnwiktionary.graphml"
"0.75","0.25","0","0.490885416666667","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000235080718994141","louvain","edit-rnwiktionary.graphml"
"0.74","0.26","0","0.490885416666667","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000245094299316406","louvain","edit-rnwiktionary.graphml"
"0.73","0.27","0","0.490885416666667","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000332117080688477","louvain","edit-rnwiktionary.graphml"
"0.72","0.28","0","0.490885416666667","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000362157821655273","louvain","edit-rnwiktionary.graphml"
"0.71","0.29","0","0.501874219075385","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000311136245727539","louvain","edit-rnwiktionary.graphml"
"0.7","0.3","0","0.4964","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000303983688354492","louvain","edit-rnwiktionary.graphml"
"0.69","0.31","0","0.4964","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000304937362670898","louvain","edit-rnwiktionary.graphml"
"0.68","0.32","0","0.4964","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000292062759399414","louvain","edit-rnwiktionary.graphml"
"0.67","0.33","0","0.4964","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000308990478515625","louvain","edit-rnwiktionary.graphml"
"0.66","0.34","0","0.543471074380165","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000288963317871094","louvain","edit-rnwiktionary.graphml"
"0.65","0.35","0","0.543471074380165","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000291824340820312","louvain","edit-rnwiktionary.graphml"
"0.64","0.36","0","0.543471074380165","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000258922576904297","louvain","edit-rnwiktionary.graphml"
"0.63","0.37","0","0.543471074380165","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000406026840209961","louvain","edit-rnwiktionary.graphml"
"0.62","0.38","0","0.538265306122449","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000401973724365234","louvain","edit-rnwiktionary.graphml"
"0.61","0.39","0","0.538265306122449","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000514984130859375","louvain","edit-rnwiktionary.graphml"
"0.6","0.4","0","0.563317479191439","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000276803970336914","louvain","edit-rnwiktionary.graphml"
"0.59","0.41","0","0.563317479191439","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.00029301643371582","louvain","edit-rnwiktionary.graphml"
"0.58","0.42","0","0.558172938810687","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000333070755004883","louvain","edit-rnwiktionary.graphml"
"0.57","0.43","0","0.565277777777778","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000271081924438477","louvain","edit-rnwiktionary.graphml"
"0.56","0.44","0","0.565277777777778","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000303030014038086","louvain","edit-rnwiktionary.graphml"
"0.55","0.45","0","0.575651706530503","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.00116801261901855","louvain","edit-rnwiktionary.graphml"
"0.54","0.46","0","0.570759625390219","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.00029301643371582","louvain","edit-rnwiktionary.graphml"
"0.53","0.47","0","0.570759625390219","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000273942947387695","louvain","edit-rnwiktionary.graphml"
"0.52","0.48","0","0.570759625390219","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000247001647949219","louvain","edit-rnwiktionary.graphml"
"0.51","0.49","0","0.570759625390219","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,3,15,16,17,18,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,3,25,26,3,3,27,28,29,30,31,32,33,34,35,36,37,38,39,40","0.000238895416259766","louvain","edit-rnwiktionary.graphml"
"0.5","0.5","0","0.71527488546439","1,1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,3,20,1,21,22,23,24,25,3,3,3,3,3,3,3,3,3,3,3,3,16,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000326156616210938","louvain","edit-rnwiktionary.graphml"
"0.49","0.51","0","0.71527488546439","1,1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,3,20,1,21,22,23,24,25,3,3,3,3,3,3,3,3,3,3,3,3,16,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000268936157226562","louvain","edit-rnwiktionary.graphml"
"0.48","0.52","0","0.71527488546439","1,1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,3,20,1,21,22,23,24,25,3,3,3,3,3,3,3,3,3,3,3,3,16,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000252008438110352","louvain","edit-rnwiktionary.graphml"
"0.47","0.53","0","0.71527488546439","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,3,19,1,20,21,22,23,24,3,3,3,25,3,3,3,3,3,3,3,3,15,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000247001647949219","louvain","edit-rnwiktionary.graphml"
"0.46","0.54","0","0.71438983756768","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,3,19,1,20,21,22,23,24,3,3,3,3,3,3,3,3,3,3,3,3,15,25,26,3,3,27,28,29,28,28,28,30,31,32,33,34,35,36,37","0.000262975692749023","louvain","edit-rnwiktionary.graphml"
"0.45","0.55","0","0.712529333741455","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,3,19,1,20,21,22,23,24,3,3,3,25,3,3,3,3,3,3,3,3,15,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000245094299316406","louvain","edit-rnwiktionary.graphml"
"0.44","0.56","0","0.71625","1,1,1,2,2,3,4,5,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1,21,22,23,24,25,3,3,3,3,3,3,3,3,3,3,3,3,15,26,27,3,3,28,29,30,29,29,29,31,32,33,34,35,36,37,38","0.000256061553955078","louvain","edit-rnwiktionary.graphml"
