"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.675169761432606","1,2,2,3,3,4,3,5,3,6,3,3,3,7,7,7,7,7,4,7,4,4,7,4,4,5,8,6,6,3,6,6,6,6,6,6,3,3,3,2,6,3,3,2,3,6,6,6,6,6,6,6,6,3,9,9,4,4,5,4,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,8,8,8,8,8,8,8,8","0.000648975372314453","louvain","edit-scwiktionary.graphml"
"0.99","0.01","0","0.590589507842077","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000340938568115234","louvain","edit-scwiktionary.graphml"
"0.98","0.02","0","0.590589507842077","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000319004058837891","louvain","edit-scwiktionary.graphml"
"0.97","0.03","0","0.590589507842077","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.00030207633972168","louvain","edit-scwiktionary.graphml"
"0.96","0.04","0","0.590589507842077","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000276803970336914","louvain","edit-scwiktionary.graphml"
"0.95","0.05","0","0.620037807183365","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000298976898193359","louvain","edit-scwiktionary.graphml"
"0.94","0.06","0","0.620037807183365","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000281095504760742","louvain","edit-scwiktionary.graphml"
"0.93","0.07","0","0.603666817564509","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000293970108032227","louvain","edit-scwiktionary.graphml"
"0.92","0.08","0","0.603666817564509","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000292062759399414","louvain","edit-scwiktionary.graphml"
"0.91","0.09","0","0.605251736111111","1,2,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,6,7,8,9,10,11,12,13,14,2,2,15,16,17,18,19,20,21,22,23,24,25,2,2,26,2,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,2,2,2,49,2,2,2,2,50,51,52,2,2,2,2,2,2,2,2,53,54,55,56,57,58,59,60,61,62","0.000301122665405273","louvain","edit-scwiktionary.graphml"
