"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.644887756102343","1,1,1,1,1,1,1,2,3,2,4,5,3,2,4,5,6,2,4,4,5,6,6,6,7,4,4,4,5,6,6,5,4,4,4,1,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,7,7,7,7,7,7,7,7,7","0.0009918212890625","louvain","edit-ttwikiquote.graphml"
"0.99","0.01","0","0.433390022675737","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000530004501342773","louvain","edit-ttwikiquote.graphml"
"0.98","0.02","0","0.433390022675737","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000296831130981445","louvain","edit-ttwikiquote.graphml"
"0.97","0.03","0","0.433390022675737","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000273942947387695","louvain","edit-ttwikiquote.graphml"
"0.96","0.04","0","0.433390022675737","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000269889831542969","louvain","edit-ttwikiquote.graphml"
"0.95","0.05","0","0.426987560843699","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000262975692749023","louvain","edit-ttwikiquote.graphml"
"0.94","0.06","0","0.420712809917355","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000335931777954102","louvain","edit-ttwikiquote.graphml"
"0.93","0.07","0","0.420712809917355","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.00035405158996582","louvain","edit-ttwikiquote.graphml"
"0.92","0.08","0","0.414567901234568","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000484228134155273","louvain","edit-ttwikiquote.graphml"
"0.91","0.09","0","0.438799621928166","1,1,1,1,2,2,1,1,3,4,5,6,3,7,8,9,3,10,11,12,13,14,15,3,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,3,3,3,3,33,3,3,34,35,3,3,3,3,3,36,3,37,38,39,40,41,42,43,44,45,46,47","0.000496149063110352","louvain","edit-ttwikiquote.graphml"
