"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.633232514177694","1,2,1,3,2,1,4,2,1,4,5,5,2,6,6,3,3,2,7,7,1,8,3,8,5,2,6,6,3,3,1,5,5,2,2,7,7,7,1,5,3,8,1,7,7,7,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,5,5,5,5,5,5,5,5","0.000626802444458008","louvain","edit-ugwikibooks.graphml"
"0.99","0.01","0","0.141975308641975","1,2,1,2,2,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000337839126586914","louvain","edit-ugwikibooks.graphml"
"0.98","0.02","0","0.141975308641975","1,2,1,2,2,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000317811965942383","louvain","edit-ugwikibooks.graphml"
"0.97","0.03","0","0.141975308641975","1,2,1,2,2,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000313997268676758","louvain","edit-ugwikibooks.graphml"
"0.96","0.04","0","0.141975308641975","1,2,1,2,2,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78","0.000315189361572266","louvain","edit-ugwikibooks.graphml"
"0.95","0.05","0","0.402777777777778","1,1,2,1,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77","0.000319957733154297","louvain","edit-ugwikibooks.graphml"
"0.94","0.06","0","0.402777777777778","1,1,2,1,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77","0.000317096710205078","louvain","edit-ugwikibooks.graphml"
"0.93","0.07","0","0.402777777777778","1,1,2,1,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77","0.000317811965942383","louvain","edit-ugwikibooks.graphml"
"0.92","0.08","0","0.402777777777778","1,1,2,1,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77","0.000290870666503906","louvain","edit-ugwikibooks.graphml"
"0.91","0.09","0","0.459183673469388","1,1,2,1,1,2,3,4,5,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77","0.000322103500366211","louvain","edit-ugwikibooks.graphml"
"0.9","0.1","0","0.48","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.000319004058837891","louvain","edit-ugwikibooks.graphml"
"0.89","0.11","0","0.48","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.000324010848999023","louvain","edit-ugwikibooks.graphml"
"0.88","0.12","0","0.5390625","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.01882004737854","louvain","edit-ugwikibooks.graphml"
"0.87","0.13","0","0.592592592592593","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.000416994094848633","louvain","edit-ugwikibooks.graphml"
"0.86","0.14","0","0.592797783933518","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.000341176986694336","louvain","edit-ugwikibooks.graphml"
"0.85","0.15","0","0.625850340136054","1,1,1,1,1,1,2,3,4,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76","0.000304937362670898","louvain","edit-ugwikibooks.graphml"
