"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.687890625","1,2,1,2,3,3,4,5,1,1,2,2,3,4,5,6,6,1,5,2,2,7,2,4,7,5,5,8,6,6,1,5,1,1,1,2,2,7,2,1,6,6,4,7,7,7,7,7,5,5,5,5,5,5,5,7,7,8,8,8,8,8,8,8,8","0.000643014907836914","louvain","edit-ugwikiquote.graphml"
"0.99","0.01","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000383853912353516","louvain","edit-ugwikiquote.graphml"
"0.98","0.02","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000329017639160156","louvain","edit-ugwikiquote.graphml"
"0.97","0.03","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000345945358276367","louvain","edit-ugwikiquote.graphml"
"0.96","0.04","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000337123870849609","louvain","edit-ugwikiquote.graphml"
"0.95","0.05","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000282049179077148","louvain","edit-ugwikiquote.graphml"
"0.94","0.06","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000277042388916016","louvain","edit-ugwikiquote.graphml"
"0.93","0.07","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.00024104118347168","louvain","edit-ugwikiquote.graphml"
"0.92","0.08","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000323057174682617","louvain","edit-ugwikiquote.graphml"
"0.91","0.09","0","0.459183673469388","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000419139862060547","louvain","edit-ugwikiquote.graphml"
"0.9","0.1","0","0.515555555555556","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.000407934188842773","louvain","edit-ugwikiquote.graphml"
"0.89","0.11","0","0.515555555555556","1,2,1,2,3,3,1,1,1,1,2,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56","0.0004119873046875","louvain","edit-ugwikiquote.graphml"
