"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.576183431952663","1,1,2,2,3,3,2,3,2,3,1,3,3,4,4,4,5,4,4,5,5,4,6,6,5,7,4,6,7,6,6,5,7,4,5,6,6,6,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,6,6,6,6,6,6","0.000566959381103516","louvain","edit-vowikiquote.graphml"
"0.99","0.01","0","0.624260355029586","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000275850296020508","louvain","edit-vowikiquote.graphml"
"0.98","0.02","0","0.624260355029586","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.00026392936706543","louvain","edit-vowikiquote.graphml"
"0.97","0.03","0","0.624260355029586","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000252008438110352","louvain","edit-vowikiquote.graphml"
"0.96","0.04","0","0.624260355029586","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000250816345214844","louvain","edit-vowikiquote.graphml"
"0.95","0.05","0","0.651111111111111","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000239133834838867","louvain","edit-vowikiquote.graphml"
"0.94","0.06","0","0.595703125","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000237941741943359","louvain","edit-vowikiquote.graphml"
"0.93","0.07","0","0.595703125","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000480175018310547","louvain","edit-vowikiquote.graphml"
"0.92","0.08","0","0.578125","1,2,3,4,2,2,4,2,4,5,1,6,7,8,8,9,10,11,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62","0.000381946563720703","louvain","edit-vowikiquote.graphml"
"0.91","0.09","0","0.583044982698962","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000394105911254883","louvain","edit-vowikiquote.graphml"
"0.9","0.1","0","0.641274238227147","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000399112701416016","louvain","edit-vowikiquote.graphml"
"0.89","0.11","0","0.641274238227147","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000322818756103516","louvain","edit-vowikiquote.graphml"
"0.88","0.12","0","0.59375","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000307083129882812","louvain","edit-vowikiquote.graphml"
"0.87","0.13","0","0.612603305785124","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000241994857788086","louvain","edit-vowikiquote.graphml"
"0.86","0.14","0","0.612603305785124","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000238895416259766","louvain","edit-vowikiquote.graphml"
"0.85","0.15","0","0.650173611111111","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000239133834838867","louvain","edit-vowikiquote.graphml"
"0.84","0.16","0","0.650173611111111","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000226974487304688","louvain","edit-vowikiquote.graphml"
"0.83","0.17","0","0.66198224852071","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000240802764892578","louvain","edit-vowikiquote.graphml"
"0.82","0.18","0","0.62482853223594","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000259160995483398","louvain","edit-vowikiquote.graphml"
"0.81","0.19","0","0.62482853223594","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.00023198127746582","louvain","edit-vowikiquote.graphml"
"0.8","0.2","0","0.660249739854318","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000288009643554688","louvain","edit-vowikiquote.graphml"
"0.79","0.21","0","0.65283203125","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000272035598754883","louvain","edit-vowikiquote.graphml"
"0.78","0.22","0","0.65283203125","1,2,3,4,2,2,4,2,4,5,6,7,8,9,9,10,11,12,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","0.000241994857788086","louvain","edit-vowikiquote.graphml"
