"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.467544378698225","1,2,3,3,2,2,4,1,1,1,1,1,3,1,3,3,3,1,3,3,3,5,3,3,3,1,3,3,5,1,3,5,2,5,6,1,6,5,1,6,2,5,2,2,2,1,6,5,6,6,6,6,2,5,6","0.000475168228149414","louvain","hierarchical_graph_7.graphml"
"0.99","0.01","0","0.499787414965986","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,21,20,20,21","0.000325202941894531","louvain","hierarchical_graph_7.graphml"
"0.98","0.02","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.0002899169921875","louvain","hierarchical_graph_7.graphml"
"0.97","0.03","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000274896621704102","louvain","hierarchical_graph_7.graphml"
"0.96","0.04","0","0.507369614512472","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,21,20,20,21,20,24,21,20,21,21,21,20,20,20,20","0.000283002853393555","louvain","hierarchical_graph_7.graphml"
"0.95","0.05","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000270843505859375","louvain","hierarchical_graph_7.graphml"
"0.94","0.06","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000265121459960938","louvain","hierarchical_graph_7.graphml"
"0.93","0.07","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000288963317871094","louvain","hierarchical_graph_7.graphml"
"0.92","0.08","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000284910202026367","louvain","hierarchical_graph_7.graphml"
"0.91","0.09","0","0.506731859410431","1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,15,13,16,13,13,13,17,18,13,13,16,13,13,19,16,13,20,20,20,21,22,21,20,23,21,24,20,24,24,20,25,21,20,21,21,21,20,20,20,20","0.000285148620605469","louvain","hierarchical_graph_7.graphml"
