"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.680547293277811","1,1,1,2,1,3,1,4,1,1,5,2,3,3,4,4,6,4,6,6,7,3,6,6,7,7,7,7,7,7,3,3,5,5,5,5,5,2,2,2","0.000648021697998047","louvain","hiv.graphml"
"0.99","0.01","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000296831130981445","louvain","hiv.graphml"
"0.98","0.02","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000291109085083008","louvain","hiv.graphml"
"0.97","0.03","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000212907791137695","louvain","hiv.graphml"
"0.96","0.04","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000178813934326172","louvain","hiv.graphml"
"0.95","0.05","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000176906585693359","louvain","hiv.graphml"
"0.94","0.06","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000174045562744141","louvain","hiv.graphml"
"0.93","0.07","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000179052352905273","louvain","hiv.graphml"
"0.92","0.08","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000175952911376953","louvain","hiv.graphml"
"0.91","0.09","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.00017094612121582","louvain","hiv.graphml"
"0.9","0.1","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000176906585693359","louvain","hiv.graphml"
"0.89","0.11","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000165939331054688","louvain","hiv.graphml"
"0.88","0.12","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000211000442504883","louvain","hiv.graphml"
"0.87","0.13","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000183820724487305","louvain","hiv.graphml"
"0.86","0.14","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000174045562744141","louvain","hiv.graphml"
"0.85","0.15","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000169992446899414","louvain","hiv.graphml"
"0.84","0.16","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000173807144165039","louvain","hiv.graphml"
"0.83","0.17","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.00018000602722168","louvain","hiv.graphml"
"0.82","0.18","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000176906585693359","louvain","hiv.graphml"
"0.81","0.19","0","0.375","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000177860260009766","louvain","hiv.graphml"
"0.8","0.2","0","0.666666666666667","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000185966491699219","louvain","hiv.graphml"
"0.79","0.21","0","0.666666666666667","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000181913375854492","louvain","hiv.graphml"
"0.78","0.22","0","0.666666666666667","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000182151794433594","louvain","hiv.graphml"
"0.77","0.23","0","0.666666666666667","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,26,26,28,29,30,31,32,33,34,35,36,37,38","0.000187873840332031","louvain","hiv.graphml"
