"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.00228595733642578","louvain","league-be1-2016.graphml"
"0.99","0.01","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.00376605987548828","louvain","league-be1-2016.graphml"
"0.98","0.02","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.00549006462097168","louvain","league-be1-2016.graphml"
"0.97","0.03","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.007965087890625","louvain","league-be1-2016.graphml"
"0.96","0.04","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.0112230777740479","louvain","league-be1-2016.graphml"
"0.95","0.05","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.0134410858154297","louvain","league-be1-2016.graphml"
"0.94","0.06","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.014970064163208","louvain","league-be1-2016.graphml"
"0.93","0.07","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0164039134979248","louvain","league-be1-2016.graphml"
"0.92","0.08","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0179150104522705","louvain","league-be1-2016.graphml"
"0.91","0.09","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0194480419158936","louvain","league-be1-2016.graphml"
"0.9","0.1","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0208699703216553","louvain","league-be1-2016.graphml"
"0.89","0.11","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.022291898727417","louvain","league-be1-2016.graphml"
"0.88","0.12","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0237190723419189","louvain","league-be1-2016.graphml"
"0.87","0.13","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.0250899791717529","louvain","league-be1-2016.graphml"
"0.86","0.14","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.149667024612427","louvain","league-be1-2016.graphml"
"0.85","0.15","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.151679992675781","louvain","league-be1-2016.graphml"
"0.84","0.16","0","0.0191326530612245","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.153495073318481","louvain","league-be1-2016.graphml"
"0.83","0.17","0","0.0191326530612245","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.155431985855103","louvain","league-be1-2016.graphml"
"0.82","0.18","0","0.0191326530612245","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.157209873199463","louvain","league-be1-2016.graphml"
"0.81","0.19","0","0.0191326530612245","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.158997058868408","louvain","league-be1-2016.graphml"
"0.8","0.2","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.160827875137329","louvain","league-be1-2016.graphml"
"0.79","0.21","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.162472009658813","louvain","league-be1-2016.graphml"
"0.78","0.22","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.164171934127808","louvain","league-be1-2016.graphml"
"0.77","0.23","0","0.0551470588235294","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","0.165783882141113","louvain","league-be1-2016.graphml"
