"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000353097915649414","louvain","league-de1-2016.graphml"
"0.99","0.01","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000258922576904297","louvain","league-de1-2016.graphml"
"0.98","0.02","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000228166580200195","louvain","league-de1-2016.graphml"
"0.97","0.03","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000219821929931641","louvain","league-de1-2016.graphml"
"0.96","0.04","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000380039215087891","louvain","league-de1-2016.graphml"
"0.95","0.05","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000367164611816406","louvain","league-de1-2016.graphml"
"0.94","0.06","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000252962112426758","louvain","league-de1-2016.graphml"
"0.93","0.07","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000639915466308594","louvain","league-de1-2016.graphml"
"0.92","0.08","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000401973724365234","louvain","league-de1-2016.graphml"
"0.91","0.09","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000413179397583008","louvain","league-de1-2016.graphml"
"0.9","0.1","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000444173812866211","louvain","league-de1-2016.graphml"
"0.89","0.11","0","0","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000715970993041992","louvain","league-de1-2016.graphml"
"0.88","0.12","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000502109527587891","louvain","league-de1-2016.graphml"
"0.87","0.13","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000346183776855469","louvain","league-de1-2016.graphml"
"0.86","0.14","0","0.0171717171717172","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000349044799804688","louvain","league-de1-2016.graphml"
"0.85","0.15","0","0.0171717171717172","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000332117080688477","louvain","league-de1-2016.graphml"
"0.84","0.16","0","0.0171717171717172","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.00032496452331543","louvain","league-de1-2016.graphml"
"0.83","0.17","0","0.0171717171717172","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000312089920043945","louvain","league-de1-2016.graphml"
"0.82","0.18","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000317096710205078","louvain","league-de1-2016.graphml"
"0.81","0.19","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000279903411865234","louvain","league-de1-2016.graphml"
"0.8","0.2","0","0.0255255255255255","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000298976898193359","louvain","league-de1-2016.graphml"
"0.79","0.21","0","0.0255255255255255","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000293970108032227","louvain","league-de1-2016.graphml"
"0.78","0.22","0","0.0255255255255255","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000305891036987305","louvain","league-de1-2016.graphml"
"0.77","0.23","0","0.0255255255255255","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000292062759399414","louvain","league-de1-2016.graphml"
"0.76","0.24","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000301122665405273","louvain","league-de1-2016.graphml"
"0.75","0.25","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000288009643554688","louvain","league-de1-2016.graphml"
"0.74","0.26","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.00029301643371582","louvain","league-de1-2016.graphml"
"0.73","0.27","0","0.0304659498207885","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000319957733154297","louvain","league-de1-2016.graphml"
"0.72","0.28","0","0.0304659498207885","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000288009643554688","louvain","league-de1-2016.graphml"
"0.71","0.29","0","0.0304659498207885","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000290870666503906","louvain","league-de1-2016.graphml"
"0.7","0.3","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000478982925415039","louvain","league-de1-2016.graphml"
"0.69","0.31","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000485897064208984","louvain","league-de1-2016.graphml"
"0.68","0.32","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000482082366943359","louvain","league-de1-2016.graphml"
"0.67","0.33","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.0004119873046875","louvain","league-de1-2016.graphml"
"0.66","0.34","0","0.0337301587301587","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000374794006347656","louvain","league-de1-2016.graphml"
"0.65","0.35","0","0.0337301587301587","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000360012054443359","louvain","league-de1-2016.graphml"
"0.64","0.36","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.0004119873046875","louvain","league-de1-2016.graphml"
"0.63","0.37","0","0.0497076023391813","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","0.000620126724243164","louvain","league-de1-2016.graphml"
