"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000247955322265625","louvain","league-fr1-2016.graphml"
"0.99","0.01","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000286102294921875","louvain","league-fr1-2016.graphml"
"0.98","0.02","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000303030014038086","louvain","league-fr1-2016.graphml"
"0.97","0.03","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000262022018432617","louvain","league-fr1-2016.graphml"
"0.96","0.04","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000204086303710938","louvain","league-fr1-2016.graphml"
"0.95","0.05","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000199794769287109","louvain","league-fr1-2016.graphml"
"0.94","0.06","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000230073928833008","louvain","league-fr1-2016.graphml"
"0.93","0.07","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00023198127746582","louvain","league-fr1-2016.graphml"
"0.92","0.08","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000222921371459961","louvain","league-fr1-2016.graphml"
"0.91","0.09","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000220060348510742","louvain","league-fr1-2016.graphml"
"0.9","0.1","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000218868255615234","louvain","league-fr1-2016.graphml"
"0.89","0.11","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000276088714599609","louvain","league-fr1-2016.graphml"
"0.88","0.12","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000264167785644531","louvain","league-fr1-2016.graphml"
"0.87","0.13","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000244140625","louvain","league-fr1-2016.graphml"
"0.86","0.14","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000248193740844727","louvain","league-fr1-2016.graphml"
"0.85","0.15","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000262022018432617","louvain","league-fr1-2016.graphml"
"0.84","0.16","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000260114669799805","louvain","league-fr1-2016.graphml"
"0.83","0.17","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000252008438110352","louvain","league-fr1-2016.graphml"
"0.82","0.18","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000294208526611328","louvain","league-fr1-2016.graphml"
"0.81","0.19","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000290155410766602","louvain","league-fr1-2016.graphml"
"0.8","0.2","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000288963317871094","louvain","league-fr1-2016.graphml"
"0.79","0.21","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000288009643554688","louvain","league-fr1-2016.graphml"
"0.78","0.22","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000288009643554688","louvain","league-fr1-2016.graphml"
"0.77","0.23","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000293970108032227","louvain","league-fr1-2016.graphml"
"0.76","0.24","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000344038009643555","louvain","league-fr1-2016.graphml"
"0.75","0.25","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000327110290527344","louvain","league-fr1-2016.graphml"
"0.74","0.26","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000338077545166016","louvain","league-fr1-2016.graphml"
"0.73","0.27","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000355005264282227","louvain","league-fr1-2016.graphml"
"0.72","0.28","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000343084335327148","louvain","league-fr1-2016.graphml"
"0.71","0.29","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000327110290527344","louvain","league-fr1-2016.graphml"
"0.7","0.3","0","0.0306451612903226","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000362157821655273","louvain","league-fr1-2016.graphml"
"0.69","0.31","0","0.0306451612903226","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000375986099243164","louvain","league-fr1-2016.graphml"
"0.68","0.32","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000565052032470703","louvain","league-fr1-2016.graphml"
"0.67","0.33","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00037693977355957","louvain","league-fr1-2016.graphml"
"0.66","0.34","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000360965728759766","louvain","league-fr1-2016.graphml"
"0.65","0.35","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000369787216186523","louvain","league-fr1-2016.graphml"
"0.64","0.36","0","0.0327586206896552","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000410795211791992","louvain","league-fr1-2016.graphml"
"0.63","0.37","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000393867492675781","louvain","league-fr1-2016.graphml"
"0.62","0.38","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000391006469726562","louvain","league-fr1-2016.graphml"
