"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000247955322265625","louvain","league-uk1-2013.graphml"
"0.99","0.01","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000223875045776367","louvain","league-uk1-2013.graphml"
"0.98","0.02","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000212192535400391","louvain","league-uk1-2013.graphml"
"0.97","0.03","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000200986862182617","louvain","league-uk1-2013.graphml"
"0.96","0.04","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000205039978027344","louvain","league-uk1-2013.graphml"
"0.95","0.05","0","0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1","0.000197172164916992","louvain","league-uk1-2013.graphml"
"0.94","0.06","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000232934951782227","louvain","league-uk1-2013.graphml"
"0.93","0.07","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000224828720092773","louvain","league-uk1-2013.graphml"
"0.92","0.08","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000225067138671875","louvain","league-uk1-2013.graphml"
"0.91","0.09","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000262022018432617","louvain","league-uk1-2013.graphml"
"0.9","0.1","0","-8.67361737988404e-18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000216960906982422","louvain","league-uk1-2013.graphml"
"0.89","0.11","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000271797180175781","louvain","league-uk1-2013.graphml"
"0.88","0.12","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000336885452270508","louvain","league-uk1-2013.graphml"
"0.87","0.13","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000306129455566406","louvain","league-uk1-2013.graphml"
"0.86","0.14","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000257015228271484","louvain","league-uk1-2013.graphml"
"0.85","0.15","0","0.0155737704918033","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000262975692749023","louvain","league-uk1-2013.graphml"
"0.84","0.16","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000259876251220703","louvain","league-uk1-2013.graphml"
"0.83","0.17","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000251054763793945","louvain","league-uk1-2013.graphml"
"0.82","0.18","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000293970108032227","louvain","league-uk1-2013.graphml"
"0.81","0.19","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000336885452270508","louvain","league-uk1-2013.graphml"
"0.8","0.2","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00047612190246582","louvain","league-uk1-2013.graphml"
"0.79","0.21","0","0.0231707317073171","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000540971755981445","louvain","league-uk1-2013.graphml"
"0.78","0.22","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000484943389892578","louvain","league-uk1-2013.graphml"
"0.77","0.23","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00049901008605957","louvain","league-uk1-2013.graphml"
"0.76","0.24","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000554084777832031","louvain","league-uk1-2013.graphml"
"0.75","0.25","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000564098358154297","louvain","league-uk1-2013.graphml"
"0.74","0.26","0","0.0276699029126214","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000539064407348633","louvain","league-uk1-2013.graphml"
"0.73","0.27","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000565052032470703","louvain","league-uk1-2013.graphml"
"0.72","0.28","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000550031661987305","louvain","league-uk1-2013.graphml"
"0.71","0.29","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000531196594238281","louvain","league-uk1-2013.graphml"
"0.7","0.3","0","0.0306451612903226","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000587940216064453","louvain","league-uk1-2013.graphml"
"0.69","0.31","0","0.0306451612903226","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00056004524230957","louvain","league-uk1-2013.graphml"
"0.68","0.32","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000391960144042969","louvain","league-uk1-2013.graphml"
"0.67","0.33","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000478982925415039","louvain","league-uk1-2013.graphml"
"0.66","0.34","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000492095947265625","louvain","league-uk1-2013.graphml"
"0.65","0.35","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000731945037841797","louvain","league-uk1-2013.graphml"
"0.64","0.36","0","0.0327586206896552","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000523805618286133","louvain","league-uk1-2013.graphml"
"0.63","0.37","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000463962554931641","louvain","league-uk1-2013.graphml"
"0.62","0.38","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000403881072998047","louvain","league-uk1-2013.graphml"
"0.61","0.39","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000400066375732422","louvain","league-uk1-2013.graphml"
"0.6","0.4","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000398159027099609","louvain","league-uk1-2013.graphml"
"0.59","0.41","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00046086311340332","louvain","league-uk1-2013.graphml"
"0.58","0.42","0","0.0343373493975903","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000519990921020508","louvain","league-uk1-2013.graphml"
"0.57","0.43","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000486135482788086","louvain","league-uk1-2013.graphml"
"0.56","0.44","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000427961349487305","louvain","league-uk1-2013.graphml"
"0.55","0.45","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000413894653320312","louvain","league-uk1-2013.graphml"
"0.54","0.46","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000416994094848633","louvain","league-uk1-2013.graphml"
"0.53","0.47","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00042414665222168","louvain","league-uk1-2013.graphml"
"0.52","0.48","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000449895858764648","louvain","league-uk1-2013.graphml"
"0.51","0.49","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000452995300292969","louvain","league-uk1-2013.graphml"
"0.5","0.5","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000450849533081055","louvain","league-uk1-2013.graphml"
"0.49","0.51","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000443935394287109","louvain","league-uk1-2013.graphml"
"0.48","0.52","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.00044703483581543","louvain","league-uk1-2013.graphml"
"0.47","0.53","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000514030456542969","louvain","league-uk1-2013.graphml"
"0.46","0.54","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000509977340698242","louvain","league-uk1-2013.graphml"
"0.45","0.55","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000487089157104492","louvain","league-uk1-2013.graphml"
"0.44","0.56","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000520944595336914","louvain","league-uk1-2013.graphml"
"0.43","0.57","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000488042831420898","louvain","league-uk1-2013.graphml"
"0.42","0.58","0","0.0537735849056603","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000488042831420898","louvain","league-uk1-2013.graphml"
"0.41","0.59","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000514030456542969","louvain","league-uk1-2013.graphml"
"0.4","0.6","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000510931015014648","louvain","league-uk1-2013.graphml"
"0.39","0.61","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000519037246704102","louvain","league-uk1-2013.graphml"
"0.38","0.62","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000525951385498047","louvain","league-uk1-2013.graphml"
"0.37","0.63","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000530004501342773","louvain","league-uk1-2013.graphml"
"0.36","0.64","0","0.0530042918454935","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000535011291503906","louvain","league-uk1-2013.graphml"
"0.35","0.65","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000559091567993164","louvain","league-uk1-2013.graphml"
"0.34","0.66","0","0.0452380952380952","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","0.000551223754882812","louvain","league-uk1-2013.graphml"
