"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.0829579579579579","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.000332832336425781","louvain","moreno_bison.graphml"
"0.99","0.01","0","0.0807211154562765","1,2,1,1,1,2,3,2,3,1,1,3,1,2,3,3,3,1,1,2,2,2,3,3,3,3","0.000276088714599609","louvain","moreno_bison.graphml"
"0.98","0.02","0","0.0807211154562765","1,2,1,1,1,2,3,2,3,1,1,3,1,2,3,3,3,1,1,2,2,2,3,3,3,3","0.000273942947387695","louvain","moreno_bison.graphml"
"0.97","0.03","0","0.0840789500624475","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00028681755065918","louvain","moreno_bison.graphml"
"0.96","0.04","0","0.0840789500624475","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.000293970108032227","louvain","moreno_bison.graphml"
"0.95","0.05","0","0.0840789500624475","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.000272989273071289","louvain","moreno_bison.graphml"
"0.94","0.06","0","0.0840789500624475","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00026702880859375","louvain","moreno_bison.graphml"
"0.93","0.07","0","0.0868943267591916","1,1,1,1,1,2,3,2,3,1,1,1,1,2,1,3,3,3,1,2,2,2,3,3,3,3","0.00026702880859375","louvain","moreno_bison.graphml"
"0.92","0.08","0","0.0752849328523768","1,2,2,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1","0.000297069549560547","louvain","moreno_bison.graphml"
"0.91","0.09","0","0.0748949804200784","1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1","0.000355958938598633","louvain","moreno_bison.graphml"
"0.9","0.1","0","0.0649910767400357","1,1,2,1,1,2,3,2,1,1,1,1,1,2,3,1,3,1,2,1,2,2,3,3,3,3","0.00032496452331543","louvain","moreno_bison.graphml"
"0.89","0.11","0","0.0731753792385485","1,1,1,1,1,2,3,2,3,1,1,1,1,2,3,1,3,1,1,2,2,2,3,3,3,3","0.000320911407470703","louvain","moreno_bison.graphml"
"0.88","0.12","0","0.078427449411137","1,1,2,1,1,2,3,2,3,1,1,1,1,2,1,3,3,2,1,2,2,2,3,3,3,3","0.000334978103637695","louvain","moreno_bison.graphml"
"0.87","0.13","0","0.0702813435226909","1,1,2,1,1,2,3,2,3,1,1,3,1,2,1,3,3,2,1,2,2,2,3,3,3,3","0.000335931777954102","louvain","moreno_bison.graphml"
"0.86","0.14","0","0.0718553331163194","1,1,2,1,1,2,3,2,3,1,1,3,1,2,1,3,3,2,1,2,2,2,3,3,3,3","0.000360965728759766","louvain","moreno_bison.graphml"
"0.85","0.15","0","0.060971593010355","1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1","0.000333786010742188","louvain","moreno_bison.graphml"
"0.84","0.16","0","0.0562510527545493","1,2,3,2,2,3,1,2,1,2,2,1,2,3,1,1,2,2,1,3,3,3,1,1,1,1","0.000362157821655273","louvain","moreno_bison.graphml"
"0.83","0.17","0","0.0574988870207165","1,2,3,1,3,2,4,3,4,3,1,1,2,3,4,4,2,3,1,2,2,3,4,4,4,4","0.000375986099243164","louvain","moreno_bison.graphml"
"0.82","0.18","0","0.0565458309741054","1,2,3,1,2,2,2,3,4,1,1,1,2,3,4,4,2,2,1,3,3,3,4,4,4,4","0.000362157821655273","louvain","moreno_bison.graphml"
"0.81","0.19","0","0.0605389838427396","1,1,2,1,1,1,3,2,3,1,1,1,1,2,3,3,3,1,1,2,2,2,3,3,3,3","0.000667095184326172","louvain","moreno_bison.graphml"
"0.8","0.2","0","0.0501761814744802","1,2,1,1,2,2,3,1,3,1,1,1,1,2,3,1,3,3,2,3,1,1,3,3,3,3","0.000800132751464844","louvain","moreno_bison.graphml"
"0.79","0.21","0","0.046965595463138","1,2,2,1,3,3,4,2,4,2,1,4,1,2,1,2,4,4,3,2,2,2,4,4,4,4","0.000685930252075195","louvain","moreno_bison.graphml"
"0.78","0.22","0","0.0494302988365547","1,2,2,1,3,3,4,2,1,2,1,3,1,2,4,4,4,1,1,2,2,2,4,4,4,4","0.000726938247680664","louvain","moreno_bison.graphml"
