"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.0598357686269774","1,1,2,1,2,1,1,3,3,3,3,3,1,1,1,2,3","0.000316143035888672","louvain","moreno_kangaroo.graphml"
"0.99","0.01","0","0.0529012345679013","1,2,3,2,3,2,2,1,1,1,1,1,2,2,2,3,4","0.000298976898193359","louvain","moreno_kangaroo.graphml"
"0.98","0.02","0","0.0529012345679013","1,2,3,2,3,2,2,1,1,1,1,1,2,2,2,3,4","0.000262022018432617","louvain","moreno_kangaroo.graphml"
"0.97","0.03","0","0.0529012345679012","1,2,3,1,3,1,1,2,2,2,2,2,1,1,1,3,4","0.000277042388916016","louvain","moreno_kangaroo.graphml"
"0.96","0.04","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.000337123870849609","louvain","moreno_kangaroo.graphml"
"0.95","0.05","0","0.0529012345679012","1,1,2,3,2,1,1,3,3,3,3,3,1,1,1,2,4","0.000436067581176758","louvain","moreno_kangaroo.graphml"
"0.94","0.06","0","0.0529012345679013","1,2,3,2,3,2,2,1,1,1,1,1,2,2,2,3,4","0.000282049179077148","louvain","moreno_kangaroo.graphml"
"0.93","0.07","0","0.0638207945900253","1,2,3,2,3,2,2,1,1,1,1,1,2,2,2,3,4","0.000257968902587891","louvain","moreno_kangaroo.graphml"
"0.92","0.08","0","0.0880533854166666","1,2,3,4,3,2,2,4,4,4,4,4,2,2,2,3,5","0.000249147415161133","louvain","moreno_kangaroo.graphml"
"0.91","0.09","0","0.0985186432118509","1,1,2,1,2,1,1,3,3,3,3,3,1,1,1,2,4","0.000290870666503906","louvain","moreno_kangaroo.graphml"
"0.9","0.1","0","0.107961703199798","1,1,2,1,2,1,1,3,3,3,1,3,1,1,1,2,4","0.000293970108032227","louvain","moreno_kangaroo.graphml"
"0.89","0.11","0","0.107961703199798","1,1,2,1,2,1,1,3,3,3,1,3,1,1,1,2,4","0.000275850296020508","louvain","moreno_kangaroo.graphml"
"0.88","0.12","0","0.0686461218836565","1,2,3,1,3,1,1,2,2,2,2,2,1,1,1,3,4","0.000323057174682617","louvain","moreno_kangaroo.graphml"
"0.87","0.13","0","0.0615563854575632","1,1,2,1,2,3,3,1,1,1,3,1,3,3,3,2,4","0.000314950942993164","louvain","moreno_kangaroo.graphml"
"0.86","0.14","0","0.067242141143795","1,1,2,3,2,3,3,1,1,1,1,1,3,3,3,2,4","0.00030517578125","louvain","moreno_kangaroo.graphml"
"0.85","0.15","0","0.072813817832883","1,2,3,4,3,5,5,1,1,1,1,1,5,5,5,3,6","0.000285148620605469","louvain","moreno_kangaroo.graphml"
"0.84","0.16","0","0.0749125","1,2,3,4,3,2,2,1,1,1,1,1,2,2,2,3,5","0.000295162200927734","louvain","moreno_kangaroo.graphml"
"0.83","0.17","0","0.0748788088642659","1,1,2,1,2,1,3,4,4,4,4,4,3,3,3,2,5","0.00037693977355957","louvain","moreno_kangaroo.graphml"
"0.82","0.18","0","0.0748788088642659","1,1,2,1,2,1,3,4,4,4,4,4,3,3,3,2,5","0.000264167785644531","louvain","moreno_kangaroo.graphml"
"0.81","0.19","0","0.0763875056586691","1,1,2,1,2,1,3,4,4,4,1,4,3,3,3,2,5","0.000241994857788086","louvain","moreno_kangaroo.graphml"
"0.8","0.2","0","0.079381730564343","1,1,2,1,2,1,1,3,3,3,4,3,1,1,1,2,5","0.000251054763793945","louvain","moreno_kangaroo.graphml"
"0.79","0.21","0","0.079381730564343","1,1,2,1,2,1,3,4,4,4,1,4,3,3,3,2,5","0.000257015228271484","louvain","moreno_kangaroo.graphml"
"0.78","0.22","0","0.0891096966714814","1,2,3,4,3,5,6,7,7,7,1,7,6,6,6,3,8","0.000264883041381836","louvain","moreno_kangaroo.graphml"
"0.77","0.23","0","0.0716026534947673","1,2,3,4,3,5,2,6,6,6,6,6,2,2,2,3,7","0.000272035598754883","louvain","moreno_kangaroo.graphml"
"0.76","0.24","0","0.0742197608819419","1,2,3,4,3,5,5,6,7,6,7,6,5,5,5,3,8","0.000253915786743164","louvain","moreno_kangaroo.graphml"
"0.75","0.25","0","0.0744121535010415","1,1,2,1,2,1,3,4,4,4,4,4,3,3,3,2,5","0.000266075134277344","louvain","moreno_kangaroo.graphml"
"0.74","0.26","0","0.0744121535010415","1,1,2,1,2,1,3,4,4,4,4,4,3,3,3,2,5","0.000265121459960938","louvain","moreno_kangaroo.graphml"
"0.73","0.27","0","0.0772273582183124","1,1,2,1,2,1,3,4,4,4,4,4,3,3,3,2,5","0.000267982482910156","louvain","moreno_kangaroo.graphml"
"0.72","0.28","0","0.0772224127419601","1,1,2,1,2,1,3,4,4,4,1,1,3,3,3,2,5","0.000268936157226562","louvain","moreno_kangaroo.graphml"
"0.71","0.29","0","0.0835118672547784","1,2,3,4,3,5,6,7,7,7,1,7,6,6,6,3,8","0.000290870666503906","louvain","moreno_kangaroo.graphml"
"0.7","0.3","0","0.0829200555445348","1,2,3,4,3,5,2,6,6,6,4,6,2,2,2,3,7","0.000265121459960938","louvain","moreno_kangaroo.graphml"
"0.69","0.31","0","0.0854966229011488","1,2,3,4,3,5,2,6,6,6,7,6,2,2,2,3,8","0.000291109085083008","louvain","moreno_kangaroo.graphml"
"0.68","0.32","0","0.0854966229011488","1,2,3,4,3,5,2,6,6,6,7,6,2,2,2,3,8","0.000483989715576172","louvain","moreno_kangaroo.graphml"
"0.67","0.33","0","0.0862896098977402","1,2,3,4,3,5,6,7,7,7,8,7,6,6,6,3,9","0.000310897827148438","louvain","moreno_kangaroo.graphml"
"0.66","0.34","0","0.0739487689511665","1,1,2,1,2,1,3,4,5,4,5,4,6,6,6,2,7","0.000308990478515625","louvain","moreno_kangaroo.graphml"
"0.65","0.35","0","0.0739487689511665","1,1,2,1,2,1,3,4,5,4,5,4,6,6,6,2,7","0.000470161437988281","louvain","moreno_kangaroo.graphml"
"0.64","0.36","0","0.082383509943388","1,2,3,4,3,5,6,7,8,7,8,7,6,6,6,3,9","0.000511884689331055","louvain","moreno_kangaroo.graphml"
"0.63","0.37","0","0.0836515352305654","1,2,3,4,3,5,6,7,8,8,9,8,6,6,6,3,10","0.000497102737426758","louvain","moreno_kangaroo.graphml"
"0.62","0.38","0","0.0798637699002547","1,2,3,4,3,5,6,7,7,7,8,7,6,6,6,3,9","0.000516891479492188","louvain","moreno_kangaroo.graphml"
"0.61","0.39","0","0.0819390744579082","1,2,3,4,3,5,6,7,7,7,8,7,6,6,6,3,9","0.000443935394287109","louvain","moreno_kangaroo.graphml"
"0.6","0.4","0","0.0835373345935728","1,2,3,4,3,5,1,6,6,6,7,3,8,8,8,3,9","0.0004730224609375","louvain","moreno_kangaroo.graphml"
"0.59","0.41","0","0.0841422495274102","1,2,3,4,3,5,2,6,6,6,7,8,9,9,9,3,10","0.000459909439086914","louvain","moreno_kangaroo.graphml"
"0.58","0.42","0","0.0874517831841201","1,1,2,1,2,1,3,4,4,4,5,2,3,3,3,2,6","0.000481128692626953","louvain","moreno_kangaroo.graphml"
