"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.558272366544733","1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,4,2,2,3,3,2,2,2,2,2,2,2,5,4,4,4,2,2,2,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,2,6,6,4,6","0.000623941421508789","louvain","moreno_lesmis.graphml"
"0.99","0.01","0","0.535513897146254","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,15,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,15,21,21,14,21","0.000448942184448242","louvain","moreno_lesmis.graphml"
"0.98","0.02","0","0.535513897146254","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,15,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,15,21,21,14,21","0.000402927398681641","louvain","moreno_lesmis.graphml"
"0.97","0.03","0","0.536876715356702","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,15,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,15,21,21,14,21","0.000405073165893555","louvain","moreno_lesmis.graphml"
"0.96","0.04","0","0.528615373280038","1,2,2,2,3,4,5,6,7,8,2,9,2,10,11,12,13,13,13,13,13,13,13,13,14,14,2,14,2,15,13,13,16,2,15,15,15,15,15,2,17,14,14,2,2,18,19,20,21,2,22,2,23,24,2,2,2,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,2,21,21,14,21","0.00038599967956543","louvain","moreno_lesmis.graphml"
"0.95","0.05","0","0.537082694133976","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,15,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,15,21,21,14,21","0.000414133071899414","louvain","moreno_lesmis.graphml"
"0.94","0.06","0","0.538099307447168","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,14,2,2,2,2,2,15,17,14,14,14,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,14,21,21,14,21","0.000368118286132812","louvain","moreno_lesmis.graphml"
"0.93","0.07","0","0.540908386563592","1,2,2,2,3,4,5,6,7,8,2,9,2,10,11,12,13,13,13,13,13,13,13,13,14,14,15,2,2,2,13,13,16,2,2,2,2,2,2,15,17,14,14,2,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,2,21,21,14,21","0.000400066375732422","louvain","moreno_lesmis.graphml"
"0.92","0.08","0","0.541423224779421","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,14,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,15,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,15,21,21,14,21","0.000399112701416016","louvain","moreno_lesmis.graphml"
"0.91","0.09","0","0.543337868183383","1,2,2,2,3,4,5,6,7,8,2,9,10,11,12,13,10,10,10,10,10,10,10,10,14,14,15,2,2,2,10,10,16,2,2,2,2,2,2,15,17,14,14,2,2,18,19,20,21,15,22,15,23,24,15,15,15,21,21,21,21,21,21,21,21,21,21,25,14,14,14,14,2,21,21,14,21","0.000383138656616211","louvain","moreno_lesmis.graphml"
