"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.103352","1,2,1,2,2,2,2,1,1,3,3,1,1,3,3,2,2,2,2,3,3,2,3,3,3,3,3,2,2","0.000638008117675781","louvain","moreno_seventh.graphml"
"0.99","0.01","0","0.0886114740084838","1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1","0.000586032867431641","louvain","moreno_seventh.graphml"
"0.98","0.02","0","0.101296753278173","1,2,1,2,2,2,2,1,1,3,3,1,1,3,3,2,2,2,2,3,3,2,3,3,3,3,3,2,2","0.000622987747192383","louvain","moreno_seventh.graphml"
"0.97","0.03","0","0.100667731165626","1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,1,1,1,1,2,2,1,2,3,3,2,2,2,2","0.000684022903442383","louvain","moreno_seventh.graphml"
"0.96","0.04","0","0.0934823631876906","1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1","0.000634908676147461","louvain","moreno_seventh.graphml"
"0.95","0.05","0","0.0920549668553733","1,2,1,1,2,2,2,1,3,1,1,3,1,1,1,2,2,2,2,1,3,2,3,2,1,3,3,3,3","0.000662088394165039","louvain","moreno_seventh.graphml"
"0.94","0.06","0","0.10327453951788","1,2,2,2,1,2,2,1,1,1,3,3,3,3,3,2,2,2,2,3,3,1,3,3,3,3,3,1,1","0.000725030899047852","louvain","moreno_seventh.graphml"
"0.93","0.07","0","0.0962345679012345","1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2","0.000526905059814453","louvain","moreno_seventh.graphml"
"0.92","0.08","0","0.0935506192531432","1,2,1,1,3,2,2,1,1,3,3,1,1,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3","0.000565052032470703","louvain","moreno_seventh.graphml"
"0.91","0.09","0","0.0874414805039746","1,2,1,3,2,3,2,1,4,4,1,1,3,3,3,2,2,2,2,3,1,2,3,4,3,4,4,4,4","0.000591039657592773","louvain","moreno_seventh.graphml"
"0.9","0.1","0","0.0943476917105707","1,2,1,1,2,3,2,1,1,3,1,1,1,3,3,2,2,2,2,1,1,2,3,3,3,3,3,3,3","0.000645875930786133","louvain","moreno_seventh.graphml"
"0.89","0.11","0","0.0938517490961625","1,2,1,1,2,2,2,1,1,3,3,1,1,3,1,2,2,2,2,1,1,3,3,3,3,3,3,3,3","0.000464916229248047","louvain","moreno_seventh.graphml"
"0.88","0.12","0","0.0754787536029347","1,1,1,1,2,1,1,1,1,2,3,1,1,3,3,2,2,2,1,3,3,2,3,3,2,3,3,3,3","0.000360012054443359","louvain","moreno_seventh.graphml"
"0.87","0.13","0","0.0719190590985463","1,2,2,2,3,2,2,1,3,1,3,4,4,1,4,2,2,2,2,4,4,3,3,4,2,3,4,3,3","0.000359058380126953","louvain","moreno_seventh.graphml"
"0.86","0.14","0","0.067924536423271","1,1,1,1,2,1,1,1,3,3,2,2,2,2,2,1,1,1,1,2,2,3,2,2,1,2,2,3,2","0.000527143478393555","louvain","moreno_seventh.graphml"
"0.85","0.15","0","0.0646542159763313","1,2,2,1,3,2,2,1,2,1,1,3,3,4,3,2,2,2,2,3,3,2,3,4,4,3,3,3,3","0.000919818878173828","louvain","moreno_seventh.graphml"
"0.84","0.16","0","0.065865701580889","1,2,3,1,4,2,2,1,1,1,4,3,4,1,4,2,2,2,2,4,4,2,4,5,5,4,4,4,4","0.000708103179931641","louvain","moreno_seventh.graphml"
"0.83","0.17","0","0.0642428439519852","1,2,3,3,2,2,1,1,1,4,3,3,3,4,3,2,2,2,1,4,3,2,3,4,4,4,4,2,2","0.000763893127441406","louvain","moreno_seventh.graphml"
"0.82","0.18","0","0.0597357622406487","1,2,3,4,1,2,1,1,1,5,3,3,4,4,4,2,2,2,1,4,3,5,4,5,5,5,5,5,5","0.000658035278320312","louvain","moreno_seventh.graphml"
"0.81","0.19","0","0.0663855203719136","1,2,1,2,3,2,1,1,1,3,1,1,1,3,3,2,2,2,2,3,1,3,3,3,3,3,3,3,3","0.000722885131835938","louvain","moreno_seventh.graphml"
"0.8","0.2","0","0.0726326520442824","1,2,1,1,2,3,2,1,1,3,3,1,1,3,3,2,2,2,2,1,1,2,1,3,3,3,3,3,3","0.000934123992919922","louvain","moreno_seventh.graphml"
"0.79","0.21","0","0.0742593992143444","1,2,1,1,2,3,2,1,1,4,4,1,1,4,4,2,2,2,2,1,1,2,4,4,4,4,4,3,3","0.000813007354736328","louvain","moreno_seventh.graphml"
"0.78","0.22","0","0.0735184911646692","1,2,1,1,3,2,2,1,1,3,1,1,1,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3","0.000674009323120117","louvain","moreno_seventh.graphml"
"0.77","0.23","0","0.0667852795699681","1,2,1,1,3,2,2,1,3,4,1,1,1,4,4,2,2,2,2,4,4,2,4,4,4,4,4,3,3","0.000578165054321289","louvain","moreno_seventh.graphml"
"0.76","0.24","0","0.070793007865983","1,2,1,3,2,2,2,1,2,3,3,1,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,2,2","0.000547170639038086","louvain","moreno_seventh.graphml"
"0.75","0.25","0","0.0667130029037959","1,2,3,4,2,2,1,1,1,1,4,4,4,4,4,2,2,2,2,4,4,2,4,4,3,4,4,2,2","0.00076603889465332","louvain","moreno_seventh.graphml"
"0.74","0.26","0","0.0664065787812473","1,1,1,2,3,1,1,3,3,3,2,2,2,2,2,1,1,1,1,2,2,1,2,2,4,2,2,3,3","0.000943899154663086","louvain","moreno_seventh.graphml"
"0.73","0.27","0","0.0656786786174707","1,2,2,2,3,2,2,1,1,4,3,3,3,3,3,2,2,2,2,3,3,4,3,3,4,3,3,4,4","0.000874996185302734","louvain","moreno_seventh.graphml"
"0.72","0.28","0","0.0676655143189577","1,2,2,2,3,2,1,1,1,3,1,4,4,3,4,2,2,2,2,4,4,3,3,4,2,3,4,3,3","0.000871896743774414","louvain","moreno_seventh.graphml"
"0.71","0.29","0","0.0595357628345456","1,2,2,2,3,4,2,1,2,1,1,3,2,3,3,4,4,4,4,3,2,4,3,3,4,3,3,4,4","0.000926017761230469","louvain","moreno_seventh.graphml"
"0.7","0.3","0","0.0615848005538259","1,2,1,1,3,2,2,1,1,3,4,1,1,4,3,2,2,2,2,3,1,2,3,4,4,4,4,4,4","0.000824928283691406","louvain","moreno_seventh.graphml"
"0.69","0.31","0","0.0633468954711514","1,2,3,3,2,2,1,4,4,1,4,3,1,4,1,2,2,2,2,3,3,2,3,4,2,4,4,2,2","0.000869989395141602","louvain","moreno_seventh.graphml"
"0.68","0.32","0","0.0606327430901038","1,2,2,2,3,2,2,3,3,1,4,2,1,4,1,2,2,2,2,4,4,3,4,4,2,4,4,3,3","0.000905990600585938","louvain","moreno_seventh.graphml"
"0.67","0.33","0","0.0645681871324432","1,2,2,1,3,2,2,1,1,4,4,1,1,4,3,2,2,2,2,3,1,4,3,4,4,4,4,4,4","0.000941991806030273","louvain","moreno_seventh.graphml"
"0.66","0.34","0","0.0559479820958205","1,2,3,1,4,2,2,1,1,4,1,3,4,4,4,2,2,2,2,4,4,2,4,4,2,4,4,2,2","0.00137901306152344","louvain","moreno_seventh.graphml"
"0.65","0.35","0","0.0545395936561735","1,2,1,1,3,3,2,1,1,4,1,3,3,4,4,2,2,2,2,3,4,2,4,4,2,4,4,2,2","0.00104188919067383","louvain","moreno_seventh.graphml"
"0.64","0.36","0","0.0528830771270693","1,1,2,2,3,4,1,5,4,3,5,2,2,3,3,1,1,1,1,3,5,3,5,5,3,3,5,1,1","0.000819921493530273","louvain","moreno_seventh.graphml"
"0.63","0.37","0","0.055597839987459","1,2,3,3,4,2,2,1,4,4,1,3,3,4,4,2,2,2,2,4,3,4,4,1,2,4,4,2,2","0.000545978546142578","louvain","moreno_seventh.graphml"
"0.62","0.38","0","0.0551247613357865","1,2,3,3,4,1,2,1,1,4,1,3,3,4,4,2,2,2,2,4,3,2,4,5,5,4,4,2,2","0.0006561279296875","louvain","moreno_seventh.graphml"
"0.61","0.39","0","0.0555438862828678","1,2,3,3,4,2,2,1,1,1,4,3,3,3,3,2,2,2,2,3,3,2,3,5,5,3,3,2,2","0.00075984001159668","louvain","moreno_seventh.graphml"
"0.6","0.4","0","0.0595884685410175","1,2,3,1,4,2,2,1,1,4,4,3,1,4,4,2,2,2,2,4,4,2,4,5,5,4,4,2,2","0.000685930252075195","louvain","moreno_seventh.graphml"
"0.59","0.41","0","0.0605701940583313","1,2,3,1,4,2,2,1,1,4,1,3,1,4,4,2,2,2,2,4,4,2,4,5,5,4,4,2,2","0.000807046890258789","louvain","moreno_seventh.graphml"
"0.58","0.42","0","0.0579562459651302","1,2,1,1,2,3,2,1,3,4,1,3,1,4,1,2,2,2,2,4,1,2,4,5,5,4,4,5,5","0.000687122344970703","louvain","moreno_seventh.graphml"
"0.57","0.43","0","0.0604378576548241","1,2,3,1,4,2,2,1,1,4,1,3,1,4,4,2,2,2,2,4,3,2,4,1,4,4,4,2,2","0.000829219818115234","louvain","moreno_seventh.graphml"
"0.56","0.44","0","0.0603564776562522","1,2,3,1,4,2,2,1,1,4,1,3,1,4,4,2,2,2,2,4,3,2,4,1,4,4,4,2,2","0.000752925872802734","louvain","moreno_seventh.graphml"
"0.55","0.45","0","0.0541017031802251","1,2,3,2,4,2,2,1,5,6,4,3,4,6,4,2,2,2,2,4,4,6,4,7,7,4,4,2,2","0.000728130340576172","louvain","moreno_seventh.graphml"
"0.54","0.46","0","0.0544527507620845","1,2,3,3,2,4,2,1,5,4,1,3,3,4,3,2,2,2,2,3,3,2,3,1,2,3,3,2,2","0.00087285041809082","louvain","moreno_seventh.graphml"
"0.53","0.47","0","0.0588687424562397","1,2,3,1,4,2,2,1,1,4,1,3,4,4,4,2,2,2,2,4,3,2,4,1,2,4,4,2,2","0.000865936279296875","louvain","moreno_seventh.graphml"
"0.52","0.48","0","0.0579571825363425","1,2,3,1,4,2,2,1,1,4,1,3,4,4,4,2,2,2,2,4,3,2,4,1,2,4,4,2,2","0.00105404853820801","louvain","moreno_seventh.graphml"
"0.51","0.49","0","0.0555725656982767","1,2,3,1,3,2,2,1,1,4,1,3,5,5,3,2,2,2,2,3,5,2,5,5,2,5,5,2,2","0.00101089477539062","louvain","moreno_seventh.graphml"
"0.5","0.5","0","0.0549381422390481","1,2,2,2,3,3,2,1,3,4,3,2,3,4,3,2,2,2,2,1,1,4,4,5,5,4,4,4,4","0.00136899948120117","louvain","moreno_seventh.graphml"
"0.49","0.51","0","0.0543403528934559","1,1,1,1,2,3,1,4,2,5,2,4,2,2,2,1,1,1,1,3,3,5,3,4,1,2,2,5,5","0.000857114791870117","louvain","moreno_seventh.graphml"
"0.48","0.52","0","0.0545570240670633","1,1,1,1,2,3,1,4,5,2,5,3,2,5,2,1,1,1,1,2,3,5,2,4,1,5,5,5,5","0.000693082809448242","louvain","moreno_seventh.graphml"
"0.47","0.53","0","0.0545312592524804","1,1,1,2,3,4,1,3,3,4,2,3,2,2,4,1,1,1,1,4,2,5,2,5,5,2,2,5,5","0.000743865966796875","louvain","moreno_seventh.graphml"
"0.46","0.54","0","0.0554785072767457","1,1,2,3,3,2,1,4,4,3,3,2,3,3,3,1,1,1,1,3,3,1,3,4,1,3,3,1,1","0.000786781311035156","louvain","moreno_seventh.graphml"
