"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.0742417383431417","1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1","0.00231099128723145","louvain","moreno_sheep.graphml"
"0.99","0.01","0","0.0902761430511544","1,1,1,1,1,2,1,2,3,1,3,1,2,3,2,1,3,2,2,3,3,2,2,2,3,2,2,3","0.00383496284484863","louvain","moreno_sheep.graphml"
"0.98","0.02","0","0.0766953372566772","1,1,1,1,1,2,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,2,2,2,2,3,2,3","0.00546002388000488","louvain","moreno_sheep.graphml"
"0.97","0.03","0","0.07662290629244","1,1,1,1,1,2,1,2,2,3,1,1,2,2,2,1,2,2,2,2,1,3,2,2,2,3,3,3","0.00697803497314453","louvain","moreno_sheep.graphml"
"0.96","0.04","0","0.0902761430511544","1,1,1,1,1,2,1,2,3,1,3,1,2,3,2,1,3,2,2,3,3,2,2,2,3,2,2,3","0.00902509689331055","louvain","moreno_sheep.graphml"
"0.95","0.05","0","0.0925227101973909","1,2,1,1,1,3,2,3,2,2,1,2,3,3,3,2,3,3,3,2,2,3,3,3,3,2,3,2","0.0115799903869629","louvain","moreno_sheep.graphml"
"0.94","0.06","0","0.114281173560343","1,1,1,1,1,2,3,2,4,3,4,1,2,4,3,3,3,2,2,3,1,2,4,2,2,4,3,4","0.0141820907592773","louvain","moreno_sheep.graphml"
"0.93","0.07","0","0.115589469443107","1,1,2,1,1,3,1,2,3,1,1,1,2,3,2,1,3,2,2,3,1,2,2,2,3,2,2,3","0.0161900520324707","louvain","moreno_sheep.graphml"
"0.92","0.08","0","0.0805588912851681","1,1,1,1,1,1,2,1,2,2,3,2,4,3,4,2,3,4,4,3,3,4,3,4,3,4,4,3","0.0179600715637207","louvain","moreno_sheep.graphml"
"0.91","0.09","0","0.088965395571837","1,1,1,1,1,2,1,2,3,1,3,1,2,3,2,1,3,2,2,3,3,2,2,2,3,2,2,3","0.0195739269256592","louvain","moreno_sheep.graphml"
"0.9","0.1","0","0.070666","1,1,1,1,1,2,1,1,3,1,1,1,2,2,3,1,3,2,2,2,1,2,2,2,2,2,3,2","0.0214829444885254","louvain","moreno_sheep.graphml"
"0.89","0.11","0","0.0785103229345378","1,2,1,1,1,3,4,2,2,4,1,4,3,3,2,4,2,3,3,4,4,3,2,3,3,2,2,4","0.0231180191040039","louvain","moreno_sheep.graphml"
"0.88","0.12","0","0.0787318850231765","1,1,1,1,1,2,3,4,5,4,1,1,3,3,3,1,3,4,2,3,1,4,5,4,2,5,4,2","0.0247719287872314","louvain","moreno_sheep.graphml"
"0.87","0.13","0","0.0774979906580158","1,2,1,1,3,4,3,2,2,3,3,3,2,4,2,3,4,1,1,4,3,2,2,2,4,2,2,4","0.0263829231262207","louvain","moreno_sheep.graphml"
"0.86","0.14","0","0.0818509365244537","1,1,1,1,2,3,2,4,3,4,2,2,4,3,4,2,3,4,4,3,2,4,4,4,3,4,4,3","0.0280320644378662","louvain","moreno_sheep.graphml"
"0.85","0.15","0","0.0772880517697034","1,1,1,1,1,2,3,3,3,2,3,1,2,3,2,1,3,2,2,3,1,2,2,2,2,2,2,3","0.0297238826751709","louvain","moreno_sheep.graphml"
"0.84","0.16","0","0.0768094087552433","1,1,1,1,1,2,3,2,3,3,4,3,5,4,5,3,4,2,5,4,2,5,4,5,4,5,5,4","0.0314090251922607","louvain","moreno_sheep.graphml"
"0.83","0.17","0","0.0762335634451019","1,1,2,1,1,3,1,3,2,1,2,1,3,4,3,1,2,3,3,4,2,3,3,3,2,1,3,2","0.0331289768218994","louvain","moreno_sheep.graphml"
"0.82","0.18","0","0.0788141291879277","1,1,2,1,1,3,4,3,2,4,2,1,3,5,3,4,2,3,3,5,2,3,2,3,2,1,3,2","0.0348930358886719","louvain","moreno_sheep.graphml"
"0.81","0.19","0","0.0701740569187172","1,1,2,1,1,2,3,4,5,6,5,1,6,2,3,3,5,2,2,3,5,6,6,2,2,1,6,5","0.0366640090942383","louvain","moreno_sheep.graphml"
"0.8","0.2","0","0.0698936672967864","1,2,3,1,1,4,1,2,5,2,5,1,5,5,6,1,5,6,6,4,1,2,5,4,4,6,2,4","0.0386180877685547","louvain","moreno_sheep.graphml"
"0.79","0.21","0","0.0689349007561437","1,1,2,1,1,3,4,4,5,2,5,1,4,5,4,1,5,2,2,3,1,2,5,3,3,2,2,3","0.0404250621795654","louvain","moreno_sheep.graphml"
"0.78","0.22","0","0.0706269670587505","1,1,2,1,1,3,4,4,4,3,2,1,5,6,5,1,6,5,5,2,1,3,6,6,6,5,3,3","0.0421240329742432","louvain","moreno_sheep.graphml"
"0.77","0.23","0","0.0740742790055221","1,1,1,1,1,2,3,3,3,2,4,1,5,4,5,1,6,5,5,6,1,2,4,4,4,5,2,6","0.0438179969787598","louvain","moreno_sheep.graphml"
"0.76","0.24","0","0.0711835510365312","1,1,1,1,1,2,3,2,3,3,4,1,5,4,5,3,6,2,5,4,1,5,5,5,4,7,5,6","0.0456058979034424","louvain","moreno_sheep.graphml"
"0.75","0.25","0","0.0678030613603489","1,1,2,3,2,4,2,5,6,1,2,2,5,4,1,2,6,5,5,4,2,5,5,5,4,1,1,6","0.0474538803100586","louvain","moreno_sheep.graphml"
"0.74","0.26","0","0.0689908071932716","1,1,2,1,1,3,1,3,4,1,4,1,3,5,6,1,4,3,3,5,1,3,6,3,4,6,6,4","0.0492720603942871","louvain","moreno_sheep.graphml"
"0.73","0.27","0","0.0725379065132201","1,1,2,2,1,3,1,4,5,6,5,1,4,3,4,1,5,6,6,5,1,6,3,6,3,6,6,5","0.051116943359375","louvain","moreno_sheep.graphml"
"0.72","0.28","0","0.0704224933860645","1,1,2,2,3,4,3,1,5,1,3,3,4,6,1,3,6,7,7,4,3,1,6,1,4,7,1,6","0.0530049800872803","louvain","moreno_sheep.graphml"
"0.71","0.29","0","0.0693641109320334","1,2,1,1,1,2,3,4,3,2,3,1,2,5,2,1,3,2,2,3,1,2,5,5,5,2,2,3","0.0554409027099609","louvain","moreno_sheep.graphml"
"0.7","0.3","0","0.0707058501573133","1,2,1,1,1,2,3,3,3,2,4,1,5,4,2,1,4,5,2,4,1,2,5,5,5,5,2,4","0.0592548847198486","louvain","moreno_sheep.graphml"
"0.69","0.31","0","0.0663012966536052","1,2,3,4,4,1,4,1,5,4,6,4,7,6,1,4,7,7,7,6,4,1,5,1,5,2,1,5","0.061378002166748","louvain","moreno_sheep.graphml"
"0.68","0.32","0","0.0700361371325977","1,2,3,3,3,4,5,4,6,5,7,3,8,7,1,5,8,8,8,7,3,1,1,1,7,2,4,6","0.0633900165557861","louvain","moreno_sheep.graphml"
"0.67","0.33","0","0.0701207101484053","1,1,1,1,1,2,3,2,3,4,5,3,6,5,6,3,5,4,4,5,7,6,6,6,5,7,2,7","0.0652768611907959","louvain","moreno_sheep.graphml"
"0.66","0.34","0","0.0663263349671755","1,2,1,1,3,4,3,5,3,6,3,2,5,4,5,3,7,5,5,2,3,6,4,5,4,8,6,7","0.0671820640563965","louvain","moreno_sheep.graphml"
"0.65","0.35","0","0.067923267090367","1,2,1,1,3,4,3,2,3,2,3,3,5,4,2,3,6,7,7,4,3,5,5,5,4,7,5,6","0.0690979957580566","louvain","moreno_sheep.graphml"
"0.64","0.36","0","0.0664664728734561","1,2,1,1,3,2,3,4,3,4,3,3,5,6,4,3,7,5,5,3,3,4,6,5,6,8,4,7","0.0711250305175781","louvain","moreno_sheep.graphml"
"0.63","0.37","0","0.0679555029585799","1,1,1,1,1,2,3,4,5,5,6,1,7,8,4,3,5,7,7,6,6,2,8,8,8,1,2,5","0.0732429027557373","louvain","moreno_sheep.graphml"
"0.62","0.38","0","0.0671369978474592","1,2,1,1,3,4,3,2,3,5,3,3,6,7,5,3,3,1,1,4,3,5,6,6,4,5,5,7","0.0751569271087646","louvain","moreno_sheep.graphml"
"0.61","0.39","0","0.0663355624659683","1,2,3,4,1,5,1,5,3,2,1,1,6,7,8,1,9,5,9,7,4,2,6,8,7,8,2,4","0.0770969390869141","louvain","moreno_sheep.graphml"
"0.6","0.4","0","0.0664839452626754","1,2,3,2,1,4,1,5,6,5,4,1,7,7,5,1,7,8,8,4,1,9,7,9,7,9,5,1","0.0790259838104248","louvain","moreno_sheep.graphml"
"0.59","0.41","0","0.0677336756113839","1,2,3,4,1,2,1,2,5,6,1,1,6,7,6,1,6,6,6,5,1,8,7,8,7,8,2,7","0.0811378955841064","louvain","moreno_sheep.graphml"
"0.58","0.42","0","0.0674266008979206","1,2,3,4,1,5,1,2,6,2,1,1,7,5,2,1,6,7,7,5,1,7,7,7,5,4,2,8","0.0830678939819336","louvain","moreno_sheep.graphml"
"0.57","0.43","0","0.0684318483634162","1,2,1,1,1,2,3,4,3,4,5,3,6,7,4,3,8,6,6,5,5,4,7,6,7,9,4,10","0.0850009918212891","louvain","moreno_sheep.graphml"
"0.56","0.44","0","0.0692708145619758","1,2,3,1,1,4,1,5,6,5,4,1,7,8,9,1,8,8,5,4,1,5,7,7,7,9,5,6","0.086961030960083","louvain","moreno_sheep.graphml"
"0.55","0.45","0","0.0694700854700855","1,2,1,1,1,3,4,5,6,6,3,1,7,8,5,1,6,7,7,3,1,9,9,9,8,10,9,6","0.0891289710998535","louvain","moreno_sheep.graphml"
"0.54","0.46","0","0.0677638860745702","1,2,3,1,1,4,1,2,5,2,4,1,6,7,8,1,5,7,2,4,1,2,6,6,4,8,2,5","0.0911080837249756","louvain","moreno_sheep.graphml"
"0.53","0.47","0","0.0657223136511285","1,2,1,1,1,3,4,2,4,5,3,1,6,3,6,4,5,5,5,3,1,7,7,7,3,8,7,8","0.09316086769104","louvain","moreno_sheep.graphml"
"0.52","0.48","0","0.0708512017707759","1,1,1,1,1,2,3,4,3,5,2,3,6,6,4,3,5,5,5,2,7,8,8,8,6,9,8,7","0.0951318740844727","louvain","moreno_sheep.graphml"
"0.51","0.49","0","0.0708512017707759","1,1,1,1,1,2,3,4,3,5,2,3,6,6,4,3,5,5,5,2,7,8,8,8,6,9,8,7","0.0970859527587891","louvain","moreno_sheep.graphml"
"0.5","0.5","0","0.066959945448869","1,2,1,3,1,4,5,6,5,2,4,1,3,7,6,1,7,2,2,4,1,8,8,8,7,9,6,3","0.0991060733795166","louvain","moreno_sheep.graphml"
"0.49","0.51","0","0.067144305199874","1,2,3,4,5,6,5,7,8,2,6,5,4,9,7,5,9,2,2,6,5,1,1,1,9,10,7,4","0.101360082626343","louvain","moreno_sheep.graphml"
"0.48","0.52","0","0.067144305199874","1,2,3,4,5,6,5,7,8,2,6,5,4,9,7,5,9,2,2,6,5,1,1,1,9,10,7,4","0.10336709022522","louvain","moreno_sheep.graphml"
"0.47","0.53","0","0.070984394287641","1,2,3,4,1,5,1,6,7,2,5,1,4,8,2,1,8,8,2,5,1,6,9,9,9,10,6,4","0.105597019195557","louvain","moreno_sheep.graphml"
"0.46","0.54","0","0.070380274512782","1,2,3,3,1,4,1,5,6,2,4,1,7,8,5,1,2,2,2,4,1,7,8,7,8,9,5,9","0.107661962509155","louvain","moreno_sheep.graphml"
"0.45","0.55","0","0.0689391090140255","1,2,3,2,4,5,4,6,7,2,5,4,8,8,6,4,9,9,9,5,4,1,8,1,8,1,7,8","0.109834909439087","louvain","moreno_sheep.graphml"
"0.44","0.56","0","0.068962807112228","1,2,3,3,4,5,4,6,7,8,5,4,3,5,6,4,8,8,8,5,3,1,1,1,5,9,1,9","0.111886978149414","louvain","moreno_sheep.graphml"
"0.43","0.57","0","0.0701460314809928","1,2,3,4,5,6,5,7,8,9,6,5,4,10,7,5,9,9,9,6,5,1,1,1,10,2,1,4","0.114014863967896","louvain","moreno_sheep.graphml"
"0.42","0.58","0","0.0708097745178078","1,2,3,4,5,6,5,7,8,2,6,5,4,9,7,5,3,2,2,6,10,1,1,1,9,5,1,4","0.116141080856323","louvain","moreno_sheep.graphml"
"0.41","0.59","0","0.0700772291358539","1,2,3,3,4,5,4,6,7,2,5,4,8,9,6,4,7,2,2,5,8,1,1,1,9,3,1,7","0.11826491355896","louvain","moreno_sheep.graphml"
"0.4","0.6","0","0.0704955432270356","1,2,3,3,1,4,5,6,7,2,8,1,9,10,6,1,9,2,2,8,1,4,10,4,10,5,4,9","0.120421886444092","louvain","moreno_sheep.graphml"
"0.39","0.61","0","0.0707465979959932","1,2,3,1,1,4,5,4,6,2,7,1,8,9,2,1,8,2,2,7,1,4,9,4,9,5,4,8","0.123040914535522","louvain","moreno_sheep.graphml"
"0.38","0.62","0","0.0700948767754665","1,2,3,4,4,5,1,5,1,2,6,3,7,8,7,1,2,2,2,6,1,9,8,9,8,9,5,4","0.125603914260864","louvain","moreno_sheep.graphml"
"0.37","0.63","0","0.0709935467055027","1,2,3,4,1,5,1,6,7,2,5,1,8,9,6,1,2,2,2,5,1,8,8,8,9,10,6,4","0.146543025970459","louvain","moreno_sheep.graphml"
"0.36","0.64","0","0.070949966766151","1,2,3,4,1,5,1,6,7,2,5,1,8,9,6,1,2,2,2,5,1,8,8,8,9,10,6,4","0.149143934249878","louvain","moreno_sheep.graphml"
