"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.447403024326101","1,1,2,1,1,3,3,3,2,2,4,3,1,4,4,5,2,5,1,5,5,1","0.000308036804199219","louvain","moreno_taro.graphml"
"0.99","0.01","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000288009643554688","louvain","moreno_taro.graphml"
"0.98","0.02","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000342845916748047","louvain","moreno_taro.graphml"
"0.97","0.03","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000259160995483398","louvain","moreno_taro.graphml"
"0.96","0.04","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000241994857788086","louvain","moreno_taro.graphml"
"0.95","0.05","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000241994857788086","louvain","moreno_taro.graphml"
"0.94","0.06","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000252962112426758","louvain","moreno_taro.graphml"
"0.93","0.07","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000241994857788086","louvain","moreno_taro.graphml"
"0.92","0.08","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000203132629394531","louvain","moreno_taro.graphml"
"0.91","0.09","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000200986862182617","louvain","moreno_taro.graphml"
"0.9","0.1","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000196933746337891","louvain","moreno_taro.graphml"
"0.89","0.11","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000198125839233398","louvain","moreno_taro.graphml"
"0.88","0.12","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000205039978027344","louvain","moreno_taro.graphml"
"0.87","0.13","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.00020599365234375","louvain","moreno_taro.graphml"
"0.86","0.14","0","0.707100591715976","1,1,2,1,1,2,2,2,2,2,3,4,5,3,3,6,2,6,1,6,6,1","0.000222921371459961","louvain","moreno_taro.graphml"
