"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000487804412841797","louvain","opsahl-southernwomen.graphml"
"0.99","0.01","0","0.293639053254438","1,1,1,1,1,1,2,3,2,2,2,2,2,3,2,3,3,3","0.00026392936706543","louvain","opsahl-southernwomen.graphml"
"0.98","0.02","0","0.298570019723866","1,1,1,1,1,1,2,3,4,2,2,2,2,3,2,3,3,3","0.000236034393310547","louvain","opsahl-southernwomen.graphml"
"0.97","0.03","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000245094299316406","louvain","opsahl-southernwomen.graphml"
"0.96","0.04","0","0.300213675213675","1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,2,2","0.000226974487304688","louvain","opsahl-southernwomen.graphml"
"0.95","0.05","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000250101089477539","louvain","opsahl-southernwomen.graphml"
"0.94","0.06","0","0.29922748191979","1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2","0.00020909309387207","louvain","opsahl-southernwomen.graphml"
"0.93","0.07","0","0.301775147928994","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000229120254516602","louvain","opsahl-southernwomen.graphml"
"0.92","0.08","0","0.313203125","1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,2,3,3","0.000232934951782227","louvain","opsahl-southernwomen.graphml"
"0.91","0.09","0","0.309140625","1,1,1,1,1,1,2,3,4,2,2,2,2,3,2,3,3,3","0.000213861465454102","louvain","opsahl-southernwomen.graphml"
"0.9","0.1","0","0.324647989548556","1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,2,2,2","0.000232934951782227","louvain","opsahl-southernwomen.graphml"
"0.89","0.11","0","0.324647989548556","1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,2,2,2","0.000237941741943359","louvain","opsahl-southernwomen.graphml"
"0.88","0.12","0","0.320069204152249","1,1,1,1,1,1,2,3,2,4,4,4,4,3,4,2,3,3","0.000260114669799805","louvain","opsahl-southernwomen.graphml"
"0.87","0.13","0","0.319382716049383","1,1,1,1,1,1,2,3,4,5,5,5,5,3,5,2,3,3","0.000229835510253906","louvain","opsahl-southernwomen.graphml"
"0.86","0.14","0","0.319382716049383","1,1,1,1,1,1,2,3,4,5,5,5,5,3,5,2,3,3","0.000214099884033203","louvain","opsahl-southernwomen.graphml"
"0.85","0.15","0","0.326613921387089","1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2","0.000242948532104492","louvain","opsahl-southernwomen.graphml"
"0.84","0.16","0","0.328388429752066","1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2","0.000231027603149414","louvain","opsahl-southernwomen.graphml"
"0.83","0.17","0","0.326788853961319","1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2","0.000265121459960938","louvain","opsahl-southernwomen.graphml"
"0.82","0.18","0","0.326682295274122","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000234842300415039","louvain","opsahl-southernwomen.graphml"
"0.81","0.19","0","0.326788853961319","1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2","0.00023198127746582","louvain","opsahl-southernwomen.graphml"
"0.8","0.2","0","0.295926133632431","1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2","0.000238180160522461","louvain","opsahl-southernwomen.graphml"
"0.79","0.21","0","0.295926133632431","1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2","0.000231027603149414","louvain","opsahl-southernwomen.graphml"
"0.78","0.22","0","0.298030141212768","1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,2,2,2","0.000221014022827148","louvain","opsahl-southernwomen.graphml"
"0.77","0.23","0","0.295455422244512","1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,2,3,3","0.000249862670898438","louvain","opsahl-southernwomen.graphml"
"0.76","0.24","0","0.305765127267185","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000248193740844727","louvain","opsahl-southernwomen.graphml"
"0.75","0.25","0","0.297643996755003","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000237941741943359","louvain","opsahl-southernwomen.graphml"
"0.74","0.26","0","0.297643996755003","1,1,1,1,1,1,2,3,4,3,3,3,3,3,3,2,3,3","0.000253200531005859","louvain","opsahl-southernwomen.graphml"
