"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.580377777777778","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,8,8,8,8,8,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1","0.000761032104492188","louvain","small_world_graph_12.graphml"
"0.99","0.01","0","0.849689135118498","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000545024871826172","louvain","small_world_graph_12.graphml"
"0.98","0.02","0","0.849098184056633","1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,9,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,9,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000544071197509766","louvain","small_world_graph_12.graphml"
"0.97","0.03","0","0.849344413665743","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,9,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.00049591064453125","louvain","small_world_graph_12.graphml"
"0.96","0.04","0","0.849689135118498","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000517845153808594","louvain","small_world_graph_12.graphml"
"0.95","0.05","0","0.849984610649431","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,9,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000485897064208984","louvain","small_world_graph_12.graphml"
"0.94","0.06","0","0.849689135118498","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000632047653198242","louvain","small_world_graph_12.graphml"
"0.93","0.07","0","0.8488027085257","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,9,7,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,9,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.00074005126953125","louvain","small_world_graph_12.graphml"
"0.92","0.08","0","0.849689135118498","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000900030136108398","louvain","small_world_graph_12.graphml"
"0.91","0.09","0","0.849689135118498","1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,6,7,7,7,7,7,7,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,1,1,1,1","0.000771045684814453","louvain","small_world_graph_12.graphml"
