"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.168995243757432","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000396966934204102","louvain","ucidata-gama.graphml"
"0.99","0.01","0","0.160664819944598","1,1,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000371932983398438","louvain","ucidata-gama.graphml"
"0.98","0.02","0","0.166666666666667","1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2","0.000335931777954102","louvain","ucidata-gama.graphml"
"0.97","0.03","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000327825546264648","louvain","ucidata-gama.graphml"
"0.96","0.04","0","0.166666666666667","1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2","0.000275850296020508","louvain","ucidata-gama.graphml"
"0.95","0.05","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000214099884033203","louvain","ucidata-gama.graphml"
"0.94","0.06","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000195980072021484","louvain","ucidata-gama.graphml"
"0.93","0.07","0","0.160664819944598","1,1,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000207185745239258","louvain","ucidata-gama.graphml"
"0.92","0.08","0","0.177593105570945","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.00020289421081543","louvain","ucidata-gama.graphml"
"0.91","0.09","0","0.166666666666667","1,2,1,1,2,3,3,3,2,2,3,3,3,3,2,3","0.000216007232666016","louvain","ucidata-gama.graphml"
"0.9","0.1","0","0.183115338882283","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000221014022827148","louvain","ucidata-gama.graphml"
"0.89","0.11","0","0.183115338882283","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000234127044677734","louvain","ucidata-gama.graphml"
"0.88","0.12","0","0.191212039774254","1,2,1,1,3,4,4,4,2,2,4,4,2,3,2,3","0.000214099884033203","louvain","ucidata-gama.graphml"
"0.87","0.13","0","0.236923076923077","1,2,1,1,2,1,1,1,3,3,3,1,3,2,3,2","0.000196933746337891","louvain","ucidata-gama.graphml"
"0.86","0.14","0","0.229822485207101","1,2,3,3,1,3,3,3,4,4,4,1,4,1,4,1","0.000200986862182617","louvain","ucidata-gama.graphml"
"0.85","0.15","0","0.238061224489796","1,2,1,1,2,1,3,1,2,2,3,4,3,4,2,4","0.000210046768188477","louvain","ucidata-gama.graphml"
"0.84","0.16","0","0.251734693877551","1,1,2,2,1,2,2,2,3,3,3,2,3,1,3,1","0.000205039978027344","louvain","ucidata-gama.graphml"
"0.83","0.17","0","0.24103959467067","1,2,1,1,2,1,1,1,2,2,3,3,3,3,2,3","0.00020909309387207","louvain","ucidata-gama.graphml"
"0.82","0.18","0","0.24103959467067","1,2,1,1,2,1,1,1,2,2,3,3,3,3,2,3","0.00020289421081543","louvain","ucidata-gama.graphml"
"0.81","0.19","0","0.240945768436855","1,1,1,1,2,3,3,3,4,4,4,3,4,2,4,2","0.000201225280761719","louvain","ucidata-gama.graphml"
"0.8","0.2","0","0.235501730103806","1,2,3,3,1,3,3,3,2,2,2,1,2,1,1,1","0.000239133834838867","louvain","ucidata-gama.graphml"
"0.79","0.21","0","0.235501730103806","1,2,3,3,1,3,3,3,2,2,2,1,2,1,1,1","0.000229120254516602","louvain","ucidata-gama.graphml"
"0.78","0.22","0","0.223806228373702","1,2,1,1,3,4,5,5,2,2,2,5,2,5,3,3","0.000226020812988281","louvain","ucidata-gama.graphml"
"0.77","0.23","0","0.249031508264463","1,2,1,1,3,1,1,1,2,2,2,3,2,3,4,4","0.00025486946105957","louvain","ucidata-gama.graphml"
"0.76","0.24","0","0.249031508264463","1,2,1,1,3,1,1,1,2,2,2,3,2,3,4,4","0.000233173370361328","louvain","ucidata-gama.graphml"
"0.75","0.25","0","0.193948167502295","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000246047973632812","louvain","ucidata-gama.graphml"
"0.74","0.26","0","0.193948167502295","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000244140625","louvain","ucidata-gama.graphml"
"0.73","0.27","0","0.193948167502295","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000224113464355469","louvain","ucidata-gama.graphml"
"0.72","0.28","0","0.193948167502295","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000238180160522461","louvain","ucidata-gama.graphml"
"0.71","0.29","0","0.210100156087409","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000241994857788086","louvain","ucidata-gama.graphml"
"0.7","0.3","0","0.21552","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000241994857788086","louvain","ucidata-gama.graphml"
"0.69","0.31","0","0.21552","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000252008438110352","louvain","ucidata-gama.graphml"
"0.68","0.32","0","0.21552","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000244855880737305","louvain","ucidata-gama.graphml"
"0.67","0.33","0","0.21552","1,2,1,1,3,4,4,1,2,2,3,5,3,3,2,5","0.000257968902587891","louvain","ucidata-gama.graphml"
"0.66","0.34","0","0.190767413504039","1,2,1,1,2,1,3,3,2,2,3,3,2,3,2,2","0.000253915786743164","louvain","ucidata-gama.graphml"
"0.65","0.35","0","0.193129858253315","1,2,1,1,2,1,3,3,2,2,3,3,3,3,2,4","0.000249147415161133","louvain","ucidata-gama.graphml"
"0.64","0.36","0","0.193129858253315","1,2,1,1,2,1,3,3,2,2,3,3,3,3,2,4","0.000313997268676758","louvain","ucidata-gama.graphml"
"0.63","0.37","0","0.193129858253315","1,2,1,1,2,1,3,3,2,2,3,3,3,3,2,4","0.00035405158996582","louvain","ucidata-gama.graphml"
"0.62","0.38","0","0.203930178545507","1,2,1,1,2,1,3,3,4,4,3,3,4,3,4,2","0.000339984893798828","louvain","ucidata-gama.graphml"
"0.61","0.39","0","0.201553200754827","1,2,1,1,2,1,1,1,3,3,3,4,3,4,3,2","0.000385046005249023","louvain","ucidata-gama.graphml"
"0.6","0.4","0","0.201426587552077","1,2,1,1,2,1,3,3,2,2,4,3,4,3,2,2","0.00043797492980957","louvain","ucidata-gama.graphml"
"0.59","0.41","0","0.201426587552077","1,2,1,1,2,1,3,3,2,2,4,3,4,3,2,2","0.000412940979003906","louvain","ucidata-gama.graphml"
"0.58","0.42","0","0.197718091150107","1,1,2,2,3,2,4,4,5,5,6,3,6,4,5,5","0.000387191772460938","louvain","ucidata-gama.graphml"
"0.57","0.43","0","0.209621069604945","1,2,1,1,3,1,4,4,2,2,5,3,5,4,2,2","0.000370025634765625","louvain","ucidata-gama.graphml"
