"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.395216962524655","1,2,2,2,1,1,1,2,3,2,1,1,2,2,1,2,2,2,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3","0.000500917434692383","louvain","ucidata-zachary.graphml"
"0.99","0.01","0","0.510247271107151","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000285148620605469","louvain","ucidata-zachary.graphml"
"0.98","0.02","0","0.4790599242593","1,1,1,1,1,1,1,1,2,3,1,4,1,1,1,1,1,1,2,5,5,2,5,2,2,2,5,2,2,2,2,2,2,2","0.000252962112426758","louvain","ucidata-zachary.graphml"
"0.97","0.03","0","0.510247271107151","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000246047973632812","louvain","ucidata-zachary.graphml"
"0.96","0.04","0","0.510247271107151","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000242948532104492","louvain","ucidata-zachary.graphml"
"0.95","0.05","0","0.510247271107151","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000226020812988281","louvain","ucidata-zachary.graphml"
"0.94","0.06","0","0.510056228373702","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000243902206420898","louvain","ucidata-zachary.graphml"
"0.93","0.07","0","0.511132115101869","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000236034393310547","louvain","ucidata-zachary.graphml"
"0.92","0.08","0","0.511132115101869","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000220060348510742","louvain","ucidata-zachary.graphml"
"0.91","0.09","0","0.510918367346939","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000233888626098633","louvain","ucidata-zachary.graphml"
"0.9","0.1","0","0.511902400317397","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000229835510253906","louvain","ucidata-zachary.graphml"
"0.89","0.11","0","0.511902400317397","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000339984893798828","louvain","ucidata-zachary.graphml"
"0.88","0.12","0","0.512326515704894","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000371932983398438","louvain","ucidata-zachary.graphml"
"0.87","0.13","0","0.513155555555556","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.00023198127746582","louvain","ucidata-zachary.graphml"
"0.86","0.14","0","0.513155555555556","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000321149826049805","louvain","ucidata-zachary.graphml"
"0.85","0.15","0","0.513155555555556","1,1,1,1,2,2,2,1,3,4,2,5,1,1,2,1,1,1,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000218868255615234","louvain","ucidata-zachary.graphml"
"0.84","0.16","0","0.486488888888889","1,2,2,2,1,1,1,2,3,4,1,5,2,2,1,2,2,2,3,6,6,3,6,3,3,3,6,3,3,3,3,3,3,3","0.000233888626098633","louvain","ucidata-zachary.graphml"
